analysis_id,probe_of_analysis_id,scope,batch_id,evidence_id,corpus,text,source_file,doc_id,chunk_id,country,heading_context,native_topic,topic_code,topic_space,causal_hint
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_005293,policy,"Retention periods will be kept to an absolute minimum, with data deleted once it has served its purpose and is no longer required.",markdown/cleaned/policy/usa/AI-Policy-April-2025-v2.md,policy_ai_policy_april_2025_v2,policy_ai_policy_april_2025_v2_chunk_0020,usa,Compliance with Privacy Regulations,6.0,P6,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_009662,policy,This policy may likely need to be updated to include AI.,markdown/cleaned/policy/usa/Guidance-for-AI-Policy-Development.md,policy_guidance_for_ai_policy_development,policy_guidance_for_ai_policy_development_chunk_0015,usa,Review existing policies,7.0,P7,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_003187,policy,Examples of use in schools: - -Assisting students in drafting writing or brainstorming ideas.,markdown/cleaned/policy/usa/ai-guidance.md,policy_ai_guidance,policy_ai_guidance_chunk_0007,usa,AGENTIC AI,0.0,P0,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020445,sentiment,"In short, teachers need to be supported through a range of focused professional learning pathways to enable them to develop an understanding of how to effectively use existing and future AI powered tools in their classroom.",markdown/synthetic/sentiment/mds/sentiment_press_release_ay.md,sentiment_synthetic_sentiment_press_release_ay,sentiment_synthetic_sentiment_press_release_ay_chunk_0001,synthetic_probe,Press release on digital education and responsible AI,3.0,S3,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_008630,policy,"Empowering Educators to Drive Action Panorama AI caters to diverse learning styles, abilities, and cultures to ensure accessibility for all.",markdown/cleaned/policy/usa/Four States Guiding Principles for AI in Education (2).md,policy_four_states_guiding_principles_for_ai_in_education_2,policy_four_states_guiding_principles_for_ai_in_education_2_chunk_0010,usa,Focus On Student Impact,6.0,P6,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_002302,policy,Devices like Raspberry Pi are used by some curricula that require students to create programs and test them using low-cost devices..,markdown/cleaned/policy/AI competency framework  for students.md,policy_ai_competency_framework_for_students,policy_ai_competency_framework_for_students_chunk_0106,other,Box 5: Typical enabling learning environment set up by governments' AI curricula,3.0,P3,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_014772,policy,"According to the Public Policy Institute of California, ' in 2023, families at the top of the income distribution -the 90th percentile -earned 11 times more than families at the 10th percentile ($336,000 vs.","markdown/cleaned/policy/usa/The New AI Powered Classroom  Implications  for Students, Teachers, and Equity.md",policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity,policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity_chunk_0014,usa,Research Question,8.0,P8,policy,False
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021496,sentiment,I would support this when digital welfare state and the automatization of youth work: we just can't catch up.,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_ax.md,sentiment_synthetic_sentiment_public_sentiment_ax,sentiment_synthetic_sentiment_public_sentiment_ax_chunk_0004,synthetic_probe,Public views on AI tools and learning,4.0,S4,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020733,sentiment,"After the first day I felt I was a bit, I suppose, unsure about what exactly was being asked of us, you know.",markdown/synthetic/sentiment/mds/sentiment_public_sentiment_af.md,sentiment_synthetic_sentiment_public_sentiment_af,sentiment_synthetic_sentiment_public_sentiment_af_chunk_0002,synthetic_probe,"Public sentiment on privacy, assessment and AI",4.0,S4,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_000522,policy,"The Department of Foreign Affairs and Trade intends to harness these opportunities while mitigating the risks, innovating and improving our service delivery to the benefit of citizens, while at the same time protecting our infrastructure; building public trust; and safeguarding fundamental rights.",markdown/cleaned/policy/ireland/2026-01-20_opening-statement-sile-maguire-director-general-of-corporate-services-division-et-al-department-of-foreign-affairs-and-trade_en.md,policy_2026_01_20_opening_statement_sile_maguire_director_general_of_corporate_services_division_et_al_department_of_foreign_affairs_and_trade_en,policy_2026_01_20_opening_statement_sile_maguire_director_general_of_corporate_services_division_et_al_department_of_foreign_affairs_and_trade_en_chunk_0004,ireland,Opening Statement,8.0,P8,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_000655,policy,"Generating ideas for creative projects was selected by 68%, while offering feedback to improve written text was selected by 58%.",markdown/cleaned/policy/australia/AHISA MEMBER SURVEY REPORT Gen AI in Australian independent schools.md,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools_chunk_0024,australia,"Chart 9. Students' application of generative AI tools by order of number of mentions, expressed as a proportion of respondents selecting the item",0.0,P0,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_012098,policy,Une autre difficulté émergente est celle de l'existence de doublons.,"markdown/cleaned/policy/france/L’intelligence artificielle dans les  établissements scolaires, sur le plan  administratif et pédagogique.md",policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique_chunk_0109,france,3.1.1. Une gouvernance de l'IA encore trop éparpillée,2.0,P2,policy,False
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_021056,sentiment,Parents and teachers need to know that table .,markdown/synthetic/sentiment/mds/sentiment_public_sentiment_am.md,sentiment_synthetic_sentiment_public_sentiment_am,sentiment_synthetic_sentiment_public_sentiment_am_chunk_0004,synthetic_probe,Public sentiment on AI in education,1.0,S1,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_013015,policy,"The environmental impact of this type of model, which is not specific to ChatGPT, should also be noted: 'Training OpenAI's GPT-3 has been estimated to have required as much energy as driving a car to the moon and back, thus generating an equivalent of 85,000 kg of CO2 emissions (Quach, 2020).",markdown/cleaned/policy/france/MEN_DNE_brochure_IA_2024_UK_web.md,policy_men_dne_brochure_ia_2024_uk_web,policy_men_dne_brochure_ia_2024_uk_web_chunk_0054,france,Assessment of the conversation,0.0,P0,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_009457,policy,"Investigation Schools should enact a process to ensure a consistent, fair and transparent response to claims of inappropriate use of generative AI tools in assessments.",markdown/cleaned/policy/australia/generative-artificial-intelligence-guidelines.md,policy_generative_artificial_intelligence_guidelines,policy_generative_artificial_intelligence_guidelines_chunk_0015,australia,4.2. Guidelines for using artificial intelligence in SACE assessments,7.0,P7,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_019987,sentiment,"Participants in Baden-Württemberg, Germany , considered that GenAI integration into the secondary education curriculum was still in its infancy and unlikely to change significantly in the near future, citing an already overcrowded curriculum and insufficient time for developing new courses and teaching formats.",markdown/synthetic/sentiment/mds/sentiment_press_release_an.md,sentiment_synthetic_sentiment_press_release_an,sentiment_synthetic_sentiment_press_release_an_chunk_0001,synthetic_probe,Press release on public confidence and AI in learning,3.0,S3,sentiment,False
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020486,sentiment,"Proposition de règlement du parlement européen et du conseil établissant des règles en vue de prévenir et de combattre les abus sexuels sur enfants, n° /, du mai ; Voir également : Le Monde, « Chat Control » : le projet européen de surveillance des messageries largement abandonné , oct.",markdown/synthetic/sentiment/mds/sentiment_press_release_az.md,sentiment_synthetic_sentiment_press_release_az,sentiment_synthetic_sentiment_press_release_az_chunk_0002,synthetic_probe,"Press release on AI literacy, privacy and trust",3.0,S3,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_002786,policy,"Supported by appropriate training and guidance, all teachers are expected to be able to: - 1 .",markdown/cleaned/policy/AI competency framework  for teachers.md,policy_ai_competency_framework_for_teachers,policy_ai_competency_framework_for_teachers_chunk_0050,other,3.3.1 Progression level 1: Acquire,3.0,P3,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_019632,sentiment,New opportunities for data analysis and improved policy responses - AI is also an opportunity for data and policy analysis in the youth sector.,markdown/synthetic/sentiment/mds/sentiment_press_release_ad.md,sentiment_synthetic_sentiment_press_release_ad,sentiment_synthetic_sentiment_press_release_ad_chunk_0003,synthetic_probe,"Press release on AI tools, schools and public confidence",6.0,S6,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_020131,sentiment,"Public confidence depends on AI literacy, young people and professional learning.",markdown/synthetic/sentiment/mds/sentiment_press_release_aq.md,sentiment_synthetic_sentiment_press_release_aq,sentiment_synthetic_sentiment_press_release_aq_chunk_0002,synthetic_probe,"Press release on AI tools, schools and public confidence",4.0,S4,sentiment,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_000437,policy,"The AI landscape for us is complex, with AI both a powerful way to generate misinformation and a powerful tool to interact with information generally.",markdown/cleaned/policy/ireland/2026-01-20_opening-statement-graham-long-chief-executive-et-al-citizens-information-board_en.md,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en,policy_2026_01_20_opening_statement_graham_long_chief_executive_et_al_citizens_information_board_en_chunk_0003,ireland,Meeting of 20 January 2026,0.0,P0,policy,True
global__batch_01__synthetic_probe,global__batch_01,global,1,clean_sentence_006935,policy,"Another aspect of prioritising learning is to consider designing work for students that AI cannot complete and encouraging higher-order thinking, creativity, and critical thinking.",markdown/cleaned/policy/australia/AI systems in teaching and learning_ Principles and practical exa.md,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa_chunk_0012,australia,1. Promote teaching and learning,7.0,P7,policy,True
