token,count
confidence,470
oversight,407
implementation,394
ethical,296
skill,250
know,240
potential,235
group,220
example,211
social,205
focus,201
privacy,188
assessment,184
experience,183
perception,178
responsible,176
information,173
point,171
high,167
access,163
help,161
fear,150
project,147
engage,147
positive,146
follow,144
analysis,144
pathway,144
knowledge,142
ethic,136
staff,136
content,132
task,132
negative,131
training,126
number,125
implication,124
comment,124
framework,123
resource,123
idea,123
academic,122
design,122
year,120
effect,120
useful,120
secondary,118
critical,117
agree,117
strategy,116
age,116
context,115
address,115
day,114
aim,113
activity,112
create,109
present,109
protection,109
subject,109
topic,108
increase,107
start,107
competence,103
language,103
lack,103
plan,102
interest,100
bias,100
recognise,100
governance,99
lead,99
mean,99
identify,98
commission,97
result,97
understanding,94
key,94
consider,92
mention,92
course,92
find,91
particularly,89
allow,89
indicative,89
medium,88
percentage,87
general,86
society,86
integration,86
class,86
action,85
note,85
feedback,85
engagement,84
duolingo,84
centre,83
trust,83
mooc,82
photomath,82
