analysis_id,scope,batch_id,evidence_id,corpus,text,source_file,doc_id,chunk_id,country,heading_context,native_topic,topic_code,topic_space,causal_hint
global__batch_01,global,1,clean_sentence_018986,sentiment,It can also help teachers to communicate more clearly.,markdown/cleaned/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0006,other,1. RIGHT TO EDUCATION,0.0,S0,sentiment,True
global__batch_01,global,1,clean_sentence_000522,policy,"The Department of Foreign Affairs and Trade intends to harness these opportunities while mitigating the risks, innovating and improving our service delivery to the benefit of citizens, while at the same time protecting our infrastructure; building public trust; and safeguarding fundamental rights.",markdown/cleaned/policy/ireland/2026-01-20_opening-statement-sile-maguire-director-general-of-corporate-services-division-et-al-department-of-foreign-affairs-and-trade_en.md,policy_2026_01_20_opening_statement_sile_maguire_director_general_of_corporate_services_division_et_al_department_of_foreign_affairs_and_trade_en,policy_2026_01_20_opening_statement_sile_maguire_director_general_of_corporate_services_division_et_al_department_of_foreign_affairs_and_trade_en_chunk_0004,ireland,Opening Statement,8.0,P8,policy,True
global__batch_01,global,1,clean_sentence_017938,sentiment,"At policy level, there is a need to promote the inclusion of GenAI into AI literacy efforts, curricular updates, teacher education, and professional development for educators.",markdown/cleaned/sentiment/generative artificial intelligence in secondary education-KJ0125604ENN.md,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0006,other,Key conclusions,3.0,S3,sentiment,True
global__batch_01,global,1,clean_sentence_015984,sentiment,"Renforcer la souveraineté technologique de l’UE sur l’IA face aux géants technologiques étrangers : 11 % en premier, 34 % au total.",markdown/cleaned/sentiment/20251119-Les-Francais-lIA.md,sentiment_original_20251119_les_francais_lia,sentiment_original_20251119_les_francais_lia_chunk_0019,france,Actions prioritaires pour accompagner le développement de l'IA dans l'Union européenne,8.0,S8,sentiment,True
global__batch_01,global,1,clean_sentence_018597,sentiment,Most read - [1 Space systems: Prepared or at risk?,markdown/cleaned/sentiment/How are teachers in Europe using AI in the classroom and which country uses it the most_ _ Euronews.md,sentiment_original_how_are_teachers_in_europe_using_ai_in_the_classroom_and_which_country_uses_it_the_most_euronews,sentiment_original_how_are_teachers_in_europe_using_ai_in_the_classroom_and_which_country_uses_it_the_most_euronews_chunk_0003,other,Most read,5.0,S5,sentiment,True
global__batch_01,global,1,clean_sentence_013015,policy,"The environmental impact of this type of model, which is not specific to ChatGPT, should also be noted: 'Training OpenAI's GPT-3 has been estimated to have required as much energy as driving a car to the moon and back, thus generating an equivalent of 85,000 kg of CO2 emissions (Quach, 2020).",markdown/cleaned/policy/france/MEN_DNE_brochure_IA_2024_UK_web.md,policy_men_dne_brochure_ia_2024_uk_web,policy_men_dne_brochure_ia_2024_uk_web_chunk_0054,france,Assessment of the conversation,0.0,P0,policy,True
global__batch_01,global,1,clean_sentence_009662,policy,This policy may likely need to be updated to include AI.,markdown/cleaned/policy/usa/Guidance-for-AI-Policy-Development.md,policy_guidance_for_ai_policy_development,policy_guidance_for_ai_policy_development_chunk_0015,usa,Review existing policies,7.0,P7,policy,True
global__batch_01,global,1,clean_sentence_007407,policy,"1.5 Learning design: work designed for students, including assessments, clearly outlines how generative AI tools should or should not be used and allows for a clear and unbiased evaluation of student ability.",markdown/cleaned/policy/australia/Australian Framework for Generative AI in Schools.md,policy_australian_framework_for_generative_ai_in_schools,policy_australian_framework_for_generative_ai_in_schools_chunk_0008,australia,Guiding Statements,7.0,P7,policy,True
global__batch_01,global,1,clean_sentence_017816,sentiment,The increase in AI-generated online child sexual abuse is already a growing challenge for law enforcement.,markdown/cleaned/sentiment/EPRS_ATA(2025)769494_EN.md,sentiment_original_eprs_ata_2025_769494_en,sentiment_original_eprs_ata_2025_769494_en_chunk_0004,other,Challenges,3.0,S3,sentiment,True
global__batch_01,global,1,clean_sentence_019002,sentiment,'It can help teachers when they are trying to teach a lesson and summarise things better and make it more understandable.' 'ability to think for [themselves]'.,markdown/cleaned/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0008,other,'It can help teachers when they are trying to teach a lesson and summarise things better and make it more understandable.',7.0,S7,sentiment,True
