direction,source_claim_id,source_chunk_id,source_doc_id,source_country,source_topic_space,source_topic,source_topic_code,source_relation_type,source_claim,source_excerpt,matched_claim_id,matched_chunk_id,matched_topic_space,matched_topic,matched_topic_code,matched_claim,matched_excerpt,top1_similarity,topk_mean_similarity,coverage_deficit,embedding_method,below_calibrated_threshold,coverage_threshold,threshold_method,similarity_band,review_is_match,review_notes
policy_to_sentiment,policy_claim_03867,policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity_chunk_0045,policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity,usa,policy,7,P7,requires_or_depends_on,Extra professional development days should be offered in all district schools to those who need extended support.,Extra professional development days should be offered in all district schools to those who need extended support.,sentiment_claim_00644,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0080,sentiment,1,S1,The need for ongoing professional development for educators is crucial to ensure they can effectively integrate GenAI into their teaching practices.,The need for ongoing professional development for educators is crucial to ensure they can effectively integrate GenAI into their teaching practices.,0.49805939197540283,0.479964941740036,0.520035058259964,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_00429,policy_ai_competency_framework_for_students_chunk_0001,policy_ai_competency_framework_for_students,other,policy,5,P5,causes_or_increases,"UNESCO is the United Nations' specialized agency for education, providing global and regional leadership to drive progress, strengthening the resilience and capacity of national systems to serve all learners.","UNESCO is the United Nations' specialized agency for education, providing global and regional leadership to drive progress, strengthening the resilience and capacity of national systems to serve all learners.",sentiment_claim_00073,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0038,sentiment,4,S4,"Additionally, UNESCO has also advanced work on AI, mostly in connection to education, publishing in 2021 AI and education: guidance for policy-makers and in 2023 Guidance for generative AI in education and research , which includes recommendations for developing AI competences, such as GenAI-related skills for learners.","Additionally, UNESCO has also advanced work on AI, mostly in connection to education, publishing in 2021 AI and education: guidance for policy-makers and in 2023 Guidance for generative AI in education and research , which includes recommendations for developing AI competences, such as GenAI-related skills for learners.",0.5235819816589355,0.5011518001556396,0.49884819984436035,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_01601,policy_ai_report_us_gov_chunk_0001,policy_ai_report_us_gov,usa,policy,8,P8,enables_or_supports,The inclusion of any material is not intended to reflect its importance nor is it intended to endorse any views expressed or products or services offered.,The inclusion of any material is not intended to reflect its importance nor is it intended to endorse any views expressed or products or services offered.,sentiment_claim_00094,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0050,sentiment,3,S3,"This brief analysis does not allow for an in-depth understanding of how advanced the practices are (for example to what extent all technology companies set up such structures, who is part of them, what is the selection procedure of such boards, or even what their role is).","This brief analysis does not allow for an in-depth understanding of how advanced the practices are (for example to what extent all technology companies set up such structures, who is part of them, what is the selection procedure of such boards, or even what their role is).",0.4107665717601776,0.37558498978614807,0.6244150102138519,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_00108,policy_2025_12_16_first_interim_report_en_chunk_0039,policy_2025_12_16_first_interim_report_en,ireland,policy,8,P8,enables_or_supports,"The DPO network also highlighted a recent report by the London School of Economics Care Policy and Evaluation Centre, which found that large language models (LLMs), used by over half of England's local authorities to support social workers, may be introducing gender bias into care decisions.","The DPO network also highlighted a recent report by the London School of Economics Care Policy and Evaluation Centre, which found that large language models (LLMs), used by over half of England's local authorities to support social workers, may be introducing gender bias into care decisions.",sentiment_claim_00429,sentiment_original_eprs_ata_2025_769494_en_chunk_0005,sentiment,3,S3,"From a gender perspective, the Organisation for Economic Co-operation and Development (OECD) highlights that AI may exacerbate gender disparities if gender equality issues are not addressed adequately when the AI tools are trained.","From a gender perspective, the Organisation for Economic Co-operation and Development (OECD) highlights that AI may exacerbate gender disparities if gender equality issues are not addressed adequately when the AI tools are trained.",0.5302746891975403,0.49806633591651917,0.5019336640834808,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_03455,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx_chunk_0007,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx,usa,policy,1,P1,requires_or_depends_on,Students will never be required to share personal or sensitive information with AI systems.,Students will never be required to share personal or sensitive information with AI systems.,sentiment_claim_00389,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn_chunk_0012,sentiment,3,S3,"Key findings and recommendations emphasise that AI should remain humancentred (although what that means is never elaborated), serving as a tool to enhance rather than replace the teacher's role (which is not what most AIED tools do), while addressing generic AI risks such as algorithmic bias and data privacy, as well as the potential for over-reliance.","Key findings and recommendations emphasise that AI should remain humancentred (although what that means is never elaborated), serving as a tool to enhance rather than replace the teacher's role (which is not what most AIED tools do), while addressing generic AI risks such as algorithmic bias and data privacy, as well as the potential for over-reliance.",0.48442313075065613,0.46584558486938477,0.5341544151306152,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_03593,policy_oco_ai_policy_spotlight_report_chunk_0075,policy_oco_ai_policy_spotlight_report,ireland,policy,6,P6,requires_or_depends_on,"The GDPR requires data controllers to process personal data in line with general principles set out in Article 5 of the GDPR, including lawfulness, fairness, transparency, purpose limitation, data minimisation, accuracy, storage limitation, integrity, confidentiality, and accountability.","The GDPR requires data controllers to process personal data in line with general principles set out in Article 5 of the GDPR, including lawfulness, fairness, transparency, purpose limitation, data minimisation, accuracy, storage limitation, integrity, confidentiality, and accountability.",sentiment_claim_00414,sentiment_original_artificial_intelligence_in_classrooms_qa0126065enn_chunk_0021,sentiment,3,S3,"Governance Having identified some of the many ethical issues raised in all stages of the AIED pipeline, it is necessary to consider practical governance mechanisms (Брітченко, 2025) .","Governance Having identified some of the many ethical issues raised in all stages of the AIED pipeline, it is necessary to consider practical governance mechanisms (Брітченко, 2025) .",0.5030221939086914,0.48308467864990234,0.5169153213500977,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_01384,policy_ai_policy_and_regulations_of_france_comprehensive_report_chunk_0007,policy_ai_policy_and_regulations_of_france_comprehensive_report,france,policy,5,P5,expected_to_improve,"In fact, the France 2030 plan, unveiled in October 2021, earmarked €30 billion over five years to boost France's industrial competitiveness and technological sovereignty, with about €2.5 billion specifically dedicated to AI.","In fact, the France 2030 plan, unveiled in October 2021, earmarked €30 billion over five years to boost France's industrial competitiveness and technological sovereignty, with about €2.5 billion specifically dedicated to AI.",sentiment_claim_00630,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0078,sentiment,3,S3,"Similarly, it will be crucial to assess the extent to which relevant EU initiatives, such as the AI Continent Action Plan 48 or the Union of Skills, 49 can support the development of AI literacy in the education sector.","Similarly, it will be crucial to assess the extent to which relevant EU initiatives, such as the AI Continent Action Plan 48 or the Union of Skills, 49 can support the development of AI literacy in the education sector.",0.5010606050491333,0.4930858612060547,0.5069141387939453,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_01368,policy_ai_policy_and_regulations_of_france_comprehensive_report_chunk_0002,policy_ai_policy_and_regulations_of_france_comprehensive_report,france,policy,6,P6,requires_or_depends_on,It also called for transparent labeling of AIgenerated content to inform the public.,It also called for transparent labeling of AIgenerated content to inform the public.,sentiment_claim_00027,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0016,sentiment,0,S0,"AI's impact on freedom of speech and civic rights the unseen and pervasive nature of algorithms and micro-targeting on most web platforms (from social networks, search engines, news aggregators or entertainment services) has amplified the power of filter bubbles and increased polarisation, while also raising concerns about how such tools could be used for surveillance purposes; 2.","AI's impact on freedom of speech and civic rights the unseen and pervasive nature of algorithms and micro-targeting on most web platforms (from social networks, search engines, news aggregators or entertainment services) has amplified the power of filter bubbles and increased polarisation, while also raising concerns about how such tools could be used for surveillance purposes; 2.",0.5293715000152588,0.5047443509101868,0.49525564908981323,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_01433,policy_ai_policy_and_regulations_of_france_comprehensive_report_chunk_0024,policy_ai_policy_and_regulations_of_france_comprehensive_report,france,policy,8,P8,causes_or_increases,"This public investment has catalyzed private investment, both domestic and foreign, creating a positive feedback loop of growth.","This public investment has catalyzed private investment, both domestic and foreign, creating a positive feedback loop of growth.",sentiment_claim_00203,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0033,sentiment,1,S1,Private companies will have an increasing influence on schooling: 47.8%.,Private companies will have an increasing influence on schooling: 47.8%.,0.5064051747322083,0.440213680267334,0.559786319732666,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
policy_to_sentiment,policy_claim_01523,policy_ai_policy_considerations_for_schools_and_mats_chunk_0007,policy_ai_policy_considerations_for_schools_and_mats,usa,policy,1,P1,requires_or_depends_on,Everything ICT does not guarantee the accuracy or completeness of the information contained within it and it should not be relied upon as offering advice of any kind.,Everything ICT does not guarantee the accuracy or completeness of the information contained within it and it should not be relied upon as offering advice of any kind.,sentiment_claim_00519,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0038,sentiment,1,S1,"is not actually helping them at all in terms of their skills and abilities.' (School director in Luxembourg, translation) 25 Research participants highlighted the urgent need for the development of AI literacy among students.","is not actually helping them at all in terms of their skills and abilities.' (School director in Luxembourg, translation) 25 Research participants highlighted the urgent need for the development of AI literacy among students.",0.4453824758529663,0.43194958567619324,0.5680504143238068,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,lowest_10pct,,
