country,token,count
australia,principle,288
australia,teach,171
australia,framework,161
australia,submission,141
australia,task,138
australia,privacy,137
australia,cognitive,135
australia,assessment,134
australia,staff,113
australia,risk,113
australia,respondent,112
australia,research,110
australia,guideline,104
australia,help,103
australia,learner,102
australia,review,100
australia,ethical,98
australia,design,96
australia,knowledge,95
australia,critical,92
australia,recommendation,90
australia,analysis,88
australia,content,88
australia,potential,85
australia,group,84
australia,set,83
australia,response,82
australia,guidance,80
australia,responsible,78
australia,address,77
france,usage,309
france,outils,197
france,cadre,153
france,données,135
france,public,127
france,pédagogique,121
france,numérique,114
france,pédagogiques,102
france,place,99
france,utilisation,95
france,établissements,95
france,enjeux,95
france,déploiement,91
france,académique,82
france,action,77
france,recherche,77
france,solution,76
france,research,75
france,niveau,72
france,innovation,71
france,entre,71
france,acteurs,71
france,ressources,69
france,prompt,68
france,travail,68
france,réponses,66
france,usages,65
france,nationale,62
france,scolaires,62
france,gestion,62
ireland,child,972
ireland,strategy,342
ireland,people,236
ireland,framework,225
ireland,research,223
ireland,assessment,219
ireland,content,216
ireland,public,196
ireland,learner,186
ireland,teach,178
ireland,risk,167
ireland,guidance,162
ireland,skill,149
ireland,council,144
ireland,regulation,143
ireland,design,138
ireland,recommendation,134
ireland,guideline,134
ireland,literacy,130
ireland,act,125
ireland,parent,121
ireland,focus,120
ireland,safety,120
ireland,group,117
ireland,set,115
ireland,leader,112
ireland,address,110
ireland,progress,106
ireland,privacy,105
ireland,ethical,105
unesco,competency,381
unesco,design,347
unesco,skill,229
unesco,ethical,223
unesco,knowledge,220
unesco,social,153
unesco,framework,146
unesco,curriculum,134
unesco,ethic,126
unesco,assessment,120
unesco,principle,119
unesco,professional,119
unesco,apply,115
unesco,progression,114
unesco,guide,108
unesco,follow,103
unesco,regulation,99
unesco,agency,98
unesco,expect,96
unesco,aspect,95
unesco,pedagogical,92
unesco,train,92
unesco,method,89
unesco,local,89
unesco,human-centred,86
unesco,environment,83
unesco,teach,83
unesco,value,77
unesco,decision,77
unesco,risk,77
usa,educator,291
usa,teach,270
usa,guidance,262
usa,privacy,246
usa,focus,220
usa,staff,214
usa,help,213
usa,literacy,208
usa,assessment,177
usa,ethical,171
usa,design,171
usa,bias,166
usa,decision,159
usa,research,157
usa,feedback,156
usa,community,151
usa,equity,150
usa,time,148
usa,potential,148
usa,content,147
usa,address,139
usa,professional,138
usa,step,136
usa,leader,133
usa,learner,133
usa,risk,130
usa,write,129
usa,review,129
usa,high,129
usa,instructional,128
