topic,representativeness_score,topic_confidence,topic_margin,doc_id,country,source_type,nmf_token_count,heading_context,nmf_source_text,nmf_clean_text
0,1.0,1.0,1.0,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,australia,original,64,What is a large language model?,"What is a large language model?. 2. Introduction to LLMs

The following section provides a non-technical introduction to a large language model and key terms and concepts which are integral to this report.

What is a large language model?

A large language model (LLM) is a type of machine learning model that can perform a variety of natural language processing (NLP) tasks. This is what gives these types of models their 'human-like' interaction capacities as they can generate, translate, and classify text, and answer in a conversational manner. 'Large' in this case is a reference to the number of parameters that the model can change autonomously as it learns. Some of the current LLMs have up to hundreds of billions of parameters. In order to reach this number of parameters, LLMs require immense amounts of data so that they can be trained. The training creates the relationships between words by the LLM predicting the next word within a sentence. This method of checking predictions and getting feedback helps to hone the model until it can deliver an appropriate level of accuracy. This accuracy reflects the creation of a conceptual network or map of concepts",large language introduction follow introduction large language term concepts integral large language large language perform variety natural language processing nlp task interaction capacity generate translate classify conversational manner large number parameter autonomously learn current parameter order reach number parameter llms immense train training creates relationships word predict word sentence method check prediction feedback help hone deliver accuracy accuracy reflect creation conceptual network map concept
0,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,51,A third student - a high school student from a suburban school in the South - described how he had used AI:,"A third student - a high school student from a suburban school in the South - described how he had used AI:

'I would copy and paste the question. Whatever the answer was, I would either proofread it, take out big words that I don't know, and then I would start, like, changing everything. And then I would run it through an AI detector, and then whatever would come up as detected, I would change it, and then I would just submit it. . . . We had to write essays, and I didn't want to write essays.' Later, the interviewer asked, 'Do you wish you would have been caught?'

Student: 'In a sense, yeah.'

Interviewer: 'Why? Why?'

Student: 'Because I got away with it so many times. As soon as senior year started, I was using [an AI tool], and I was never caught once.'

Interviewer: 'So what do you think would happen if you were caught?'

Student: 'If I was caught? Oh, what she would probably do is just tell me just not to use it again, and I probably wouldn't use it again.'

A study by Common Sense Media found that 'black teens are about twice as likely as their peers to report that teachers flagged their schoolwork as being created by generative AI when it was not' [39].",high suburban south copy paste proofread big word know start run detector come detect submit write essay write essay later interviewer wish caught sense yeah interviewer away times soon senior year start catch interviewer think happen catch caught probably tell probably study common sense medium teen twice likely peer flag schoolwork
0,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,93,To Differentiate Instruction,"To Differentiate Instruction

Megan Dinkla (3rd Grade Teacher, Winterset Elementary Winterset CSD): 'It's just taking those same words; it's just simplifying the vocabulary words and making it easier and more accessible for them to understand. And it builds competence; it builds fluency. It makes them feel like they're part of the group. And it's something very, very simple to do. So that's been a huge benefit, and not just for students that are falling behind, but also for our higher [performing] kids. We use it quite a bit to make sure that we're challenging them a little bit more.'

Sarah Abraham (5th grade English and history teacher, Lincoln Elementary School in West Contra Costa Unified School District): 'I teach English language development; we have our staterequired instructional materials, and you've got to teach it. The state requires I teach all fifth graders about the creation of the U.S. Constitution. Well, what's the Constitution read like? What is that like? How do you explain to a kid who doesn't speak English the significance of the Constitution? So yes, I use AI. And then once I get the engaging lesson plan from [an AI tool], that can help students who are at different levels.'

Nicole Daniels (elementary school teacher): 'I've been working with [an emergent bilingual student] and trying to figure out what are some motivators for her? And she just keeps saying that she really wants to learn the English language. And so I actually have her set up in this [AI] tutor. There are times when we're doing a writing [assignment] where she's just not ready to do that activity. She'll actually go into [the AI tool], in that room that I have set up, and she can type into the tutor whatever words she wants to work on. We did common words for school supplies; we did common phrases when talking to friends; we've done math vocabulary. And she selects what language she speaks, and then it runs through a tutoring program with her. She can either read it in her native language, or there's also an audio feature.",differentiate instruction megan dinkla grade elementary csd word simplify vocabulary word easier accessible build competence build fluency group simple huge fall high perform sure little sarah grade english history elementary west contra costa teach english language staterequired instructional material teach teach fifth grader creation constitution constitution read explain speak english significance constitution yes help nicole daniel elementary emergent bilingual try motivator learn english language set tutor time write assignment ready room set tutor word common word supply common phrase talk friend math vocabulary selects language speak run tutor read native language audio feature
0,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,68,To Assist with Feedback and Assessment,"To Assist with Feedback and Assessment. To Differentiate Instruction

did common words for school supplies; we did common phrases when talking to friends; we've done math vocabulary. And she selects what language she speaks, and then it runs through a tutoring program with her. She can either read it in her native language, or there's also an audio feature. She can practice saying whatever terms she wants.'

To Assist with Feedback and Assessment

Alec Jensen (teacher, Abraham Lincoln Elementary School): 'You can pop a checklist for what you want out of a project into [the AI tool], and tell it how many points you want each thing to be worth, and it'll just pop out instantaneously that rubric.'

Heather S. Griffin (English teacher/Department Head, Hopedale Jr. Sr. High): 'Once [students] had a draft, I used [an AI tool] for some writing feedback for them, which was amazing. And they absolutely loved it - they could take the rubric I had given them, take the writing prompt, and then upload their draft, and then have it give them feedback, and then they could continue to go back and revise the essay; and then run it again through the [AI tool] feedback and see if their grade had improved based on their edits and revisions . . . It gave them that kind of one-on-one tutoring and feedback that they're not going to get when they're [writing] in isolation.'",feedback assessment differentiate instruction common word supply common phrase talk friend math vocabulary selects language speak run tutor read native language audio feature term feedback assessment alec elementary pop checklist project tell point thing worth pop instantaneously rubric heather griffin english head hopedale high write feedback amaze absolutely love rubric write prompt upload feedback continue revise essay run feedback grade improve edits revision kind tutor feedback write isolation
0,1.0,1.0,1.0,policy_ahisa_member_survey_report_gen_ai_in_australian_independent_schools,australia,original,98,"Chart 9. Students' application of generative AI tools by order of number of mentions, expressed as a proportion of respondents selecting the item","4b. Ways generative AI tools are used by students

Respondents were asked to select all items from a list of ways students might use generative AI tools that applied to students in their school.

Chart 9. Students' application of generative AI tools by order of number of mentions, expressed as a proportion of respondents selecting the item

Students' use of generative AI tools was most commonly reported for supporting student research, selected by 77% of respondents. Generating ideas for creative projects was selected by 68%, while offering feedback to improve written text was selected by 58%. Drafting or checking coding and finding more accessible or relevant definitions of concepts were each selected by 45%. Other uses included checking mathematical calculations at 32%, generating presentation slides at 31%, generating illustrations at 28%, generating music at 14%, generating animation at 8%, generating audio or voice tracks at 7%, and generating video at 6%. Five percent selected none of the above, and 13% selected other uses. - Support student research: 77%
- Generate ideas for creative projects: 68%
- Offer feedback to improve written text: 58%
- Draft or check coding: 45%
- Find definitions of concepts that are more relevant or accessible: 45%
- Check mathematical calculations: 32%
- Generate presentation slides: 31%
- Generate illustrations: 28%
- Generate music: 14%
- Generate animation: 8%
- Generate audio or voice tracks: 7%
- Generate video: 6%
- None of the above: 5%
- Other: 13%

'Other' applications mentioned by respondents include:

- Generating topic glossaries and revision/practice questions. - Developing contributions to school newsletters
- Summarising large text passages. One respondent commented: 'At this stage it is more a case of our students learning about AI rather than learning how best to use it, that is, learning about the tools and where AI touches our lives. The teacher demonstrates and leads/facilitates critical interrogation of the benefits and limitations of using the tools. Ethical dilemmas are also posed and responded to in the context of AI.'

|",item list apply order number mention express proportion item commonly research generate idea creative project offer feedback improve write check accessible definition concept check mathematical calculation generate presentation slide generate illustration generate music generate animation generate audio voice track generate video percent research generate idea creative project offer feedback improve write check definition concept accessible check mathematical calculation generate presentation slide generate illustration generate music generate animation generate audio voice track generate video mention generate topic glossary revision contribution newsletter summarise large passage stage best touch life demonstrate lead facilitate critical interrogation limitation ethical dilemma pose respond context
1,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,56,Recommendation:,"Recommendation:

Identify and fill any gaps in Irish legislation relating to child sexual abuse and sexual exploitation facilitated by AI and child sexual abuse material generated by AI, including a prohibition of deepfake abuse. Amend legislation in Ireland to replace the term 'child pornography' with 'child sexual abuse material', in line with the Luxembourg Guidelines without any further delay. 159 Ombudsman for Children's Office (2015), Advice of the Ombudsman for Children on the General Scheme of the Criminal Law (Sexual Offences) Bill 2014 . Ombudsman for Children's Office

Millenium House

52-56 Great Strand Street

Dublin 1

D01 F5P8

Policy spotlight on Artificial Intelligence:

T:

01 865 6800

F:

01 874 7333

E:

oco@oco.ie

www.oco.ie

@OCO\_Ireland

A Children's Rights Review",recommendation fill gap legislation child sexual abuse sexual exploitation facilitate child sexual abuse material prohibition deepfake abuse amend legislation term child pornography child sexual abuse material line luxembourg guideline delay ombudsman child office advice ombudsman child scheme criminal sexual offence bill ombudsman child office millenium house great strand street dublin spotlight oco oco oco child review
1,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,50,Adopt a child rights-based approach,"Adopt a child rights-based approach

the culture change and legal landscape needed to ensure children's rights are fully respected, protected and fulfilled. A child rights approach also includes the general measures of implementation identified by the UN Committee on the Rights of the Child that governments that are needed for effective implementation of the UNCRC. In the area of AI, this would include:

- AI legislation that is compliant with the CRC and that enables business enterprises to develop child-centred AI
- Effective child-sensitive procedures for redress for AI-related harms
- AI policy rooted in the CRC
- Coordination of initiatives on children and AI across government
- Independent monitoring of actions taken by public and private organisations in the sphere of AI
- Child rights impact assessments of AI legislation, policy and the AI system development lifecycle
- Data collection on the impact of AI on children
- Training and capacity-building on children's rights and a child rights-based approach to AI for government officials, parliamentarians, AI developers and companies

156 UN Committee on the Rights of the Child (2011), General comment No. 13 (2011) The right of the child to freedom from all forms of violence , CRC/C/GC/13, para. 59.",adopt child culture legal landscape child fully protect fulfil child measure child uncrc legislation compliant crc business procedure redress harm root crc coordination child independent monitoring action public private sphere child assessment legislation lifecycle collection child train child child official parliamentarians developer company child child freedom form violence crc para
1,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,101,Children's rights and digital environment references,"Children's rights and digital environment references

This image presents a set of children’s rights and child-protection references relevant to AI, education, health, and the digital environment. The rights and references mentioned include:

- Right to the highest attainable standard of health, Article 24. - Right to education, Articles 28 and 29. - Optional Protocol to the Convention on the Rights of the Child on the sale of children, child prostitution and child pornography. - Guidelines regarding the implementation of the Optional Protocol to the Convention on the Rights of the Child on the sale of children, child prostitution and child pornography. - Terminology Guidelines for the Protection of Children from Sexual Exploitation and Sexual Abuse. - General Comment No. 25 on children’s rights in relation to the digital environment. The image is relevant because it connects AI and digital-education governance with children’s rights. It highlights that AI use involving children should be considered in relation to health, education, online safety, protection from exploitation and abuse, and children’s rights in digital environments. - elaborate safeguards with a view to ensuring the rights of children in the use of AI; 60
- prohibit the use of children's personal data in AI systems and provide mechanisms for accountability and remedy; 61
- expedite legislation criminalising CSAM generated by AI; 62
- enhance digital literacy for children, teachers and families, including on potential threats and opportunities relating to the use of AI; 63
- ensure access to appropriate information and protection from harmful content, including with respect to AI. 64

While the Committee has not made recommendations to Ireland in relation to AI, it has included recommendations about the digital environment more generally in its concluding observations to Ireland in 2023. 65 Their recommendations included the development of laws and effective regulation of service providers that protect the rights of children in the digital environment, in line with children's rights standards, including protection from harmful content and online risks, as well as enhancing digital literacy of children, families and teachers.",child environment present set child health environment mention high attainable standard health optional protocol convention child sale child child prostitution child pornography guideline optional protocol convention child sale child child prostitution child pornography terminology guideline protection child sexual exploitation sexual abuse child relation environment connect governance child highlight child relation health safety protection exploitation abuse child environment elaborate safeguard child prohibit child personal mechanism accountability remedy expedite legislation criminalise csam literacy child family potential threat protection harmful content recommendation relation recommendation environment generally conclude observation recommendation regulation provider protect child environment line child standard protection harmful content risk literacy child family
1,0.9909972487344102,0.9909972487344102,0.9819944974688204,policy_oco_ai_policy_spotlight_report,ireland,original,66,1. Introduction,"1. Introduction

issue of AI and its impact on children's rights is now a significant part of the OCO work programme. The purpose of this spotlight is to gather existing evidence on AI and children's rights to identify opportunities and challenges from a policy and regulatory perspective. The spotlight has two strands. First, it gathers available information on international human rights and children's rights standards and guidance relating to AI, domestic law, regulation and policy and international and national research on AI to understand what work is being done on AI and children. It examines the extent to which children and their rights are being considered in this regulatory and policy area. It also draws together consultations with children on their views on AI, as well as providing on overview of the issues raised on AI by the OCO YAP. Secondly, it provides an overview of feedback from children's rights and technology experts during a roundtable discussion hosted by OCO in February 2025. This report should be read alongside our report by the OCO YAP, AI and Us , which outlines how they use AI every day, what they like and don't like about AI, and includes their ideas for making sure children enjoy AI in a safe way. This report has also been used to inform the development of the spotlight. It concludes with recommendations on where policy, laws and regulations should be strengthened from a children's rights perspective. This spotlight aims to provide a resource for other organisations working on AI and its impact on children and their rights.",introduction child significant oco purpose spotlight gather exist evidence child regulatory perspective spotlight strand gather international child standard guidance domestic regulation international research child examine extent child regulatory draws consultation child overview raise oco yap secondly overview feedback child expert roundtable host oco february read alongside oco yap outline day idea sure child enjoy safe inform spotlight conclude recommendation regulation strengthen child perspective spotlight aim child
1,0.9845379823636705,0.9845379823636705,0.969075964727341,policy_oco_ai_policy_spotlight_report,ireland,original,115,UN human rights frameworks UN Convention on the Rights of the Child,"UN human rights frameworks UN Convention on the Rights of the Child

and block harmful content before reaching children - -AI systems to detect, report and remove child sexual abuse material - -AI-powered chatbots used by child helplines and Safer Internet Centres to provide live advice to children - -AI-powered chatbots that intervene with perpetrators and those at risk of offending, e.g. when searching for CSAM online
- Rights of children with disabilities (Article 23) and non-discrimination (Article 2):
- -accessible technology for children with disabilities
- Right to the highest attainable standard of health (Article 24):
- -At a societal level, AI can contribute to the improved quality of health and public service systems. - Right to education (Articles 28 and 29):
- -Adaptive learning systems tailored to children's needs
- -AI in digital literacy can ensure children safely use AI
- Right to rest and leisure, play and recreational activities, cultural life and the arts (Article 31):
- -AI can provide opportunities for play and recreation
- -AI in interactive toys and devoices can personalise and enhance children's play experiences

Some examples of how AI can pose harm, be misused, or present a barrier to the enjoyment of rights include: 59

- Right to non-discrimination (Article 2), rights of children with disabilities (Article 23) and right to practise their own language (Article 30):
- -AI as a perpetrator of historic social biases and discrimination based on preexisting datasets that are not reflective of children's varied characteristics, particularly children with disabilities and children in marginalised groups such as racial and ethnic minorities
- -Facial recognition technologies are less reliable when used on children's

59 ; Council of Europe (2020), Handbook for policy makers on the rights of the child in the digital environment , pp. 78-80; V. Stefan (2023), Shapers &amp; Shakers: Young people's voices in the world of Artificial Intelligence ; UNICEF (2024), The State of the World's Children 2024: The Future of Childhood The State of the World's Children 2024 in a Changing World , p.",framework convention child block harmful content reach child detect remove child sexual abuse material chatbots child helplines safer centre live advice child chatbots intervene perpetrator risk offend search csam child disability child disabilities high attainable standard health societal contribute improve quality health public tailored child literacy child safely rest leisure play recreational cultural life art play recreation interactive toy devoices personalise child play experience pose harm misuse present barrier enjoyment child disability practise language perpetrator historic social bias discrimination preexist reflective child vary characteristic particularly child disability child marginalise group racial ethnic minority recognition reliable child council europe handbook maker child environment stefan shaper shaker people voice world unicef world child childhood world child world
