direction,source_claim_id,source_chunk_id,source_doc_id,source_country,source_topic_space,source_topic,source_topic_code,source_relation_type,source_claim,source_excerpt,matched_claim_id,matched_chunk_id,matched_topic_space,matched_topic,matched_topic_code,matched_claim,matched_excerpt,top1_similarity,topk_mean_similarity,coverage_deficit,embedding_method,below_calibrated_threshold,coverage_threshold,threshold_method
sentiment_to_policy,sentiment_claim_00000,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0008,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,4,S4,causes_or_increases,"Nevertheless, the Covid-19 pandemic has been the main trigger that has led to an increased adoption of digital and AI tools in the wider youth and education sectors.","Nevertheless, the Covid-19 pandemic has been the main trigger that has led to an increased adoption of digital and AI tools in the wider youth and education sectors.",policy_claim_03818,policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity_chunk_0012,policy,8,P8,"How the Pandemic Helped to Accelerate EdTech and Use of AI in Education Even when AI ' s conception is connected to 1920, the COVID pandemic of 2019 is more closely tied to its rapid and widespread use in classrooms.","How the Pandemic Helped to Accelerate EdTech and Use of AI in Education Even when AI ' s conception is connected to 1920, the COVID pandemic of 2019 is more closely tied to its rapid and widespread use in classrooms.",0.7935439944267273,0.754109799861908,0.24589020013809204,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00001,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0008,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,4,S4,enables_or_supports,"Lastly, the need to understand AI technologies is closely connected to what actions are needed to support it what are the specific competences or policies that need to guide us in navigating an AI-enabled world.","Lastly, the need to understand AI technologies is closely connected to what actions are needed to support it what are the specific competences or policies that need to guide us in navigating an AI-enabled world.",policy_claim_02187,policy_developing_policy_and_protocols_for_the_use_of_generative_ai_in_k_12_classrooms_march_2025_chunk_0018,policy,7,P7,How can AI potentially be leveraged to support these needs?,How can AI potentially be leveraged to support these needs?,0.8407583236694336,0.8300547003746033,0.16994529962539673,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00002,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0009,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,causes_or_increases,"An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations or decisions that may influence physical or virtual environments.","An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations or decisions that may influence physical or virtual environments.",policy_claim_01949,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa_chunk_0003,policy,0,P0,"Here, we use the following definition: An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.","Here, we use the following definition: An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.",0.9769397974014282,0.9385024905204773,0.061497509479522705,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00003,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0010,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,causes_or_increases,"For this publication, we will further refer to such technologies as GenAI, with their main capacity to generate new content based on short inputs - text, images, videos.","For this publication, we will further refer to such technologies as GenAI, with their main capacity to generate new content based on short inputs - text, images, videos.",policy_claim_02613,policy_generative_artificial_intelligence_ai_in_k_12_classrooms_v2_chunk_0003,policy,0,P0,"GenAI is generating some form of output, either text, images, video or audio.","GenAI is generating some form of output, either text, images, video or audio.",0.7851289510726929,0.714972734451294,0.28502726554870605,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00004,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0010,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,enables_or_supports,"ChatGPT is described as a large language model, having the potential to interact with individuals based on its capacity to anticipate the next sequence of words (this characteristic is particularly important as it helps us distinguish between ChatGPT and a more common search engine, the latter providing the actual source of the information).","ChatGPT is described as a large language model, having the potential to interact with individuals based on its capacity to anticipate the next sequence of words (this characteristic is particularly important as it helps us distinguish between ChatGPT and a more common search engine, the latter providing the actual source of the information).",policy_claim_03754,policy_ratified_ai_in_assessment_guidelines_for_learners_v1_1_chunk_0003,policy,0,P0,ChatGPT is a large language model chatbot that can use datasets to generate human-like text based on context and past conversations.,ChatGPT is a large language model chatbot that can use datasets to generate human-like text based on context and past conversations.,0.8984315395355225,0.7994566559791565,0.2005433440208435,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00005,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0010,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,causes_or_increases,"Interest in the potential of GenAIs, which have received both praise and criticism, has increased significantly in 2023.","Interest in the potential of GenAIs, which have received both praise and criticism, has increased significantly in 2023.",policy_claim_02834,policy_guidance_on_artificial_intelligence_in_schools_2025_chunk_0014,policy,6,P6,"At the same time, GenAI also raises multiple immediate concerns related to issues such as safety, data privacy, copyright, and manipulation.","At the same time, GenAI also raises multiple immediate concerns related to issues such as safety, data privacy, copyright, and manipulation.",0.6019284129142761,0.5799027681350708,0.4200972318649292,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00006,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0011,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,causes_or_increases,"Generative AI in brief which have received both praise and criticism, has increased significantly in 2023.","Generative AI in brief which have received both praise and criticism, has increased significantly in 2023.",policy_claim_03893,policy_using_generative_ai_chunk_0002,policy,6,P6,Adopting generative AI in AI agents increases its impact enormously while simultaneously amplifying its serious vulnerabilities.,Adopting generative AI in AI agents increases its impact enormously while simultaneously amplifying its serious vulnerabilities.,0.6989598274230957,0.6924786567687988,0.30752134323120117,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00007,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0011,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,causes_or_increases,"When using such tools connected to the internet or integrated in a search engine, it can: - produce content that sounds credible, but still generate mis-/disinformation and completely invent events that have never happened, at times leading to manipulation and radicalisation.","When using such tools connected to the internet or integrated in a search engine, it can: - produce content that sounds credible, but still generate mis-/disinformation and completely invent events that have never happened, at times leading to manipulation and radicalisation.",policy_claim_01545,policy_ai_policy_june_2025_chunk_0009,policy,6,P6,"Mitigating Malicious Use : AI-generated content could be misused for malicious purposes, such as impersonating individuals, generating inappropriate images, accessing restricted content or software, or to generate false information.","Mitigating Malicious Use : AI-generated content could be misused for malicious purposes, such as impersonating individuals, generating inappropriate images, accessing restricted content or software, or to generate false information.",0.6651837825775146,0.6447875499725342,0.3552124500274658,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00008,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0011,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,causes_or_increases,"GenAI tools might not always offer sufficient safeguards for securing data, and there have been situations when identifiable data were discovered, creating risks for individuals but also for organisations.","GenAI tools might not always offer sufficient safeguards for securing data, and there have been situations when identifiable data were discovered, creating risks for individuals but also for organisations.",policy_claim_02834,policy_guidance_on_artificial_intelligence_in_schools_2025_chunk_0014,policy,6,P6,"At the same time, GenAI also raises multiple immediate concerns related to issues such as safety, data privacy, copyright, and manipulation.","At the same time, GenAI also raises multiple immediate concerns related to issues such as safety, data privacy, copyright, and manipulation.",0.7027842998504639,0.6831126809120178,0.3168873190879822,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
sentiment_to_policy,sentiment_claim_00009,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0012,sentiment_original_051024_insights_into_ai_and_the_youth_sector,other,sentiment,3,S3,causes_or_increases,Generative AI in brief sensitive documents that include personal identifiable data (for example a teacher or doctor using his personal records to generate a prescription/recommendation).,Generative AI in brief sensitive documents that include personal identifiable data (for example a teacher or doctor using his personal records to generate a prescription/recommendation).,policy_claim_01775,policy_ai_report_us_gov_chunk_0061,policy,0,P0,"When they enable an AI-assistant to capture data about what they say, what teaching resources they search for, or other behaviors, the data could be used to personalize resources and recommendations for the teacher.","When they enable an AI-assistant to capture data about what they say, what teaching resources they search for, or other behaviors, the data could be used to personalize resources and recommendations for the teacher.",0.7530002593994141,0.7168211936950684,0.28317880630493164,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
