direction,source_claim_id,source_chunk_id,source_doc_id,source_country,source_topic_space,source_topic,source_topic_code,source_relation_type,source_claim,source_excerpt,matched_claim_id,matched_chunk_id,matched_topic_space,matched_topic,matched_topic_code,matched_claim,matched_excerpt,top1_similarity,topk_mean_similarity,coverage_deficit,embedding_method,below_calibrated_threshold,coverage_threshold,threshold_method,within_topic_rank
policy_to_sentiment,policy_claim_00714,policy_ai_competency_framework_for_teachers_chunk_0007,policy_ai_competency_framework_for_teachers,other,policy,8,P8,enables_or_supports,"Fideliz Apilado, Laicia Gagnier, Samuel Grimonprez, Glen Hertelendy, Michela Pagano and Xianglei Zheng from the same Unit also supported the production of the publication.","Fideliz Apilado, Laicia Gagnier, Samuel Grimonprez, Glen Hertelendy, Michela Pagano and Xianglei Zheng from the same Unit also supported the production of the publication.",sentiment_claim_00262,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0082,sentiment,1,S1,What is encouraging is the high percentage of students who reported using these tools with their teachers who were participating in the AI4T project.,What is encouraging is the high percentage of students who reported using these tools with their teachers who were participating in the AI4T project.,0.24395519495010376,0.2386271208524704,0.7613728791475296,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_03407,policy_men_dne_brochure_ia_2024_uk_web_chunk_0033,policy_men_dne_brochure_ia_2024_uk_web,france,policy,3,P3,reduces_or_prevents,jumping backwards to avoid a sensed obstacle).,jumping backwards to avoid a sensed obstacle).,sentiment_claim_00130,sentiment_original_20251119_les_francais_lia_chunk_0021,sentiment,8,S8,"Dans La fin de l'individu , Gaspard Koenig souligne que l'IA peut progressivement réduire les marges de manœuvre en orientant les choix, en anticipant les comportements et en rendant les alternatives moins visibles.","Dans La fin de l'individu , Gaspard Koenig souligne que l'IA peut progressivement réduire les marges de manœuvre en orientant les choix, en anticipant les comportements et en rendant les alternatives moins visibles.",0.2743438184261322,0.2505577504634857,0.7494422495365143,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_01602,policy_ai_report_us_gov_chunk_0002,policy_ai_report_us_gov,usa,policy,8,P8,enables_or_supports,Contracts and Procurement This document is not intended to provide legal advice or approval of any potential federal contractor's business decision or strategy in relation to any current or future federal procurement and/or contract.,Contracts and Procurement This document is not intended to provide legal advice or approval of any potential federal contractor's business decision or strategy in relation to any current or future federal procurement and/or contract.,sentiment_claim_00094,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0050,sentiment,3,S3,"This brief analysis does not allow for an in-depth understanding of how advanced the practices are (for example to what extent all technology companies set up such structures, who is part of them, what is the selection procedure of such boards, or even what their role is).","This brief analysis does not allow for an in-depth understanding of how advanced the practices are (for example to what extent all technology companies set up such structures, who is part of them, what is the selection procedure of such boards, or even what their role is).",0.3561549484729767,0.28355416655540466,0.7164458334445953,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
sentiment_to_policy,sentiment_claim_00666,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence_chunk_0005,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,other,sentiment,0,S0,causes_or_increases,The YAP only used these because they found them funny.,The YAP only used these because they found them funny.,policy_claim_01354,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023_chunk_0092,policy,6,P6,Data minimization Only collect the smallest amount of data you'll need to complete your purposes.,Data minimization Only collect the smallest amount of data you'll need to complete your purposes.,0.322839617729187,0.2872203588485718,0.7127796411514282,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_03351,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance_chunk_0019,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance,france,policy,2,P2,enables_or_supports,"De plus, pour assurer le refroidissement de ces matériels, il faut une grande quantité d'eau.","De plus, pour assurer le refroidissement de ces matériels, il faut une grande quantité d'eau.",sentiment_claim_00215,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0048,sentiment,7,S7,It really helped to cement that.,It really helped to cement that.,0.34430012106895447,0.2969389259815216,0.7030610740184784,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00438,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo_chunk_0004,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo,france,sentiment,5,S5,causes_or_increases,"However, 20% have to drive 7 minutes or more to get there.","However, 20% have to drive 7 minutes or more to get there.",policy_claim_01742,policy_ai_report_us_gov_chunk_0052,policy,0,P0,"Likewise, mapping a journey used to require a cumbersome study of maps, but now cell phones let us choose among several transportation options to reach a destination.","Likewise, mapping a journey used to require a cumbersome study of maps, but now cell phones let us choose among several transportation options to reach a destination.",0.32633519172668457,0.31441715359687805,0.685582846403122,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_03031,policy_guidetoaiinschools_chunk_0052,policy_guidetoaiinschools,usa,policy,0,P0,requires_or_depends_on,"I don't hate PD wholesale or anything like that, but PD is hard to stomach when your other needs aren't met.","I don't hate PD wholesale or anything like that, but PD is hard to stomach when your other needs aren't met.",sentiment_claim_00121,sentiment_original_20251119_les_francais_lia_chunk_0008,sentiment,8,S8,"Les réserves existent, mais se concentrent sur des sujets plus sensibles : l'inclusion (50 % d'avis positifs contre 32 % négatifs), les modes de consommation (50 % contre 36 %), et, surtout, la lutte contre le changement climatique, pour laquelle seuls 47 % des répondants jugent l'impact du numérique positif, contre 33 % qui l'estiment négatif.","Les réserves existent, mais se concentrent sur des sujets plus sensibles : l'inclusion (50 % d'avis positifs contre 32 % négatifs), les modes de consommation (50 % contre 36 %), et, surtout, la lutte contre le changement climatique, pour laquelle seuls 47 % des répondants jugent l'impact du numérique positif, contre 33 % qui l'estiment négatif.",0.3215080499649048,0.31554433703422546,0.6844556629657745,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_00072,policy_2025_12_16_first_interim_report_en_chunk_0021,policy_2025_12_16_first_interim_report_en,ireland,policy,6,P6,causes_or_increases,…T he bar set by the GDPR has been adopted by other companies and jurisdictions because they do not want to have two products.,…T he bar set by the GDPR has been adopted by other companies and jurisdictions because they do not want to have two products.,sentiment_claim_00094,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0050,sentiment,3,S3,"This brief analysis does not allow for an in-depth understanding of how advanced the practices are (for example to what extent all technology companies set up such structures, who is part of them, what is the selection procedure of such boards, or even what their role is).","This brief analysis does not allow for an in-depth understanding of how advanced the practices are (for example to what extent all technology companies set up such structures, who is part of them, what is the selection procedure of such boards, or even what their role is).",0.332500159740448,0.3159334063529968,0.6840665936470032,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_00300,policy_ai_cognitive_offloading_and_implications_for_education_chunk_0028,policy_ai_cognitive_offloading_and_implications_for_education,australia,policy,4,P4,enables_or_supports,This is further supported by Iqbal et al.,This is further supported by Iqbal et al.,sentiment_claim_00693,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025_chunk_0012,sentiment,2,S2,"learners) who might need additional support, and that if it is used transparently, there is no issue.","learners) who might need additional support, and that if it is used transparently, there is no issue.",0.32988524436950684,0.3206368386745453,0.6793631613254547,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
sentiment_to_policy,sentiment_claim_00252,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0071,sentiment_original_ai4t_wp3_d3_3_nr_ireland,ireland,sentiment,7,S7,causes_or_increases,"Indicative comment: 'And then sometimes I utterly know it won't, because I set the temperature in my room.","Indicative comment: 'And then sometimes I utterly know it won't, because I set the temperature in my room.",policy_claim_03070,policy_guidetoaiinschools_chunk_0078,policy,0,P0,"But she chose not to because 'Especially in situations where it' s a test, I am not going to learn from what I'm doing in that moment.","But she chose not to because 'Especially in situations where it' s a test, I am not going to learn from what I'm doing in that moment.",0.34813234210014343,0.3225143849849701,0.6774856150150299,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_03553,policy_oco_ai_policy_spotlight_report_chunk_0054,policy_oco_ai_policy_spotlight_report,ireland,policy,1,P1,enables_or_supports,Ireland is not included among the list of states that supported the statement.,Ireland is not included among the list of states that supported the statement.,sentiment_claim_00074,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0038,sentiment,4,S4,"On the other spectrum, the organisation which was the first to advance international work on AI policies, the OECD , does not have a traditional youth policy or a guiding document for the youth sector.","On the other spectrum, the organisation which was the first to advance international work on AI policies, the OECD , does not have a traditional youth policy or a guiding document for the youth sector.",0.3684559464454651,0.3283693492412567,0.6716306507587433,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_02134,policy_brisbanesde_ai_usage_policy_chunk_0007,policy_brisbanesde_ai_usage_policy,australia,policy,0,P0,causes_or_increases,"If using content generated by the software, use quotation marks or a block quote just like any other quoted text.","If using content generated by the software, use quotation marks or a block quote just like any other quoted text.",sentiment_claim_00568,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0056,sentiment,1,S1,"Yes, they might need sentence starters, and I want them to do it in a topic sentence, supporting details, conclusion.","Yes, they might need sentence starters, and I want them to do it in a topic sentence, supporting details, conclusion.",0.35420548915863037,0.3314128816127777,0.6685871183872223,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
policy_to_sentiment,policy_claim_03751,policy_policy_title_artificial_intelligence_ai_usage_policy_for_staff_teachers_and_students_chunk_0009,policy_policy_title_artificial_intelligence_ai_usage_policy_for_staff_teachers_and_students,australia,policy,0,P0,causes_or_increases,"If using content generated by the software, use quotation marks or a block quote just like any other quoted text.","If using content generated by the software, use quotation marks or a block quote just like any other quoted text.",sentiment_claim_00568,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0056,sentiment,1,S1,"Yes, they might need sentence starters, and I want them to do it in a topic sentence, supporting details, conclusion.","Yes, they might need sentence starters, and I want them to do it in a topic sentence, supporting details, conclusion.",0.35420548915863037,0.3314128816127777,0.6685871183872223,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_00998,policy_ai_guidance_chunk_0012,policy_ai_guidance,usa,policy,6,P6,requires_or_depends_on,What do we need to do to live this out fully?,What do we need to do to live this out fully?,sentiment_claim_00038,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0021,sentiment,0,S0,"Such situations might lead to more displacement, precarious work and living conditions, especially for young people.","Such situations might lead to more displacement, precarious work and living conditions, especially for young people.",0.3668890595436096,0.3314943313598633,0.6685056686401367,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
policy_to_sentiment,policy_claim_00073,policy_2025_12_16_first_interim_report_en_chunk_0021,policy_2025_12_16_first_interim_report_en,ireland,policy,6,P6,causes_or_increases,The experience from the GDPR is that they will raise their standards to that bar.,The experience from the GDPR is that they will raise their standards to that bar.,sentiment_claim_00184,sentiment_original_ai4t_wp3_d3_3_nr_ireland_chunk_0010,sentiment,3,S3,For each level the evaluation team created robust indicators adapted from existing scales and tested them during the pilot phase of the project.,For each level the evaluation team created robust indicators adapted from existing scales and tested them during the pilot phase of the project.,0.37006789445877075,0.33723577857017517,0.6627642214298248,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_00128,policy_2026_01_20_opening_statement_ruth_kennedy_revenue_commissioner_et_al_office_of_the_revenue_commissioners_en_chunk_0001,policy_2026_01_20_opening_statement_ruth_kennedy_revenue_commissioner_et_al_office_of_the_revenue_commissioners_en,ireland,policy,8,P8,enables_or_supports,"Over 25 years ago, Revenue 's Online Service, ROS, was launched which allowed taxpayers file returns and make payments online.","Over 25 years ago, Revenue 's Online Service, ROS, was launched which allowed taxpayers file returns and make payments online.",sentiment_claim_00431,sentiment_original_eprs_ata_2025_769494_en_chunk_0006,sentiment,3,S3,The Digital Services Act (DSA) requires digital platforms to prioritise children's safety and privacy and protect them from illegal content.,The Digital Services Act (DSA) requires digital platforms to prioritise children's safety and privacy and protect them from illegal content.,0.40046244859695435,0.3553812503814697,0.6446187496185303,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_02471,policy_digital_strategy_for_schools_to_2027_chunk_0108,policy_digital_strategy_for_schools_to_2027,ireland,policy,5,P5,enables_or_supports,"This project is supported by the PDST TiE team and the Dún Laoghaire Institute of Art, Design and Technology.","This project is supported by the PDST TiE team and the Dún Laoghaire Institute of Art, Design and Technology.",sentiment_claim_00757,sentiment_original_survey_on_artificial_intelligence_for_teaching_and_learning_results_european_school_education_platform_chunk_0015,sentiment,5,S5,"More practical and infrastructural needs complete the picture: 25% point to technical support and infrastructure improvements, 22% call for dedicated time for experimentation and collaboration, and 20% express interest in communities of practice and peer learning.","More practical and infrastructural needs complete the picture: 25% point to technical support and infrastructure improvements, 22% call for dedicated time for experimentation and collaboration, and 20% express interest in communities of practice and peer learning.",0.36730992794036865,0.3588326871395111,0.6411673128604889,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,1.0
policy_to_sentiment,policy_claim_00322,policy_ai_cognitive_offloading_and_implications_for_education_chunk_0036,policy_ai_cognitive_offloading_and_implications_for_education,australia,policy,4,P4,enables_or_supports,(2025) found evidence to support this theory.,(2025) found evidence to support this theory.,sentiment_claim_00134,sentiment_original_3remittancesreview_volume8_issue4saajdmalakand_chunk_0003,sentiment,6,S6,"This study aims not merely to contribute to academic discourse, but also to furnish pragmatic insights with substantial applicability.","This study aims not merely to contribute to academic discourse, but also to furnish pragmatic insights with substantial applicability.",0.3846043050289154,0.3728927671909332,0.6271072328090668,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
policy_to_sentiment,policy_claim_00338,policy_ai_cognitive_offloading_and_implications_for_education_chunk_0039,policy_ai_cognitive_offloading_and_implications_for_education,australia,policy,4,P4,requires_or_depends_on,Technology is not needed to achieve this.,Technology is not needed to achieve this.,sentiment_claim_00439,sentiment_original_french_digital_society_digital_mediation_professionals_face_the_challenge_of_digital_remoteness_labo_chunk_0004,sentiment,5,S5,"Indeed, while these places can help identify and direct people in difficulty towards digital mediation services, the help they provide is not part of a process of appropriating digital technologies.","Indeed, while these places can help identify and direct people in difficulty towards digital mediation services, the help they provide is not part of a process of appropriating digital technologies.",0.3987826704978943,0.3734471797943115,0.6265528202056885,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,3.0
policy_to_sentiment,policy_claim_03664,policy_oco_ai_policy_spotlight_report_chunk_0117,policy_oco_ai_policy_spotlight_report,ireland,policy,1,P1,enables_or_supports,One of the OCO's new strategic goals is to promote the full and direct incorporation of the UNCRC into domestic law.,One of the OCO's new strategic goals is to promote the full and direct incorporation of the UNCRC into domestic law.,sentiment_claim_00653,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0082,sentiment,3,S3,"The European Commission offers resources to support the work of policymakers and educators in this regard, such as: - a.","The European Commission offers resources to support the work of policymakers and educators in this regard, such as: - a.",0.39222508668899536,0.3739504814147949,0.6260495185852051,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.5118606686592102,pooled_empirical_10th_percentile_provisional,2.0
