topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
0,1,0.4628150169082136,"submission, public, research, recommendation, people, sector, decision, open, achievement, investment, innovation, unesco",australia,policy_ai_cognitive_offloading_and_implications_for_education,Introduction,introduction global pandemic clear trend emerge increase environment trend extend year pandemic accelerate trend demonstrate little preparation flexibility engagement grant come cognitive cost lodge cost progressively evident increasingly public launch chatgpt late trigger profound blend foundation cognition evolve continue advance begin large language automate agent come purpose refer reality wide emerge evolve attention lead frame particularly end think stake high warn peak humanity pose fundamental risk cognitive agency purpose robust accessible analysis novel interaction mechanism recognis,"Introduction

Even before the global impact of the COVID-19 pandemic on education, a clear trend was emerging across education systems worldwide toward the increased use of digital learning environments and tools. These trends extend back more than 30 years to when the first digital technologies systematically impacted education. The forced move to online learning during the pandemic accelerated this trend, demonstrating what was possible, even with little preparation. However, as with those technologies, the flexibility and engagement granted by new digital tools often come with a cognitive cost (Lodge 2023). That cost is becoming progressively evident as artificial intelligence (AI) increasingly impacts on learning and teaching (Horvath 2026). The public launch of ChatGPT in late 2022 has triggered a new, more profound acceleration, moving the debate beyond blended learning to the very foundations of human cognition. These technologies have evolved and continue to advance. Beginning "
0,2,0.4397249649081472,"submission, public, research, recommendation, people, sector, decision, open, achievement, investment, innovation, unesco",australia,policy_ai_cognitive_offloading_and_implications_for_education,Appendix: Annotated bibliography,annotate bastani bastani harm evidence high mathematics proceeding academy science united study paper year mathematics problem appear facilitate suffer away suggest exercise lose paper critical empirical evidence performance paradox demonstrate scaffold performance durable facilitate scale evidence evaluation high tutor paper economic research chicago city test reduce tutor cost effectiveness tutor academy group reduce intervention achieve standard gain math study demonstrate strategic integration effectiveness address cost barrier scale intervention claim evidence offer fear khosravi assistan,"Appendix: Annotated bibliography

Bastani, H., Bastani, O., Sungu, A., Ge, H., Kabakcı, Ö., &amp; Mariman, R. (2025). Generative AI without guardrails can harm learning: Evidence from high school mathematics. Proceedings of the National Academy of Sciences of the United States of America, 122 (26), e2422633122. https://doi.org/10.1073/pnas.2422633122

In the study reported in this paper, 'nearly 1,000' year 9 to 11 students were given access to generative AI to work through mathematics problems. The AI appeared to facilitate students' problem-solving during learning. However, their learning suffered once the AI was taken away. This suggests that something beyond the problem-solving exercise was being lost in the process. This paper provides critical empirical evidence for the 'performance paradox,' demonstrating that scaffolded performance with AI does not equate to durable learning. Batt, M. P., Guryan, J., Khan, S. A., LaForest-Tucker, M., &amp; Mishra, B. (2024). Can technology faci"
0,3,0.42751444055767485,"submission, public, research, recommendation, people, sector, decision, open, achievement, investment, innovation, unesco",australia,policy_ai_cognitive_offloading_and_implications_for_education,,cognitive offload implication march lodge loble network quality cognitive offload form network quality network bring leader industry social purpose research common purpose best edtech edtech tackle divide network valuable engagement input feedback represent consensus network network chair loble industry professor centre social justice inclusion edu professor lodge professor psychology director instruction lab university,"Artificial intelligence, cognitive offloading and implications for education

March 2026

Prof Jason M. Lodge and Prof Leslie Loble AM

Network for Quality Digital Education |

Artificial intelligence, cognitive offloading and education

This report forms part of the work program supporting the Australian Network for Quality Digital Education. The Network brings together leaders from across education, industry, social purpose and philanthropic organisations, government and research, in the common purpose of ensuring that all Australian students benefit from the best educational technology (edtech), and the benefits of edtech are leveraged to tackle the persistent learning divide. Members of the Network have provided valuable engagement, input and feedback as part of the report's development, though the report does not represent a consensus or endorsed Network view. The Network is chaired by Leslie Loble AM, who is Industry Professor at the UTS Centre for Social Justice and Inclusion (s"
0,4,0.4232351016967176,"submission, public, research, recommendation, people, sector, decision, open, achievement, investment, innovation, unesco",usa,policy_ai_report_us_gov,Important Directions for Expanding AI-Based Adaptivity,direction expand adaptivity build knowledge fully equitable fail recognize build source competency advance individual cognition social aspect exist adaptivity tend focus cognitive element element bring cognitive attendee observe vision broad cognition social especially effectiveness tutor review review research liu tutor outcomes journal psychology plass adaptivity journal research learn reason explain justify english customize adaptive language skills curricular content clearly skill modern vision learn group community learner help learner interact world common path form display input fit str,"Important Directions for Expanding AI-Based Adaptivity

has and use those to build up the students' knowledge. AI models cannot be fully equitable while failing to recognize or build upon each student's sources of competency. AI models that are more asset-oriented would be an advance. 2. From individual cognition to including social and other aspects of learning. The existing adaptivity rhetoric has also tended to focus on individualized learning and mostly on cognitive elements of learning, with motivational and other elements only brought in to support the cognitive learning goals. Attendees observe that their vision for learning is broader than cognition. Social learning is important, for example, especially

31 Kulik, J.A., &amp; Fletcher, J.D. (2016). Effectiveness of intelligent tutoring systems: A meta-analytic review. Review of Educational Research, 86(1), 42 -78; Ma, W., Adescope, O.O, Nesbit, J.C. &amp; Liu, Q. (2014). Intelligent tutoring systems and learning outcomes: A met"
0,5,0.3999066351443056,"submission, public, research, recommendation, people, sector, decision, open, achievement, investment, innovation, unesco",usa,policy_ai_report_us_gov,References,evaluation automate read tutor comparison tutor instruction journal compute research tutor systematic review characteristic evaluation method interactive environment academy science engineering people learn learner contexts culture academy press research council people learn brain mind experience academy press policymakers educator safe alliance grade essay paris culturally sustain pedagogy justice world college press plass adaptivity journal research adoption construction industry review journal open innovation market complexity cognitive tutor apply research mathematics review bias psycholog,"References

J., Aist, G., Burkhead, P., Corbett, A., Cuneo, A., Eitelman, S., Huang, C., Junker, B., Sklar, M.B., &amp; Tobin, B. (2003). Evaluation of an automated reading tutor that listens: Comparison to human tutoring and classroom instruction. Journal of Educational Computing Research, 29(1), 61 -117. https://doi.org/10.2190/06AX-QW99-EQ5G-RDCF Mousavinasab, E., Zarifsanaiey, N., R. Niakan Kalhori, S., Rakhshan, M., Keikha, L., &amp; Ghazi Saeedi, M. (2021). Intelligent tutoring systems: A systematic review of characteristics, applications, and evaluation methods. Interactive Learning Environments, 29(1), 142 -163. https://psycnet.apa.org/doi/10.1080/10494820.2018.1558257 National Academies of Sciences, Engineering, and Medicine. 2018. How people learn II: Learners, contexts, and cultures. The National Academies Press. https://doi.org/10.17226/24783

- National Research Council. 2000. How people learn: Brain, mind, experience, and school. The National Academies Press. https://doi."
1,1,0.5611869466192415,"staff, guidance, principle, privacy, responsible, integrity, ethical, academic, educator, step, review, literacy",usa,policy_guidetoaiinschools,Implications,implication common sense medium risk assessment assistant common sense medium assistant powerful productivity assistant proper oversight build curriculum experience educator evaluate output clear prevent undermine quality guidance official guidance summary link guidance extent child overcome barrier help achieve strong body research evidence literacy framework council framework defines dimension literacy literacy literacy adapt discipline jurisdiction american psychological association effect nuanced complex good bad factor design feature train context project inappropriate help peer propose o,"Implications [Common Sense Media AI Risk Assessment: AI Teacher Assistants from Common Sense Media](https://www.commonsensemedia.org/sites/default/files/featured-content/files/csm-ai-risk-assessment-ai-teacher-assistants-final.pdf)

' AI teacher assistants can be powerful productivity assistants when used with proper oversight and built on high-quality curricula, but they require experienced educators to evaluate outputs and clear district policies to prevent them from becoming 'invisible influencers' that undermine learning quality. '

StateAlGuidanceforKl2Schools

26 states [and Puerto ltice] now/hove officioli guidonce er pollcy en the use ot Aerin it2 schools. wie've compiled them in this handy resource which. ncludes summories gnd inis to the ful guidanoefor eoch

[State AI Guidance for K12 Schools from AI for Education](https://www.aiforeducation.io/ai-resources/state-ai-guidance)

'26 states (and Puerto Rico) now have official guidance or policy on the use of AI in K12 schools. "
1,2,0.5173865769212468,"staff, guidance, principle, privacy, responsible, integrity, ethical, academic, educator, step, review, literacy",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Ethical principles for artificial intelligence in K-12 education,ethical principle summary align ethical principle screen summary analysis ethic guidance accord ethical principle ethical principle summary align ethical principle screen summary analysis ethic guidance accord ethical principle ethic guideline world economic forum unesco unicef ethical principle international international international word transparency explainability communication disclosure algorithmic accountability transparency accountability principle transparency explainability language justice fairness word justice fairness consistency inclusion equality equity bias discrimination dive,"Ethical principles for artificial intelligence in K-12 education

https://doi.org/10.1016/j.caeai.2023.100131

Summary of 4 educational aligned ethical principles Screen shot from summary table

Analysis of AIEdK-12 ethics guidance documents according to ethical principle.

Ethical principles for artificial intelligence in K-12 education

https://doi.org/10.1016/j.caeai.2023.100131 Summary of 4 educational aligned ethical principles Screen shot from summary table Analysis of AIEdK-12 ethics guidance documents according to ethical principle. | AI Ethics Guideline Document -> | World Economic Forum (2019) | IEAIED (2021a) | UNESCO (2021) | UNICEF (2021) |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------|---------"
1,3,0.46350467898746234,"staff, guidance, principle, privacy, responsible, integrity, ethical, academic, educator, step, review, literacy",usa,policy_guidance_for_ai_policy_development,Compliance,compliance compliance privacy security safety transfer ownership child youth protection council great city network partnership readiness checklist help prepare solution checklist curated list help leader devise strategy core focus executive leadership operation security risk management address follow conduct current exist security privacy regulation enforce contract provider provider clearly staff approve leadership account implication applicable gdpr,"Compliance

When implementing AI systems, the key areas of technology policy to ensure compliance with are privacy, data security, student safety, data transfer and ownership, and child and youth protection. The Council of Great City Schools and the Consortium for School Networking (CoSN), in partnership with Amazon Web Services, have developed the K-12 Generative Artificial Intelligence (Gen AI) Readiness Checklist to help districts prepare for implementing AI technology solutions. The checklist provides a curated list of questions to help district leaders devise implementation strategies across six core focus areas: executive leadership, operations, data, technology, security, and risk management. Questions that need to be addressed include the following:

- What is the plan to conduct an inventory of systems and software to understand the current state of AI use and ensure adherence to existing security and privacy regulations? |

- Does the education system enforce contracts with s"
1,4,0.446121673255125,"staff, guidance, principle, privacy, responsible, integrity, ethical, academic, educator, step, review, literacy",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,Box 4. Reference to responsibility and accountability in the reviewed guidance,responsibility accountability review guidance institute ethical principle transparency accountability emphasis add ultimately responsible outcome oversight operate ethical framework unesco address responsibility accountability overarch principle specifically advise policymakers centred serve people policymakers foster broad corporate civic responsibility address critical societal raise unicef highlight transparency explainability accountability child emphasis add suggest protect empower child user accord legal framework regardless child oversight body compliant principle regulation set mechani,"Box 4. Reference to responsibility and accountability in the reviewed guidance

- The Institute for Ethical AI in Education (2021a) includes the principle of 'Transparency and Accountability ,' [emphasis added] stating that 'humans are ultimately responsible for educational outcomes and should therefore have an appropriate level of oversight of how AI systems operate' (The Ethical Framework for AI in Education). - UNESCO (2021) addresses responsibility and accountability within its overarching principles for AI, specifically advising that policymakers 'ensure that AI is human-controlled and centred on serving people' and that policymakers should 'foster broad corporate and civic responsibility for addressing the critical societal issues raised by AI technologies' (p. 32). - UNICEF (2021) highlights the need to 'provide transparency, explainability, and accountability for children,' [emphasis added] suggesting that organisations should 'Develop AI systems so that they protect and empowe"
1,5,0.4389570799304747,"staff, guidance, principle, privacy, responsible, integrity, ethical, academic, educator, step, review, literacy",usa,policy_ai_policy_considerations_for_schools_and_mats,,link typically sit alongside exist arrangement safeguard child protection protection acceptable assessment behaviour ownership accountability finally trust wish record responsible approve clear ownership accountability governance product safety standard january publish october child safe paper principle mark january assessment guidance revision october response guidance guidance assessment produce share ict guarantee accuracy contain advice kind let procurement speak team,"11. Links to other policies

AI policies typically sit alongside existing arrangements, such as:

- Safeguarding and Child Protection
- Data Protection
- Acceptable Use
- Assessment
- Behaviour

12. Ownership and accountability

Finally, schools and trusts may wish to record:

- Who is responsible for the policy
- When it was approved
- When it will be reviewed

Clear ownership supports accountability and supports effective governance.

England

- DfE: Generative AI - product safety standards (19 January 2026)
- Ofsted: published approach to AI (21 October 2025)
- Keeping Children Safe in Education 2025
- Ofqual working paper: principles for AI use in marking (14 January 2026)
- JCQ: AI use in assessments guidance (Revision 2, 30 April 2025)

Wales

- Estyn thematic report (October 2025) and Welsh Government response
- Hwb generative AI guidance

Scotland

- SQA guidance on generative AI use in assessments (2025-26)

Disclaimer: This document has been produced in the spirit of sharing "
