cause_topic,cause_topic_code,relation_type,effect_topic,effect_topic_code,signed_gap,absolute_gap,evidence_rank_score,policy_sources,sentiment_sources,evidence_corpus,frame_id,chunk_id,doc_id,source_file,heading_context,frame_sentence,cause_span,relation_cue,effect_span,frame_quality,cause_assignment_method,effect_assignment_method,analysis_weight
8,P8,enables_or_supports,2,P2,-0.08072547982366572,0.08072547982366572,0.17737200828581742,6,2,policy,policy_frame_02809,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx_chunk_0007,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx,markdown/cleaned/policy/usa/Model Policy Artificial Intelligence AI Use in Schools.docx.md,,Family FAQ: Understanding AI in Our Schools This FAQ is designed to help parents and guardians understand how Artificial Intelligence (AI) is being thoughtfully integrated into classrooms at [School/District Name].,Understanding AI in Our Schools This FAQ is,designed to,help parents and guardians understand how Artificial Intelligence (AI) is being thoughtfully integrated into classrooms at [School/District Name].,0.759095238095238,hybrid_span_projection,hybrid_span_projection,0.021789423798157168
8,P8,enables_or_supports,2,P2,-0.08072547982366572,0.08072547982366572,0.17737200828581742,6,2,policy,policy_frame_01129,policy_ai_policy_and_regulations_of_france_comprehensive_report_chunk_0008,policy_ai_policy_and_regulations_of_france_comprehensive_report,markdown/cleaned/policy/france/AI Policy and  Regulations of France:  Comprehensive Report.md,(II) French Government's AI Action Plan,"Adopt an 'AI exception' principle in public research, easing certain regulatory constraints to allow researchers to experiment more freely with AI (for example, in data usage).","Adopt an 'AI exception' principle in public research, easing certain regulatory constraints",to allow,"researchers to experiment more freely with AI (for example, in data usage).",0.8848571428571427,hybrid_span_projection,hybrid_span_projection,0.0052323574093234545
8,P8,enables_or_supports,2,P2,-0.08072547982366572,0.08072547982366572,0.17737200828581742,6,2,sentiment,sentiment_frame_00572,sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group_chunk_0002,sentiment_original_les_jeunes_fran_ais_face_l_ia_g_n_rative_usages_perceptions_et_app_tence_pour_les_formations_d_di_es_ifop_group,"markdown/cleaned/sentiment/Les jeunes Français face à l’IA générative _ usages, perceptions et appétence pour les formations dédiées - Ifop Group.md",2) Une utilité perçue très forte qui encourage l'utilisation de ces outils,"Une utilité perçue très forte qui encourage l'utilisation de ces outils Autre signe de cette percée de l'IA chez les jeunes : 92 % des utilisateurs affirment que ces outils leur sont utiles au quotidien, et près de la moitié (43 %) les jugent même 'très utiles', cette perception étant renforcée chez les habitants d'agglomération parisienne (54%) par rapport aux habitants de commune urbaines de province ou rurales.",Une utilité perçue très forte qui,encourage,l'utilisation de ces outils Autre signe de cette percée de l'IA chez les jeunes,0.6307321428571429,document_nmf_fallback,hybrid_span_projection,0.36927915131638267
8,P8,enables_or_supports,2,P2,-0.08072547982366572,0.08072547982366572,0.17737200828581742,6,2,sentiment,sentiment_frame_00448,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn_chunk_0041,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,markdown/cleaned/sentiment/generative artificial intelligence in secondary education-KJ0125604ENN.md,5.1.1.1. GenAI and the integration of AI literacy into the formal curriculum,"In Ireland research participants saw potential for GenAI technologies to change practices in schools in time, provided the curriculum is adapted to enable such technologies to be utilised by students.","In Ireland research participants saw potential for GenAI technologies to change practices in schools in time, provided the curriculum is adapted",to enable,such technologies to be utilised by students.,0.7599999999999999,hybrid_span_projection,hybrid_span_projection,0.0016989720503228173
1,P1,causes_or_increases,1,P1,-0.03240032995009555,0.03240032995009555,0.08310520548703937,8,4,policy,policy_frame_02963,policy_oco_ai_policy_spotlight_report_chunk_0117,policy_oco_ai_policy_spotlight_report,markdown/cleaned/policy/ireland/OCO-AI-Policy-Spotlight-report-.md,Role of the OCO,"The OCO's role as a champion for children's rights in the context of AI was highlighted, with participants highlighting the need to raise concerns relating to children and AI with policymakers, legislators and European and Irish regulators.","The OCO's role as a champion for children's rights in the context of AI was highlighted, with participants highlighting the need",raise,"concerns relating to children and AI with policymakers, legislators and European and Irish regulators.",0.8713043478260869,hybrid_span_projection,hybrid_span_projection,0.004470852049276249
1,P1,causes_or_increases,1,P1,-0.03240032995009555,0.03240032995009555,0.08310520548703937,8,4,policy,policy_frame_01652,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa_chunk_0030,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,markdown/cleaned/policy/australia/AI systems in teaching and learning_ Principles and practical exa.md,"Box 7. Reference to human, child and worker rights in the reviewed guidance","11, 14-15) discusses child rights, covering aspects such as leveraging developmental windows of opportunity, ensuring algorithmic accountability and creating context for policymaking.","11, 14-15) discusses child rights, covering aspects such as leveraging developmental windows of opportunity, ensuring algorithmic accountability and",creating,context for policymaking.,0.5952631578947368,hybrid_span_projection,document_nmf_fallback,0.0028551351492664173
1,P1,causes_or_increases,1,P1,-0.03240032995009555,0.03240032995009555,0.08310520548703937,8,4,sentiment,sentiment_frame_00570,sentiment_original_how_are_teachers_in_europe_using_ai_in_the_classroom_and_which_country_uses_it_the_most_euronews_chunk_0006,sentiment_original_how_are_teachers_in_europe_using_ai_in_the_classroom_and_which_country_uses_it_the_most_euronews,markdown/cleaned/sentiment/How are teachers in Europe using AI in the classroom and which country uses it the most_ _ Euronews.md,Teachers' reported uses of AI in education,"Out of teachers who used AI, on average in the European Union (EU-22), almost twothirds (65 per cent) say that they use it to efficiently learn about and summarise a topic, and 64 per cent use AI to generate lesson plans or activities.","Out of teachers who used AI, on average in the European Union (EU-22), almost twothirds (65 per cent) say that they use it to efficiently learn about and summarise a topic, and 64 per cent use AI",to generate,lesson plans or activities.,0.7092745376955903,document_nmf_fallback,document_nmf_fallback,0.08034317839156097
1,P1,causes_or_increases,1,P1,-0.03240032995009555,0.03240032995009555,0.08310520548703937,8,4,sentiment,sentiment_frame_00024,sentiment_original_051024_insights_into_ai_and_the_youth_sector_chunk_0016,sentiment_original_051024_insights_into_ai_and_the_youth_sector,markdown/cleaned/sentiment/051024_Insights into AI and the youth sector.md,AI as a challenge,"AI's impact on social rights - there are situations where the deployment of AI technologies has caused actual harm to people's rights, often due to discovered biases in such technologies; 3.",AI's impact on social rights - there are situations where the deployment of AI technologies has,caused,"actual harm to people's rights, often due to discovered biases in such technologies",0.9280357142857143,hybrid_span_projection,hybrid_span_projection,0.005401207631381914
2,P2,requires_or_depends_on,2,P2,0.03034836419345528,0.03034836419345528,0.05437696891920514,4,1,policy,policy_frame_02580,policy_l_ia_en_ducation_cadre_d_usage_chunk_0004,policy_l_ia_en_ducation_cadre_d_usage,markdown/cleaned/policy/france/l-ia-en-ducation---cadre-d-usage.md,Des usages en pleine explosion ouvrant de nombreuses potentialités,"En effet, l'utilisation éclairée de l'IA nécessite un savoir que l'École doit transmettre aux élèves pour qu'ils puissent la comprendre et la maîtriser en tant qu'utilisateurs et futurs citoyens.",un savoir que l'École doit transmettre aux élèves pour qu'ils puissent la comprendre et la maîtriser en tant qu'utilisateurs et futurs citoyens.,nécessite,"En effet, l'utilisation éclairée de l'IA",0.6904772727272727,document_nmf_fallback,hybrid_span_projection,0.4155380889973342
2,P2,requires_or_depends_on,2,P2,0.03034836419345528,0.03034836419345528,0.05437696891920514,4,1,policy,policy_frame_02719,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance_chunk_0013,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance,markdown/cleaned/policy/france/L’intelligence artificielle en éducation  - Cadre d’usage et de confiance.md,Fonctionnement général d'un modèle génératif à partir d'un prompt utilisateur,"Elle montre aussi que la réponse dépend de plusieurs étapes intermédiaires, notamment la tokenisation, le contexte, les probabilités, la génération progressive et le filtrage.","plusieurs étapes intermédiaires, notamment la tokenisation, le contexte, les probabilités, la génération progressive et le filtrage.",dépend de,Elle montre aussi que la réponse,0.6741607142857142,document_nmf_fallback,document_nmf_fallback,0.01359116526574751
