analysis_id,scope,cluster_id,direction,agentic_semantic_deficit
global__batch_01,global,global__batch_01__cluster_01,policy_to_sentiment,0.39999999999999997
global__batch_01,global,global__batch_01__cluster_01,sentiment_to_policy,0.39999999999999997
global__batch_01,global,global__batch_01__cluster_04,policy_to_sentiment,0.35
global__batch_01,global,global__batch_01__cluster_04,sentiment_to_policy,0.35
global__batch_02,global,global__batch_02__cluster_01,policy_to_sentiment,0.6666666666666666
global__batch_02,global,global__batch_02__cluster_01,sentiment_to_policy,0.6666666666666666
global__batch_03,global,global__batch_03__cluster_06,policy_to_sentiment,0.15000000000000002
global__batch_03,global,global__batch_03__cluster_06,sentiment_to_policy,0.15000000000000002
france__batch_01,france,france__batch_01__cluster_01,policy_to_sentiment,0.6
france__batch_01,france,france__batch_01__cluster_01,sentiment_to_policy,0.6
france__batch_02,france,france__batch_02__cluster_02,policy_to_sentiment,0.43333333333333335
france__batch_02,france,france__batch_02__cluster_02,sentiment_to_policy,0.43333333333333335
france__batch_02,france,france__batch_02__cluster_03,policy_to_sentiment,0.5
france__batch_02,france,france__batch_02__cluster_03,sentiment_to_policy,0.5
france__batch_02,france,france__batch_02__cluster_06,policy_to_sentiment,0.5
france__batch_02,france,france__batch_02__cluster_06,sentiment_to_policy,0.5
france__batch_02,france,france__batch_02__cluster_07,policy_to_sentiment,0.55
france__batch_02,france,france__batch_02__cluster_07,sentiment_to_policy,0.55
france__batch_03,france,france__batch_03__cluster_01,policy_to_sentiment,0.6
france__batch_03,france,france__batch_03__cluster_01,sentiment_to_policy,0.4
france__batch_03,france,france__batch_03__cluster_02,policy_to_sentiment,0.55
france__batch_03,france,france__batch_03__cluster_02,sentiment_to_policy,0.55
france__batch_03,france,france__batch_03__cluster_03,policy_to_sentiment,0.4666666666666666
france__batch_03,france,france__batch_03__cluster_03,sentiment_to_policy,0.4666666666666666
ireland__batch_01,ireland,ireland__batch_01__cluster_02,policy_to_sentiment,0.3
ireland__batch_01,ireland,ireland__batch_01__cluster_02,sentiment_to_policy,0.6166666666666667
ireland__batch_01,ireland,ireland__batch_01__cluster_03,policy_to_sentiment,0.15
ireland__batch_01,ireland,ireland__batch_01__cluster_03,sentiment_to_policy,0.7
ireland__batch_02,ireland,ireland__batch_02__cluster_03,policy_to_sentiment,0.2333333333333333
ireland__batch_02,ireland,ireland__batch_02__cluster_03,sentiment_to_policy,0.2333333333333333
ireland__batch_03,ireland,ireland__batch_03__cluster_01,policy_to_sentiment,0.4000000000000001
ireland__batch_03,ireland,ireland__batch_03__cluster_01,sentiment_to_policy,0.4000000000000001
