topic,representativeness_score,topic_confidence,topic_margin,doc_id,source_type,synthetic_type,nmf_token_count,nmf_source_text,nmf_clean_text
0,0.9649892853842347,0.9649892853842347,0.9299785707684693,sentiment_original_051024_insights_into_ai_and_the_youth_sector,original,not_synthetic,51,"Young people and AI

It is widely understood that algorithmic filtering of social media can have a corrosive effect on young people's sense of self. 3 Yet, this is not the only use of the technology, since similar optimisations are applied across education, employment and many other fields that affect young people's everyday lives. The following subsections bring insights into how the use of AI can affect some of the important rights connected to young people - well-being and mental health, employment, education and civic rights. 3. Wakefield J. (2021), ""Facebook under fire over secret teen research"", BBC News, available at www.bbc. com/news/technology-58570353, accessed 24 November 2023. Figure 3. Areas in which we can notice the impact of AI on young people",young people widely understood algorithmic filter social medium corrosive effect young people sense self similar optimisation apply employment field affect young people everyday live follow subsection bring insight affect connect young people well-being mental health employment civic wakefield facebook fire secret teen research bbc news news november notice impact young people
0,0.9580120466411074,0.9580120466411074,0.9160240932822148,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,original,not_synthetic,35,"How are young people using AI?. Different words were used to describe AI, like:

if RADICALLY expanded

Efficiency Scientific Helpful Dangerous Solution Automation

Possible plagiarism

sep

409630. ®

10:

bin

d

bo

How are young people using AI?

We also asked whether they used AI and what they liked to use it for. Some YAP members used AI less than others, but everybody had used it at least once. While many felt they knew how to use AI responsibly, they worried that not everybody does, especially younger children. The main things the YAP used AI for included:

- Schoolwork and study
- Getting information and fact-checking
- Engaging in hobbies and for entertainment
- Asking for advice, including physical and mental health support",young people word radically expand efficiency scientific helpful dangerous solution automation plagiarism sep bin young people liked felt knew responsibly worry especially young child main thing schoolwork fact-checking hobby entertainment advice physical mental health support
0,0.9321097554997144,0.9321097554997144,0.8642195109994288,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,original,not_synthetic,98,"6. INCLUDE CHILDREN

The YAP want to see young people included as part of this work, as well as parents, experts, schools and AI companies. They know children's voices are not the decider; they must be balanced with what is best for young people. But AI will have a huge impact on children, good and bad, and children have the right to have a say on things that affect them. uV.Deferred().always

e,f.opts,t,n,f.opts.specialEa

th（e,[f]),!1)},f=u.promise)

s;Qn(l,f.opts.specialEasing);fo

（i=s[1l c-eIn]=s[0]),n!==rssl

ss（f.opts.progress).done(f.opts.do

L.n.queu

-nction(e,t Ht

3:

（n

）ro

（n,r,i）,

tor(;ua;u

7e i （i 0））rnr）

Jn（e,t)(var.n,r,i,s,o e.dat

pe n.getResponseHeader(

（n)for(r.in.a)(s-r.split(

[return.setTimeout（function（）

onversion.from.""+u"",to.""1）

olways(function()fdelete a.el

e,T.opts,t,t.opts.specialEasing(t)/lf.opts. fu.promise({elem:e,props:v.e)

s;Qn（l,t.gts.specialEasing);for(:i&lt;oji++){r

（i=s[1]sen]=s[0]),n!==rss（e[r]=s,delete. ss(f.optsprogress).done(f.opts.done,f.opts. =e.nodypesSGt（e);n.queuel|(l=v.\_queueHooks

lock""o.zoom=1)),n.overflows&amp;(p.overflow""hi

fire(A)})),e.nodeType==1&amp;s（""height""in.t|1

og9

eD

e"";if(s===(g?""hide"":""show""))continue;m. otype.init(e,t,n,r,i)}function.Zn（e,t){va

ta(e,""fxshow"",!0);for(t.in.d)v.stylele,t)

1}var.n,r,i=e.document,s=e.location,o=e.n

+][\s\uFEFF\xA0]+$/g,=/~（7:[^#&lt;]*（&lt;[\w\W]

e,c=Array-prototype.indexof,h-Object.proto

,C=/-ms-/,k=/-（[\da-z])/gi,L=function（e

""string""）{e.charAt（o)=-""""sSe.cha

chEvent（""onreadystatechange"",A),v.ready()

rr+his.attr.call（e,n,!o),v.m

e)(return.e--null7this. irn.v.isFunction(e)?r.re

,selector+(this.select

（""""）

is.slice(el

d

Ombudsman for Children's Office Millenium House 52-56 Great Strand Street Dublin 1 D01 F5P8

T:

01 865 6800

F:

01 874 7333

E:

oco@oco.ie

www.oco.ie

@OCO\_Ireland",child young people parent expert company know child voice decider balance best young people huge impact child good bad child thing affect defer specialea promise specialeasing c-ein rssl progress queu nction tor rnr dat getresponseheader split return settimeout onversion olways fdelete specialeasing promise elem prop gts specialeasing oji sen rss delete optsprogress nodypessgt queuel queuehooks lock zoom overflow overflow fire nodetype height hide continue otype init fxshow stylele location ufeff array-prototype indexof h-object proto da-z string charat sse cha chevent onreadystatechange ready attr return e--null irn isfunction selector select slice ombudsman child office millenium house great strand street
0,0.9290064441534167,0.9290064441534167,0.8580128883068334,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,original,not_synthetic,92,"4. ADAPT, DON'T BAN:

'The best way is to have trust in people and keep these markets open and regulated so that people can safely use AI.'

The YAP want AI to be accessible to young people and not banned. They worried that banning AI would lead to unregulated markets that could be very unsafe for children. Not all YAP members agreed that schools should be adapting to use AI in education. Different ways to strike the balance were mentioned, like:

- Teaching young people how to use AI responsibly
- Limiting what AI is used for in school
- Asking young people to be open about using AI
- Using AI detectors to stop plagiarism
- Making efforts to cultivate young people's creativity
- Developing clear policies so children know what's right and wrong

Given the differences between schools, the YAP want schools to create their own local rules around AI, informed by the Government, teachers, experts, parents and young people themselves. (i&lt;o;i+

（e[r]=s,delete.e)

s.done,f.opts

(l=v.\_queueHooks（e)

w&amp;&amp;(p.overflo

&amp;&amp;(""height""i-tll""widt

""show""))contini idden""

or(t.in.d)v.styl

nt,s=e.location,

)}function.Zn(e,

index0f,h=Object

-z])/gi,L=functiou

W=/（7:[#&lt;]*（&lt;l

change"",A),v.read)

r.call（e,n,!o),v.m

rAt（0）=a&lt;S&amp;e.ch

nEunction(e)?r.reao

ersx

urn.set.ys（function() J.promise(felem Jpts.specialEasingl .specialEasing):for(1 rogress).done(f.opts.done e[n]=s[o]),nl==r&amp;&amp;（e[r]=s /pe5sGt（e);n.queue||(l=v.\_9 })),e.nodeType===1&amp;&amp;(""height (zoom=1)),n.overflow&amp;&amp;(p.overf ;if(s===(g?""hide"":""show""))cont (e fxshow 10);for(t.in.d)v.sl lifunction.Zn ov e,t,r L=e.d orot",adapt ban best trust people market open regulate people safely accessible young people ban worried ban lead unregulated market unsafe child adapt strike balance mention teach young people responsibly limit young people open detector stop plagiarism effort cultivate young people creativity clear child know wrong difference local rule inform teacher expert parent young people delete queuehooks overflo height i-tll widt contini idden styl location index object functiou read rat neunction reao ersx urn set promise felem jpts specialeasingl specialeasing rogress sgt queue nodetype height zoom overflow overf hide cont fxshow lifunction orot
0,0.9015621456228613,0.9015621456228613,0.8031242912457226,sentiment_original_051024_insights_into_ai_and_the_youth_sector,original,not_synthetic,110,"2.1. AI and well-being. Young people and AI: wellbeing, employment, education and civic rights

This figure presents young people and AI at the centre of four overlapping policy and social dimensions. The four dimensions are:

- Well-being
- Employment
- Education
- Civic rights

2.1. AI and well-being

The Covid-19 pandemic was an important milestone in the increased use of AIpowered technologies. As it forced schools to shut down or limit access to spaces of physical socialisation and leisure, young people's lives moved online, which meant more interaction with AI-based technologies. While the physical social life of young people was limited, the technological solutions for replacing it grew. A general increase of the use of digital media, and particularly social media, has shown growth in active users ranging from 8% to 38%. 4 However, this came with new challenges: young people's mental health was at stake. A 2022 study, 5 which did a systematic review and meta-analysis of 30 studies published up to September 2021, indicated a primarily negative association between mental health and digital media use in adolescents during Covid-19. However, according to the study, not all types of digital media use had adverse consequences on adolescents' mental health. One-to-one communication, self-disclosure in the context of mutual online friendship, as well as positive and funny online experiences mitigated feelings of loneliness and stress. 4. Statista, Growth of monthly active users of selected social media platforms worldwide from 2019 to 2021, available at www.statista.com/statistics/1219318/social-media-platforms-growth-of-mau-worldwide/, accessed 24 November 2023. 5. Marciano L. et al. (2022), Digital Media Use and Adolescents' Mental Health During the Covid-19 Pandemic: A Systematic Review and Meta-Analysis, Frontiers, available at www.frontiersin.org/articles/10.3389/fpubh.2021.793868/full, accessed 24 November 2023.",well-being young people wellbeing employment civic young people centre overlap social dimension dimension well-being employment civic well-being pandemic milestone increase aipowered force shut limit space physical socialisation leisure young people live meant interaction ai-based physical social life young people limited solution grow increase medium particularly social medium growth user come challenge young people mental health stake systematic review meta-analysis publish september indicate primarily negative association mental health medium adolescent accord medium adverse consequence adolescent mental health one-to-one communication self-disclosure context mutual friendship positive funny experience mitigate feeling loneliness stress statista growth monthly user select social medium worldwide accessed november marciano medium adolescent mental health pandemic systematic review meta-analysis frontier november
1,1.0,1.0,1.0,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,35,"3. School Leader Questionnaire Summary

use of digital technologies and AI during the last five years. None reported participating in AI-related studies. All school principals reported that all teachers had access to a device that they could use both in the classroom for teaching and at home for their planning and preparation of school-related work. All teachers also had access to a multimedia projector or smartboard in all the classrooms in the school so could, if they wished, utilise them in their classroom learning and teaching activities. Table A3. School principal responses regarding the number of digital devices available for student use in their school

| | Minimum | Maximum | Mean | SD |
|----------------------------|-----------|-----------|--------|-------|
| Desktops | 25 | 100 | 61.3 | 39.2 |
| Laptops | 90 | 150 | 108.8 | 28.4 |
| Tablets | 0 | 100 | 31.3 | 46.3 |
| Total | 120 | 350 | 201.3 | 103.3 |
| No. of students per device | 2.4 | 4.7 | 3.5 | 1.3 |

Although not all students had access to an individual device there were enough devices in the schools to enable students to use them in their learning at least in pairs or small groups. In addition, depending on the management of the devices it was possible for students to have individual access for some of their classroom learning activities.",leader summary year participate ai-related teacher teach home planning preparation school-related teacher multimedia projector smartboard wish utilise teaching student minimum maximum desktop laptops tablet student student individual student pair small addition depend management student individual
1,1.0,1.0,1.0,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,30,"1. Stratification Process

Table A1. Stratification variables: School DEIS status, school size and subject (composition of mathematics and French participating teachers within each school)

| DEIS status | School size | Subject | Stratum | No. of schools (No. of students) | No. of schools assigned to Control Group (No. of students) | No. of schools assigned to Intervention Group (No. of students) |
|---------------|------------------------|--------------------------|-----------|------------------------------------|--------------------------------------------------------------|-------------------------------------------------------------------|
| DEIS | 700 students or less | More French or 50% - 50% | 1 | 3 | 1 | 2 |
| DEIS | 700 students or less | More Maths | 2 | 6 | 3 | 3 |
| DEIS | More than 700 students | More French or 50% - 50% | 3 | 2 | 1 | 1 |
| DEIS | More than 700 students | More Maths | 4 | 2 | 1 | 1 |
| Non- DEIS | 700 students or less | More French or 50% - 50% | 5 | 9 | 4 | 5 |
| Non- DEIS | 700 students or less | More Maths | 6 | 16 | 8 | 8 |
| Non- DEIS | More than 700 students | More French or 50% - 50% | 7 | 11 | 5 | 7 |
| Non- DEIS | More than 700 students | More Maths | 8 | 15 | 6 | 9 |",stratification stratification variable status size subject composition mathematics participate teacher status size subject stratum student control student student student student maths student student maths student student maths student student math
1,0.9901210308824596,0.9901210308824596,0.9802420617649192,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,44,"Teachers' intention to use AI and use of AI. 4.4 Teachers' intention to use AI and use of AI

out of 24 participants (62.5%) did not submit a response, while a further participant submitted a response that was not analysable. Of the eight who did submit a response, six mentioned online quiz tools such as Quizlet or Blooket. One mentioned Seneca Learning, while another mentioned Google Classroom. Table 8. Numbers/percentages of teachers who have used the following AI tools for teaching and learning this school year

| | I use this tool for my work | I use this tool for my work | I ask my students to use this tool | I ask my students to use this tool | I use this tool for my work AND I ask my students to use it | I use this tool for my work AND I ask my students to use it | I do not use this tool for my work nor ask my students to use it | I do not use this tool for my work nor ask my students to use it |
|----------------------------------------------------------------|-------------------------------|-------------------------------|--------------------------------------|--------------------------------------|---------------------------------------------------------------|---------------------------------------------------------------|--------------------------------------------------------------------|--------------------------------------------------------------------|
| | n | % | n | % | n | % | n | % |
| Search engines (Google, Bing, Yahoo, etc.) | 3 | 12.5 | 0 | 0.0 | 20 | 83.3 | 1 | 4.2 |
| Automatic translators (Deepl, Linguee, Google Translate, etc.) | 3 | 27.3 | 0 | 0.0 | 5 | 45.5 | 3 | 27.3 |
| Intelligent personal assistant (Alexa, Siri, Cortana, etc.) | 2 | 8.3 | 0 | 0.0 | 0 | 0.0 | 22 | 91.7 |
| Duolingo for schools | 0 | 0.0 | 3 | 27.3 | 2 | 18.2 | 6 | 54.5 |
| Adaptiv'Lang | 0 | 0.0 | 0 | 0.0 | 0 | 0.0 | 11 | 100.0 |
| CheckMath | 1 | 6.7 | 1 | 6.7 | 0 | 0.0 | 13 | 86.7 |
| Photomath | 1 | 6.7 | 1 | 6.7 | 2 | 13.3 | 11 | 73.3 |

In addition, teachers were asked to report if they plan to use any new AI tools that they had not already discussed.",teacher intention teacher intention submit submit analysable submit mention quiz blooket mention seneca mention teacher follow teach year student student student student student student search engine bing yahoo automatic translator deepl linguee translate personal assistant alexa siri cortana adaptiv lang checkmath addition teacher discuss
1,0.9855716196959184,0.9855716196959184,0.9720711747608622,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,64,"Student use of AI. 6.3 Student use of AI

Most students reported that they quite often (once or more than once a week) use AI tools that are either generic (80%) or designed specifically for education (65%). Table 34. Student responses on the frequency of using AI tools this year and with the teacher engaged in the AI4T project

| | AI tools that are not designed specifically for education (such as search engines, automatic translators and intelligent personal assistants) | AI tools that are not designed specifically for education (such as search engines, automatic translators and intelligent personal assistants) | AI tools designed specifically for education (such as Photomath, Duolingo for schools, Kwyk and Grammarly) | AI tools designed specifically for education (such as Photomath, Duolingo for schools, Kwyk and Grammarly) |
|------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------|
| | n | % | n | % |
| More than once a week | 51 | 56.0 | 35 | 38.5 |
| Once a week | 22 | 24.2 | 24 | 26.4 |
| At least once a month | 13 | 14.3 | 18 | 19.8 |
| Less than once a month | 3 | 3.3 | 12 | 13.2 |
| Never | 2 | 2.2 | 2 | 2.2 |

When asked to discuss the tools that the teacher who engaged in the AI4T project used with them, most students reported that they used search engines (e.g., Google, Bing and Yahoo). This finding was consistent both for the maths and the language (i.e., French) groups (82.8%; 87.3% respectively). Photomath was another commonly used tool by the maths group (62.1%), while automatic translators (69.8%) and Duolingo for schools (95.2%) were popular among students in the language group. Identification of these tools (i.e., Photomath and Duolingo) is not surprising as they were the tools chosen for use in the AI4T project. What is encouraging is the high percentage of students who reported using these tools with their teachers who were participating in the AI4T project. Table 35.",student student student week generic design specifically student frequency year teacher design specifically search engine automatic translator personal assistant design specifically search engine automatic translator personal assistant design specifically grammarly design specifically grammarly week week month month discus teacher student search engine bing yahoo consistent math language respectively commonly maths automatic translator popular student language identification surprising choose encourage high student tools teacher participate
1,0.9802203579356829,0.9802203579356829,0.961873068472899,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,44,"Student use of AI. 6.3 Student use of AI

group. Identification of these tools (i.e., Photomath and Duolingo) is not surprising as they were the tools chosen for use in the AI4T project. What is encouraging is the high percentage of students who reported using these tools with their teachers who were participating in the AI4T project. Table 35. Numbers/percentages of students who have used the following tools this year with the teacher engaged in the project

| | | n | % |
|-------------------------------|---------------------------------------------------------------|-----|------|
| Students of maths teachers | | | |
| | Search engines (Google, Bing, Yahoo, etc.) | 24 | 82.8 |
| | Intelligent personal assistant (Alexa, Siri, Cortana, etc.) | 5 | 17.2 |
| | Photomath | 18 | 62.1 |
| Students of language teachers | | | |
| | Search engines (Google, Bing, Yahoo, etc.) | 55 | 87.3 |
| | Automatic translator (Deepl, Linguee, Google Translate, etc.) | 44 | 69.8 |
| | Intelligent personal assistant (Alexa, Siri, Cortana, etc.) | 10 | 15.9 |
| | Duolingo for schools | 60 | 95.2 |",student student identification surprising choose encourage high student tools teacher participate student follow year teacher student maths teacher search engine bing yahoo personal assistant alexa siri cortana student language teacher search engine bing yahoo automatic translator deepl linguee translate personal assistant alexa siri cortana
