source_topic_space,source_topic,source_topic_code,mean_coverage_deficit,low_coverage_share,claims,direction,iteration
policy,0,P0,0.37062272,0.12931034482758622,116,policy_to_sentiment,0
policy,1,P1,0.3749892,0.1746031746031746,63,policy_to_sentiment,0
policy,2,P2,0.36869177,0.0625,32,policy_to_sentiment,0
policy,3,P3,0.31414944,0.038461538461538464,104,policy_to_sentiment,0
policy,4,P4,0.3809841,0.10869565217391304,46,policy_to_sentiment,0
policy,5,P5,0.3464345,0.06593406593406594,91,policy_to_sentiment,0
policy,6,P6,0.3842789,0.1415929203539823,113,policy_to_sentiment,0
policy,7,P7,0.35201883,0.09166666666666666,120,policy_to_sentiment,0
policy,8,P8,0.38527238,0.15789473684210525,76,policy_to_sentiment,0
sentiment,0,S0,0.38222367,0.18840579710144928,69,sentiment_to_policy,0
sentiment,1,S1,0.36185452,0.09420289855072464,138,sentiment_to_policy,0
sentiment,2,S2,0.41664094,0.061224489795918366,49,sentiment_to_policy,0
sentiment,3,S3,0.3394944,0.08181818181818182,220,sentiment_to_policy,0
sentiment,4,S4,0.35866597,0.0673076923076923,104,sentiment_to_policy,0
sentiment,5,S5,0.36409986,0.09876543209876543,81,sentiment_to_policy,0
sentiment,6,S6,0.39878747,0.21739130434782608,46,sentiment_to_policy,0
sentiment,7,S7,0.43336633,0.38461538461538464,39,sentiment_to_policy,0
sentiment,8,S8,0.39629704,0.06666666666666667,15,sentiment_to_policy,0
policy,0,P0,0.36756322,0.11818181818181818,110,policy_to_sentiment,1
policy,1,P1,0.391413,0.20408163265306123,49,policy_to_sentiment,1
policy,2,P2,0.3460572,0.027777777777777776,36,policy_to_sentiment,1
policy,3,P3,0.30441135,0.009009009009009009,111,policy_to_sentiment,1
policy,4,P4,0.38709235,0.14285714285714285,42,policy_to_sentiment,1
policy,5,P5,0.36156616,0.06896551724137931,87,policy_to_sentiment,1
policy,6,P6,0.36632055,0.1440677966101695,118,policy_to_sentiment,1
policy,7,P7,0.34362674,0.10619469026548672,113,policy_to_sentiment,1
policy,8,P8,0.37811744,0.15789473684210525,95,policy_to_sentiment,1
sentiment,0,S0,0.3853365,0.18840579710144928,69,sentiment_to_policy,1
sentiment,1,S1,0.3614251,0.08695652173913043,138,sentiment_to_policy,1
sentiment,2,S2,0.42076993,0.08163265306122448,49,sentiment_to_policy,1
sentiment,3,S3,0.3416325,0.08636363636363636,220,sentiment_to_policy,1
sentiment,4,S4,0.35726693,0.0673076923076923,104,sentiment_to_policy,1
sentiment,5,S5,0.36404708,0.1111111111111111,81,sentiment_to_policy,1
sentiment,6,S6,0.39866185,0.21739130434782608,46,sentiment_to_policy,1
sentiment,7,S7,0.4380276,0.38461538461538464,39,sentiment_to_policy,1
sentiment,8,S8,0.40415448,0.13333333333333333,15,sentiment_to_policy,1
policy,0,P0,0.37504378,0.10256410256410256,117,policy_to_sentiment,2
policy,1,P1,0.37862694,0.14,50,policy_to_sentiment,2
policy,2,P2,0.3712004,0.08571428571428572,35,policy_to_sentiment,2
