topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
0,1,0.07766515834501792,"déploiement, acteurs, établissements, place, mise, sein, académiques, entre, niveau, stratégie, cadre, nationale",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,"1.1. Un contexte marqué par une effervescence institutionnelle à tous les niveaux, au risque de la confusion",contexte effervescence institutionnelle niveaux risque confusion aujourd hui clairement publication nombreuses effervescence certaine parmi publication rapport produit octobre accompagner cours forte public nationale constate action niveaux parmi citer niveau nationale territoire tne entreprise solution propose nombreux outils certains mobilisant innovation direction cadre public banque territoires favorisant solution edtech accompagner apprentissages fondamentaux cycle cours depuis marqué identifiée marqué sénat débat ministère différents stratégie numérique éducatif développement développant,"1.1. Un contexte marqué par une effervescence institutionnelle à tous les niveaux, au risque de la confusion

La question de l'IA en éducation est aujourd'hui clairement identifiée. Les initiative s et publications, notamment institutionnelles, sont nombreuses, contribuant à un climat marqué par une effervescence certaine. Parmi les récentes publications en France, le rapport produit par le Sénat en octobre 2024 sur IA et éducation et invitant à accompagner les développements en cours 2 a eu une forte résonnance dans le débat public. Au ministère de l'Éducation nationale, on constate un foisonnement d'actions et d'initiatives à différents niveaux. Parmi ces initiatives institutionnelles, on peut citer, de manière non exhaustive, au niveau national :

- -l a stratégie nationale sur l'IA, appuyée par les financements France 2030 et le programme Territoire numérique éducatif (TNE ), qui a accéléré le développement d'une filière E dTech (entreprise développant des solutions de technologie "
0,2,0.07127768582042321,"déploiement, acteurs, établissements, place, mise, sein, académiques, entre, niveau, stratégie, cadre, nationale",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,Introduction,introduction bien fait apparition objet recherche raison calcul perspective nombreux conduit nationale novembre fait source espoirs craintes conduisant forte acteurs public conduit nationale mise place expert rapport mar apparait fois public futurs expert pouvant potentiels scolaire forte prise compte nouveaux outils tels sommet action scolaires administratif inscrite travail contexte enjeux fait besoin place scolaires discours positifs sein scolaires actes gestion administrative dès années années données développement déploiement stratégie dès société stratégie générations année déploiement b,"Introduction

Bien que l'intelligence artificielle (IA) ait fait son apparition comme objet de recherche dès les années 1950, elle a trouvé un essor important ces dernières années en raison de la disponibilité de données massives ainsi que du développement exponentiel de la puissance de calcul. La perspective du déploiement de l'IA dans de nombreux secteurs a conduit la France à se doter d'une stratégie nationale sur l'IA dès 2018. L'avènement de l'IA générative en novembre 2022 a fait de l'IA un phénomène de société et la source d'espoirs immenses mais aussi de craintes très fortes, conduisant à une forte pression sur les acteurs publics pour s'emparer de cette technologie. Cela a conduit à l'actualisation de la stratégie nationale par la mise en place d'une commission d'experts indépendante qui a rendu son rapport en mars 2024 1 . Dans ce dernier, l'éducation apparait à la fois comme un levier important pour former le public à l'IA , notamment les jeunes générations et les futurs exp"
0,3,0.06819194873089675,"déploiement, acteurs, établissements, place, mise, sein, académiques, entre, niveau, stratégie, cadre, nationale",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,2.3. Former à l'IA : une formation des cadres et enseignants à repenser et renforcer pour répondre à un besoin fort de formation,cadre repenser renforcer besoin fort cadre sein initiale continue essentielle acteurs questionnaires contexte global continue second aujourd hui complexe enjeux apparition rapide champ parce forte demande permet mettre point grand nombre pratiques enseignantes condition transition champ rapport mise place continue rapport ocde excellence professionnel renforcer continue cours continue ensemble répondre nécessité apparaît priorité interrogés degré éducatif améliorer résultats nécessaire numérique déploiement éducatif igésr écoles académiques développement écoles académiques igésr,"2.3. Former à l'IA : une formation des cadres et enseignants à repenser et renforcer pour répondre à un besoin fort de formation

L a nécessité d'une formation des enseignants et cadres à l'IA, au sein de la formation initiale comme continue, apparaît d'emblée comme une priorité essentielle soul ignée par tous les acteurs interrogés (dans les questionnaires comme en établissement). Le contexte global de la formation, notamment de la formation continue dans le second degré, est aujourd'hui complexe et dépasse les enjeux de la mission 37 . Néanmoins, l'apparition rapide de l'IA dans le champ éducatif, parce qu'elle s'accompagne d'une forte demande de formation, permet de mettre en lumière les points faibles mais aussi les leviers à activer pour une formation qui touche le plus grand nombre et permette d'améliorer les résultats des élèves en modifiant les pratiques enseignantes. C'est une condition nécessaire à la transition numérique et au déploiement de l'IA dans le champ éducatif. [34 "
0,4,0.059517555836472336,"déploiement, acteurs, établissements, place, mise, sein, académiques, entre, niveau, stratégie, cadre, nationale",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,Recommandation n° 5 : Replacer l'échelle de l'établissement comme un niveau d'action clef dans la stratégie globale en en faisant u n lieu privilégié de formation à l'IA et de croisement des réflexions pédagogiques.,recommandation replacer niveau action clef globale faisant lieu croisement autour ien direction sein conseils instant peu nombreuses terrain fait objet collective dehors parce freins lever permettre territoire renforcement scolaires regard marge man uvre scolaires bien tend nationale certaine politique choix porte mise uvre instruction revanche temp pourtant essentielle prise locale adaptation environnement forte innovation conseil reste fonctionnement certaine culture incluant parent recherche permis chez nombre culture essentielle contexte ailleurs juridique public locaux marge man uvre outi,"Recommandation n° 5 : Replacer l'échelle de l'établissement comme un niveau d'action clef dans la stratégie globale en en faisant u n lieu privilégié de formation à l'IA et de croisement des réflexions pédagogiques.

Si les initiatives autour de l'IA portées par les IEN 1 er degré ou les personnels de direction au sein des conseils pédagogiques sont, pour l'instant , très peu nombreuses s ur le terrain et que l'IA fait encore rarement l'objet d'une réflexion collective dans les établissements, en dehors de la question de la triche, c'est parce qu'il y a plusieurs freins à lever pour permettre, sur tout le territoire, un renforcement du rôle des établissements scolaires dans le déploiement de l'IA. Au regard de leurs homologues européens , la marge de manœuvre des établissements scolaires est bien moindre et tend à se réduire. La définition nationale des horaires et programmes garantit une certaine équité et continuité territoriale de la politique éducative. La latitude dans les choix p"
0,5,0.05859931681512822,"déploiement, acteurs, établissements, place, mise, sein, académiques, entre, niveau, stratégie, cadre, nationale",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,"1.1. Un contexte marqué par une effervescence institutionnelle à tous les niveaux, au risque de la confusion",contexte effervescence institutionnelle niveaux risque confusion public banque territoires favorisant solution edtech accompagner apprentissages fondamentaux cycle cours depuis offres cours cycle septembre gestes professionnels mise place creia forte favorisant partage niveau mise place veille animation autour cours administration centrale logique ation collective mutualisation futur pourra apporter expertise projets administratifs mise place groupes gtnum lieu travaux publication regard chercheurs acteurs terrain proposition cadre dgesco suivi consultation nationale grande cours moment rappor,"1.1. Un contexte marqué par une effervescence institutionnelle à tous les niveaux, au risque de la confusion

public innovant soutenu par le Secrétariat général pour l'investiss ement, opéré par la Banque des territoires et favorisant le déploiement de solutions EdTech basées sur l'IA. Des expérimentations d'usag e de l'IA pour accompagner les apprentissages des fondamentaux en cycle 2 sont ainsi en cours depuis plusieurs années 3 . Un autre appel d'offres est en cours pour le cycle 3 (début de l'expérimentation en septembre 2025) et un P2IA sur les gestes professionnels des enseignants a été annoncé pour un lancement à l'été 2025 ;
- -la mise en place par la DNE de la Communauté de réflexion en éducation sur l'intelligence artificielle (CREIA), forte de plus de 4 000 inscrits, favorisant le partage d'expériences avec l'IA au niveau national ;
- -la mise en place d'une plateforme de veille et l'animation d'une communauté par la DNE autour des expérimentations en cours sur l'usage de l'"
1,1,0.3952641509745841,"outils, données, utilisation, risques, apprentissages, critique, évaluation, devoir, travail, pédagogique, aide, compétences",france,policy_l_intelligence_artificielle_en_ducation_cadre_d_usage_et_de_confiance,Cadrage national,cadrage orientation travaux recherche recommandations elles autour assistance peuvent utiliser outils cours sous objectifs formateurs utiliser outils aide conception protection cadre scolaire usages professeurs doivent protection personnelles esprit critique accompagner esprit critique fonctionnement utilisation cadre esprit critique utilisation sous inscrit pleinement recommandations unesco comité éthique données pédagogique préparation réalisation activités pédagogiques contrôle éducatifs données données développement développer compréhension citoyenneté numérique équipes raisonnée contrôle,"Cadrage national

Les orientations ministérielles s'appuient sur les travaux de recherche et les recommandations du comité d'éthique pour les données éducation. Elles s'articulent autour de 3 axes :

- L'assistance pédagogique : les enseignants peuvent utiliser les outils d'intelligence artificielle générative pour les assister dans la préparation des cours et dans la réalisation d'activités pédagogiques, sous leur contrôle et en adéquation avec les objectifs éducatifs. Pour les formateurs, utiliser les outils d'intelligence artificielle est une aide à la conception de formations hybrides . - La protection des données : dans le cadre scolaire, les usages par les professeurs et les élèves doivent respecter et garantir la protection des données personnelles. - Le développement de l'esprit critique : les enseignants sont encouragés à accompagner les élèves à développer un esprit critique dans la compréhension du fonctionnement de l'intelligence artificielle et de son utilisation dans le c"
1,2,0.39217124098060263,"outils, données, utilisation, risques, apprentissages, critique, évaluation, devoir, travail, pédagogique, aide, compétences",france,policy_l_ia_en_ducation_cadre_d_usage,POURQUOI UN CADRE D'USAGE DE L'IA EN ÉDUCATION ?,cadre rapide contenus elles produire peu personnelles quant international fait peuvent certains fondamentaux rapport connaissance apprentissages construction cours production devoir elles peuvent ailleurs outils apprentissages soutenir geste cours aide administratives lors agent enjeux donner comprendre limites esprit critique certains fille permettre orienter vers domaine constitue enjeu apport potentiel cadre juridique alors outils disponibles actuellement majoritairement souverains libres fonctionnement ressources développement génératives diversité capacité accès données réflexions façon é,"POURQUOI UN CADRE D'USAGE DE L'IA EN ÉDUCATION ?

Le développement rapide et continu des IA, et notamment des IA génératives, leur simplicité d'usage et la diversité des contenus qu'elles ont la capacité de produire, en accès souvent gratuit mais peu respectueux des données personnelles, suscitent d'intenses réflexions quant à leurs applications pour l'éducation, en France comme à l'international. De fait, les IA peuvent remettre en question de façon profonde certains fondamentaux de l'École, comme le rapport à la connaissance et aux apprentissages, la construction de cours, la production de devoirs et leur évaluation. Elles peuvent par ailleurs s'avérer des outils au service de l'enseignement et des apprentissages, mais aussi pour soutenir le /guillemetleft geste enseignant /guillemetright (dans la préparation de cours, l'aide à l'évaluation, etc.) et pour simplifier des tâches administratives, dès lors que les agents en maîtrisent les enjeux et les usages. L'École doit donner aux élè"
1,3,0.3716859156328686,"outils, données, utilisation, risques, apprentissages, critique, évaluation, devoir, travail, pédagogique, aide, compétences",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,2.2.1. Des outils à base d'IA qui restent subordonnés à la scénarisation pédagogique,outils base restent enseigner aujourd hui utilisation outils certains entre institution cadre tne outils technologiques solution certaines solution semblent peu pertinentes instruction solution terrain celles faisant consensus savoir personnalisation apprentissages outils favorisant trajectoire adaptant assistance geste assistance production feedback aide outils construction production contenus aide base utilisation aider geste ailleurs amont sommet action faut noter outils permettant comprendre fonctionnement outils trouvent place enseignements tel solution permettent comprendre fonctionnemen,"2.2.1. Des outils à base d'IA qui restent subordonnés à la scénarisation pédagogique

Enseigner aujourd'hui avec l'IA, dans le respect de la réglementation, passe notamment par l'utilisation d'outils dédiés à l'éducation dont le déploiement a, pour certains d'entre eux, été soutenu par l'institution dans le cadre des P2IA ou des TNE (cf. 1.1 et 1.4. ). Le paysage des outils technologiques éducatifs s'étoffe de plus en plus de solutions basées sur l'IA. Certaines solutions semblent peu pertinentes (assimilables à des bibliothèques d'instructions génératives par exemple). Les solutions les plus prometteuses et déjà présentes sur le terrain sont celles correspondant aux usages faisant consensus, à savoir :

- -la personnalisation des apprentissages 29 , des outils utilisés par les élèves favorisant une trajectoire optimale d'apprentissage en adaptant les activités proposées aux élèves (exerciseurs basés sur l'algorithme Z PDES 30 , assistance à l'apprentissage du geste d'écriture , assist"
1,4,0.36991063131868235,"outils, données, utilisation, risques, apprentissages, critique, évaluation, devoir, travail, pédagogique, aide, compétences",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,2.2.1. Des outils à base d'IA qui restent subordonnés à la scénarisation pédagogique,outils base restent pensent chatgpt lorsqu adaptative pose parcours marge man uvre classe risque voire geste technique peu sens solution conception accompagnement nouvelles classe convient offrir nouvelles choix objectifs certaines travail adaptation gestes professionnels posture expert certains moment posture enjeux prendre compte implication destination permettre analyser discipline point vue cadre approche appui juste inclusive telle analyse fine discipline telle propose prendre compte allant critique protection enjeux outils lien scolaires subordonnés scénarisation pédagogique génératives ,"2.2.1. Des outils à base d'IA qui restent subordonnés à la scénarisation pédagogique

pensent à ChatGPT lorsqu'on évoque les IA génératives. En matière d'IA adaptative, la question se pose différemment. Si un parcours est déjà conçu par d'autres la marge de manœuvre de l'enseignan t dans la classe risque de se réduire, voire se limiter, à un geste technique peu porteur de sens. La solution réside dans la conception même de l'outil ou l'accompagnement à de nouvelles formes de scénarisations, de modalités ou de découpage de la classe. Il convient d'offrir la possibilité aux enseignants d'avoir des libertés réelles et peut -être nouvelles (choix des objectifs, de certaines modalités de travail, de la durée, du rythme prévu, etc.). L'arrivée de l'IA suppose une adaptation des gestes professionnels et de la posture de l'enseignant qui, s'il garde son statut d'expert, doit adopter, à certains moments, une posture d'accompagnant dans l'apprentissage, à côté de l'élève et non « devant » l'élèv"
1,5,0.3572413134665558,"outils, données, utilisation, risques, apprentissages, critique, évaluation, devoir, travail, pédagogique, aide, compétences",france,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,L'IA en administration : des usages dispersés et des potentialités multiples,administration constat administration outils permettant soutenir pilotage certaines afin davantage temps gestion complexe relation humaines directrice souligne aider analyse juridique situation devoir moment essentiel fait extrait concerne principalement aide comptes acteurs toujours conscience outils utilisent tels ceux emplois temp agit aller loin directement direction conception nouvelles celles permettant contraintes temps langage naturel logique participative outils essentielle abord demande ensuite prendre appui expertise enfin transparence regard enjeux fait constat mobilisant champ adm,"L'IA en administration : des usages dispersés et des potentialités multiples

La mission a pu faire le constat d'un usage encore très modeste de l'IA dans l'administration des établissements mais aussi d'un véritable intérêt pour l'intégration d'outils permettant de soutenir le pilotage et d'automatiser certaines tâches répétitives afin d'accorder davantage de temps et d'efficacité à la gestion complexe des relations humaines. Audelà de la simplification de tâches répétitives, la directrice d'une école labellisée « école du numérique » souligne auprès de la mission l'intérêt que pourrait revêtir l'usage de l'IA si un outil pouvait aider à l'analyse juridique et réglementaire de situations complexes mais aussi à la rédaction de courriers standardisés dans le respect du devoir de neutralité et en conformité avec la réglementation. Pour le moment, l'essentiel des usages se fait selon l'appétence individuelle (cf. extrait 7) et concerne principalement l'aide à la rédaction de comptes rendu"
