direction,topic_space,native_topic,topic_code,findings,evidence_sentences,mean_agentic_semantic_deficit
policy_to_sentiment,policy,2,P2,8,6,0.525
policy_to_sentiment,policy,3,P3,2,2,0.425
policy_to_sentiment,policy,5,P5,3,3,0.2833333333333334
policy_to_sentiment,policy,6,P6,1,1,0.2333333333333333
policy_to_sentiment,policy,7,P7,3,3,0.4055555555555555
sentiment_to_policy,sentiment,0,S0,1,1,0.39999999999999997
sentiment_to_policy,sentiment,1,S1,2,2,0.19166666666666665
sentiment_to_policy,sentiment,2,S2,1,1,0.35
sentiment_to_policy,sentiment,3,S3,1,1,0.6666666666666666
sentiment_to_policy,sentiment,5,S5,1,1,0.4000000000000001
sentiment_to_policy,sentiment,6,S6,2,1,0.5333333333333333
sentiment_to_policy,sentiment,7,S7,1,1,0.5
sentiment_to_policy,sentiment,8,S8,5,6,0.47222222222222227
