topic,representativeness_score,topic_confidence,topic_margin,doc_id,country,source_type,nmf_token_count,heading_context,nmf_source_text,nmf_clean_text
0,1.0,1.0,1.0,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france,original,33,Déploiement d'une première étape de prise en main de l'IA générative par les acteurs de l'Éducation nationale,"Déploiement d'une première étape de prise en main de l'IA générative par les acteurs de l'Éducation nationale

ou encore des réunions de bassins. La mise en place d'un réseau de 150 formateurs de formateurs au niveau national permettrait d'organiser 920 sessions de formation pour les formateurs (9 600 formateurs du 2 nd degré -1 par établissement -et 4 200 dans le 1 er degré -3 par circonscription). La formation des personnels d'encadrement pourra s'appuyer sur le réseau des formateurs de formateurs ainsi que sur la formation en cours de conception par l'IH2EF po ur enrichir le réseau de formateurs.",prise main acteurs nationale bassins mise place formateurs formateurs niveau permettrait organiser formateurs formateurs circonscription encadrement pourra appuyer formateurs formateurs cours conception enrichir formateurs déploiement première étape réunions réseau degré degré réseau réseau
0,1.0,1.0,1.0,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france,original,96,Liste des préconisations,"Liste des préconisations

des réflexions pédagogiques. Recommandation n° 6 : Au sein du conseil national de l'IA, m ettre en place un groupe de travail national en charge de produire des éléments de guidage et d'usage pour les chefs d'établissement et les inspecteurs dans le pilotage pédagogique et administratif des établissements intégrant l'IA. Recommandation n° 7 : Installer un e gouvernance de l'IA au cœur des prérogatives du conseil d'administration des établissements. Cette gouvernance aura en charge le pilotage de la stratégie d'intégration de l'IA dans le fonctionnement de l'établissement en lien avec l'ensemble des acteurs de la communauté éducative. Recommandation n° 8 : Confier au conseil national de l'IA l'élaboration d'un discours national clair quant à la place du numérique et de l'IA dans l'enseignement dispensé à tous les élèves. Recommandation n° 9 : Mettre en place une stratégie de déploiement de solutions durables, analysées sur la durée tant du point de vue économique que pédagogique. Pérenniser, par une coopération entre État et collectivités territoriales, la prise en charge financière d'outils numériques et d'outils à base d'IA en tant que matériel pédagogique indispensable au même titre que les manuels scolaires. Recommandation n° 10 : Renforcer le rôle de l'incubateur de la DNE pour en faire un acteur capable de porter la stratégie des communs numériques au niveau des outils.",liste recommandation sein conseil ettre place groupe travail charge produire guidage usage chefs inspecteurs pilotage administratif recommandation installer gouvernance conseil administration gouvernance charge pilotage fonctionnement lien ensemble acteurs recommandation confier conseil discours clair quant place recommandation mettre place solution durables tant point vue entre territoriales prise charge outils outils base tant indispensable manuels scolaires recommandation renforcer incubateur acteur capable porter communs niveau outils préconisations réflexions pédagogiques éléments pédagogique établissements intégrant prérogatives établissements stratégie intégration communauté éducative élaboration numérique dispensé stratégie déploiement analysées durée économique pédagogique pérenniser coopération état collectivités financière numériques matériel pédagogique rôle stratégie numériques
0,1.0,1.0,1.0,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france,original,157,Un besoin rapide de coordination à tous les niveaux pour un déploiement équitable sur le territoire,"Un besoin rapide de coordination à tous les niveaux pour un déploiement équitable sur le territoire

De multiples initiatives autou r de l'IA se développent aujourd'hui dans les établissements, dans les académies et au niveau de l'administration centrale, qu'il s'agisse de formation s, de création de ressources pédagogiques ou d'expérimentations. Celles -ci restent cependant trop souvent dépendantes de l'impulsion d'une personne (enseignant ou cadre) engagée personnellement dans ces thématiques. Il est essentiel de mieux coordonner ces initiatives afin d'en permettre la mutualisation mais aussi l'évaluation pédagogique et l'impulsion sur l'ensemble du territoire. Pour cela, la mission recommande la mise en place rapide d'instances de coordination à différents niveaux, de l'établissement jusqu'à l'administration centrale . - L'échelon de l'établissement est à renforcer dans le pilotage de la question car c'est à ce niveau que peuvent s'opérer des choix stratégiques adaptés au public accueilli et aux spécificités locales. - Au niveau académique, la mise en place d'un conseil académique de l'IA regroupant DRANE, EAFC, DASEN, corps d'inspection et représentants des personnels de direction et des enseignants est recommandée pour permettre le suivi du déploiement rapide du plan de formation, du curriculum IA et de la stratégie IA dans les établissements (cf. supra). - La mise en place d'un conseil national de l'IA regroupant les acteurs de l'administration centrale est essentiel, la question de l'IA devant faire l'ob j et d'un véritable dialogue au regard des multiples usages envisagés dans les actes pédagogiques comme dans la gestion éducative. Un tel c onseil national de l'IA devra assurer un suivi national du déploiement du plan de formation, du curriculum élèves et des stratégies IA dans les établissements mais également permettre un partage d'initiatives entre académies pour contribuer à la dynamique collective . Ce conseil national de l'IA sera également en charge de l'élaboration d'un discours commun autour de l'IA articulant numérique et pédagogie et permettant un déploiement équitable sur l'ensemble du territoire. Ces différentes instances de coordination et de réflexion autour de l'IA en éducation sont à mettre en place rapidement pour permettre un déploiement raisonné et équitable de l'IA dans le système scolaire mais aussi un accompagnement structuré de ces enjeux dans la durée.",besoin rapide coordination niveaux territoire autou aujourd hui niveau administration centrale agisse ressources celles restent trop impulsion personne cadre personnellement essentiel mieux coordonner afin permettre mutualisation impulsion ensemble territoire recommande mise place rapide instance coordination niveaux jusqu administration centrale renforcer pilotage car niveau peuvent choix public accueilli locale niveau mise place conseil regroupant drane eafc dasen corp inspection direction permettre suivi rapide curriculum supra mise place conseil regroupant acteurs administration centrale essentiel devant dialogue regard usages actes gestion tel onseil devra suivi curriculum permettre partage entre contribuer dynamique collective conseil charge discours commun autour articulant permettant ensemble territoire instance coordination autour mettre place rapidement permettre scolaire accompagnement enjeux déploiement équitable développent établissements académies création pédagogiques expérimentations dépendantes engagée thématiques évaluation pédagogique différents échelon opérer stratégiques adaptés spécificités académique académique représentants recommandée déploiement stratégie établissements véritable envisagés pédagogiques éducative déploiement stratégies établissements également académies également élaboration numérique pédagogie déploiement équitable différentes réflexion déploiement raisonné équitable système structuré durée
0,1.0,1.0,1.0,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france,original,131,Liste des préconisations,"Liste des préconisations

Recommandation n° 1 : Organiser l'identification et la mise à disposition d'usages pertinents de l'IA pour chaque discipline, dans le 1 er comme dans le 2 nd degré, grâce à une analyse systématique, par les corps d'inspection et les DANE à l'échelle académique, des différentes expérimentations disciplinaires, et une mutualisation interacadémique des usages à promouvoir, dans le cadre d'une publication annuelle élaborée par la DGESCO, la DNE et l'IGÉSR. Recommandation n° 2 : Déployer une formation massive et coordonnée à destination des cadres en académie et des enseignants. Pour les enseignants, la première étape de cette formation doit se dérouler en présentiel dans les établissements scolaires et porter sur la prise en main d'outils d'IA générative. Recommandation n° 3 : Formaliser un curriculum de formation à l'IA tout au long de la scolarité qui offre, en s'appuyant sur toutes les disciplines, une éducation à la littératie de l'IA pour tous les élèves dans l'ensemble des voies de formation, mais aussi une formation au fonctionnement de l'IA pouvant déboucher sur une spécialisation dans ce domaine. Recommandation n° 4 : Améliorer la coordination des acteurs au niveau national et académique. Formaliser cette coordination par un conseil de l'IA en éducation aux deux échelles. Le conseil national de l'IA réunira les différents services ministériels (DNE, DGESCO, DGRH, IGÉSR) et opérateurs. Ces conseils de l'IA au ront pour mission le suivi du déploiement de la formation, la mise en œuvre du curriculum à destination des élèves ainsi que du recueil de pratiques pédagogiques qui pourront alimenter une publication annuelle. Recommandation n° 5 : Replacer l'échelle de l'établissement comme un niveau d'action clef dans la stratégie globale en en faisant un lieu privilégié de formation à l'IA et de croisement des réflexions pédagogiques. Recommandation n° 6 : Au sein du conseil national de l'IA, m ettre en place un groupe de travail national en charge de produire des éléments de guidage et d'usage pour les chefs d'établissement et les inspecteurs dans le pilotage pédagogique et administratif des établissements intégrant l'IA.",liste recommandation organiser identification mise usages pertinents chaque discipline analyse corp inspection dane disciplinaires mutualisation usage cadre publication annuelle dgesco recommandation massive destination cadre scolaires porter prise main outils recommandation formaliser curriculum long offre appuyant discipline ensemble voies fonctionnement pouvant domaine recommandation coordination acteurs niveau formaliser coordination conseil deux conseil dgesco dgrh conseils ront suivi mise uvre curriculum destination recueil pratiques pourront alimenter publication annuelle recommandation replacer niveau action clef globale faisant lieu croisement recommandation sein conseil ettre place groupe travail charge produire guidage usage chefs inspecteurs pilotage administratif préconisations degré grâce systématique échelle académique différentes expérimentations interacadémique élaborée igésr déployer coordonnée académie première étape dérouler présentiel établissements scolarité littératie déboucher spécialisation améliorer académique échelles réunira différents ministériels igésr opérateurs déploiement pédagogiques échelle stratégie privilégié réflexions pédagogiques éléments pédagogique établissements intégrant
0,0.9970170767269639,0.9970170767269639,0.9940341534539279,policy_l_intelligence_artificielle_dans_les_tablissements_scolaires_sur_le_plan_administratif_et_p_dagogique,france,original,63,2.4.4. La nécessité d'un curriculum pluridisciplinaire cohérent de l'IA,"2.4.4. La nécessité d'un curriculum pluridisciplinaire cohérent de l'IA

c ompétences en IA des élèves, l'annonce de la mise en place de Pix+IA 44 pour les élèves de 4 e et de Seconde y répond partiellement dans sa capacité à certifier des compétences de pratique. Pour autant, cette plateforme ne peut pas se substituer à l'enseign ement de celles-ci. Afin d'accompagner la mise en place de ce curriculum, et d'en contrôler la réalité, il est nécessaire de mettre en place des éléments de suivi en l'intégrant, par exemple, aux évaluations et/ou aux dialogues de gestion des établissements. 44 Ensemble d'activités sur la plateforme PIX formant un parcours dédié à l'IA à destination des élèves du second degré. Recommandation n° 3 : Formaliser un curriculum de formation à l'IA tout au long de la scolarité qui offre, en s'appuyant sur toutes les disciplines, une éducation à la littératie de l'IA pour tous les élèves d ans l'ensemble des voies de for mation, mais aussi une formation au fonctionnement de l'IA pouvant déboucher sur une spécialisation dans ce domaine.",curriculum pluridisciplinaire annonce mise place pix seconde partiellement certifier pratique autant substituer enseign ement afin accompagner mise place curriculum mettre place suivi dialogue gestion ensemble pix formant parcours destination second recommandation formaliser curriculum long offre appuyant discipline ensemble voies mation fonctionnement pouvant domaine nécessité cohérent ompétences répond capacité compétences contrôler réalité nécessaire éléments intégrant évaluations établissements activités dédié degré scolarité littératie déboucher spécialisation
1,1.0,1.0,1.0,policy_men_dne_brochure_ia_2024_uk_web,france,original,38,2.3 A national strategy,"A national strategy. 2.3 A national strategy

'Artificial intelligence (AI) is a priority for France in the areas of research, economics, modernisation of public action, regulations and ethics. The Government launched a national AI strategy in 2018. Following the report 'Giving meaning to artificial intelligence: towards a national and European strategy' (2018) and as part of the France 2030 plan, the Government launched a national strategy for artificial intelligence (SNIA) in 2018. This strategy aims to position France as one of the European and global leaders in artificial intelligence (AI). The national strategy for artificial intelligence aims to safeguard and strengthen France's economic, technological and political sovereignty and put AI at the service of the economy and society. It is linked to the mastering sovereign and secure digital technologies component of the France 2030 plan.",strategy strategy priority research economics modernisation public action regulation ethic launch strategy follow european strategy launch strategy snia strategy aim position european global leader strategy aim safeguard strengthen economic political sovereignty economy society link master sovereign secure component
1,1.0,1.0,1.0,policy_ai_policy_and_regulations_of_france_comprehensive_report,france,original,142,(V) France's Investment in AI and Computing Power,"(V) France's Investment in AI and Computing Power

sovereign cloud platforms that can host AI services with appropriate data security (keeping sensitive data in France/Europe). Another aspect of infrastructure is data infrastructure: France has invested in platforms like the Health Data Hub (HDH), created in 2019 with a repository of medical data to support AI research in healthcare. Although the HDH faced privacy controversies, it exemplifies how targeted investments are providing AI developers with valuable resources (curated big datasets and environments for data sharing). Similarly, domain-specific testbeds - for example in autonomous vehicles or smart cities - have received funding to create real-world proving grounds for AI technologies under French oversight

Results and industry growth: These investments are beginning to show results in France's AI industry metrics. By late 2022, France had climbed in global rankings for AI startup funding and research output. The French AI sector encompasses not just startups but also an increasing number of AI integrators and service providers helping traditional companies adopt AI. Industrial giants like Airbus, Renault, and L'Oréal have opened AI centers of excellence internally, often in partnership with French AI firms or research institutes, leveraging government subsidies for innovation. The presence of 1,000+ AI startups and projects and tens of thousands of AI professionals in France points to a vibrant ecosystem. The government's push is also aimed at regional development - AI clusters exist not only in Paris but also in hubs like Grenoble (with its focus on AI for industry and edge computing), Toulouse (AI for aerospace), and Nice/Sophia Antipolis (AI for healthcare and smart cities). By spreading investment, France seeks broad economic impact from AI, including modernizing small and medium enterprises with AI tools (the target to support 400 SMEs by 2025). It's also worth noting France's investment in talent attraction and retention: Beyond education, France has tweaked immigration policies to attract AI talent (with a 'Tech Visa' to ease foreign experts' entry) and provides competitive grants to lure French researchers abroad back home.",investment compute power sovereign cloud host security sensitive europe aspect infrastructure infrastructure invest health hub hdh repository medical research healthcare hdh face privacy controversy exemplifies target investment developer valuable curated big environment share similarly testbeds autonomous vehicle smart city receive funding prove ground oversight result industry growth investment begin result industry metric late climb global ranking startup fund research output sector encompass startup increase number integrator provider help traditional company adopt industrial giant airbus renault open center excellence internally partnership firm research institute leverage subsidy innovation presence startup project thousand professional point vibrant ecosystem push aim regional cluster exist paris hub grenoble focus industry compute toulouse aerospace nice sophia antipolis healthcare smart city spread investment broad economic modernizing small medium target smes worth note investment attraction retention tweak immigration attract tech visa ease foreign expert entry competitive grant lure abroad home oréal
1,1.0,1.0,1.0,policy_ai_policy_and_regulations_of_france_comprehensive_report,france,original,128,(V) France's Investment in AI and Computing Power,"(V) France's Investment in AI and Computing Power

France's commitment to advancing AI is not only evident in its policies but also in substantial financial investments and the building of AI infrastructure. Over the past five years, France has markedly increased funding for AI research, startup development, and computing resources, with the dual goals of boosting economic growth and ensuring technological sovereignty. This section assesses France's public and private investment in AI, development of computational power, and the growth of its AI industry. A cornerstone of France's investment strategy is the France 2030 plan, unveiled in late 2021. Under this plan, the French government is investing €30 billion over five years in key technologies and industries, out of which €2.5 billion is dedicated specifically to AI and related digital technologies. This funding is being channeled into various initiatives: from supporting research labs and university programs, to providing grants and equity investment for AI startups, to cofinancing industrial AI projects in sectors like healthcare, mobility, and defense. The France 2030 investments build on earlier funding from the Programmes d'Investissements d'Avenir (PIA), which had already allocated significant resources to AI since 2018 as part of Phase 1 of the national strategy. According to one expert analysis, France intended to invest roughly €2.22 billion in AI from 2021 to 2025 under these combined programs, signaling an effort on par with global tech leaders in government AI spending. Research and Talent Development: A large portion of the funds has been devoted to strengthening AI research excellence. France has established or expanded a network of AI institutes and centers of excellence (such as the 3IA Institutes in Grenoble, Nice, Paris, and Toulouse), providing them with funding for cutting-edge projects and to attract world-class researchers. Dozens of new AI research chairs and fellowships have been sponsored at French universities to draw top AI academics and PhD students. By 2023, these efforts had propelled France to having the most AI laboratories in Europe and a thriving academic scene. Investment in human capital is further evidenced by new specialized AI degree programs, scholarships, and retraining schemes for the workforce.",investment compute power commitment advance evident substantial financial investment building infrastructure past year markedly increase funding research startup compute dual boost economic growth sovereignty assess public private investment computational power growth industry cornerstone investment strategy unveiled late investing year industry dedicate specifically fund channel research lab university grant equity investment startup cofinancing industrial project sector healthcare mobility defense investment build earlier funding investissements avenir pia allocate significant phase strategy accord expert analysis intend invest roughly combine signal effort global tech leader spend research large portion fund devote strengthen research excellence expanded network institute center excellence institute grenoble nice paris toulouse fund project attract dozen research chair fellowship sponsor university draw academic phd effort propel laboratory europe thrive academic scene investment capital evidence specialized degree scholarships retrain scheme workforce
1,1.0,1.0,1.0,policy_our_ai_our_ambition_for_france,france,original,49,E INNOVATING TO CONTROL OUR FUTURE,"E INNOVATING TO CONTROL OUR FUTURE

involving the leasing of computing power, subject to the use of a computing center established in the country Finally, industrial policy could be geared towards the emergence of an electronics industry adapted to AI It's not a question of chasing behind technological advances, but of creating our own comparative advantages. Targeting and concentrating resources will therefore be key to establishing our superiority in certain segments of the value chain, and thus being able to speak on an equal footing with our competitors and partners Targeting must go hand in hand with the gradual emergence of AI innovation ecosystems in France and Europe The path to differentiation could focus in particular on the environmental dimension, by targeting new generations of AI, from hardware architecture to the choice of models, that will consume less energy",innovate control lease compute power subject computing center finally industrial gear emergence electronics industry adapt chasing advance comparative advantage target concentrate superiority segment value chain speak equal footing competitor partner target hand hand gradual emergence innovation ecosystems europe path differentiation focus particular environmental dimension target generation choice consume energy
1,1.0,1.0,1.0,policy_ai_policy_and_regulations_of_france_comprehensive_report,france,original,146,(V) France's Investment in AI and Computing Power,"(V) France's Investment in AI and Computing Power

French universities to draw top AI academics and PhD students. By 2023, these efforts had propelled France to having the most AI laboratories in Europe and a thriving academic scene. Investment in human capital is further evidenced by new specialized AI degree programs, scholarships, and retraining schemes for the workforce. The government's goal of training at least 3,500 AI experts by 2025 (mentioned earlier) is backed by funding support to universities and Grandes Écoles to expand their capacity in AI courses. These educational investments aim to ensure a steady pipeline of AI engineers and scientists to fuel both research and industry needs. Startup and Industry Funding: France's AI startup ecosystem has seen significant growth, aided by public investment and incentives. As of 2023, there were over 600 AI-focused startups in France, a 24% increase since 2021 . Government initiatives, often through Bpifrance (the public investment bank), have provided grants, seed funding, and loans to AI startups at various stages. For example, calls for projects like the 'AI Boosters' and 'Challenges IA' competitions offer funding and support to innovative small and medium enterprises applying AI in areas like healthcare, environment, and industry. In addition, the government launched a public-private AI fund (initially around €80 million, with plans to scale up via France 2030) to invest equity in AI startups alongside venture capital, helping them scale and stay rooted in France. President Macron has frequently convened 'Tech summits' with large tech investors to encourage funding in French AI companies, contributing to record levels of venture capital flowing into French tech in recent years. Foreign investment in France's AI sector has also been robust. France prides itself on being the leading European country for foreign direct investment in AI projects. Global tech companies have established major AI research centers in France, drawn by the talent pool and government support. For instance, Google, Facebook (Meta), IBM, Microsoft, Samsung, Fujitsu, and DeepMind (Google's AI subsidiary) have all opened AI labs or increased their R&amp;D presence in Paris or other French cities.",investment compute power university draw academic phd effort propel laboratory europe thrive academic scene investment capital evidence specialized degree scholarships retrain scheme workforce train expert mention earlier backed funding university grandes expand capacity course investment aim steady pipeline engineer scientist fuel research industry startup industry funding startup ecosystem significant growth aid public investment incentives startup increase bpifrance public investment bank grant seed funding loan startups stage project booster competition offer fund innovative small medium apply healthcare environment industry addition launch fund initially million scale invest equity startup alongside venture capital help scale stay root president macron frequently convene tech summit large tech investor encourage fund company contribute record venture capital flow tech recent year foreign investment sector robust pride lead european foreign direct investment project global tech company major research center draw pool instance facebook samsung fujitsu deepmind subsidiary open lab increase presence paris city écoles
