topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
0,1,0.6121285896742663,"research, assessment, learner, formative, context, feedback, problem, tutor, journal, edtech, adaptivity, recommendation",usa,policy_ai_report_us_gov,Insight: AI Can Enhance Feedback Loops,insight feedback loops term formative assessment test measurement assessment formative result useful reflection course teach term feedback emphasizes measurement feedback lead instructional improvement adaptation teach strong outcome feedback loops term feedback small group feedback valuable moment skill feedback valuable large span effort reflection end present project term paper addition feedback help notice pattern respond idea feedback critical continuous improvement product aist corbett huang junker sklar evaluation automate read tutor listens comparison tutor instruction journal compute ,"Insight: AI Can Enhance Feedback Loops

The term 'formative assessment' does not singularly mean a test or a measurement. Assessment becomes formative when it results in useful reflections and changes to the course of teaching, learning, or both. 56 The term 'feedback loops' emphasizes that measurement is only part of the process. Feedback loops that lead to instructional improvement -including adaptations in teaching and learning -yield the strongest outcomes for students. We also use 'feedback loops' as a plural term because there are many types and levels of loops that are important. Students can benefit from feedback when they work individually, as a member of a small group, or in a classroom discussion. Feedback loops are valuable 'in the moment'for example, as a student practices a skill. Further, feedback loops are valuable when they cover larger spans of effort and reflections, such as at the end of presenting a project or term paper. In addition, feedback loops can assist teac"
0,2,0.5908194269230005,"research, assessment, learner, formative, context, feedback, problem, tutor, journal, edtech, adaptivity, recommendation",usa,policy_ai_report_us_gov,Recommendation #6: Focus R&amp;D on Addressing Context and Enhancing Trust and Safety,recommendation focus address context trust safety explore harm arise problem occur trust lead safe trustworthy vary learner diverse setting capability pattern limit number variable people normally think particularly good context people time science grow individualistic cognitive principle social dimension context matter follow trajectory context achieve vision listen attendee argue time explore best manage tension pace advancement broad contextual insight trust safety time involve attention balance power dynamic shift attention old frame priority achievement gap prioritize equity funders focus,"Recommendation #6: Focus R&amp;D on Addressing Context and Enhancing Trust and Safety

must also explore where harm may arise and the system problems that can occur through weak trust or over-trust in AI systems. R&amp;D must take the lead in making AI models more context-sensitive and ensuring that they are effective, safe, and trustworthy for use with varied learners in diverse settings. Although AI has capabilities to find patterns beyond the limited number of variables that people normally think about, AI is not particularly good at understanding and working with context in the ways people do. Over time, we've seen learning sciences grow to be less about individualistic cognitive principles and more encompassing first of social learning and then of the many dimensions of context that matter in learning. Our use of AI needs to follow this trajectory toward context to support educational applications. To achieve human-centric vision, listening session attendees argued that teams will"
0,3,0.5843208975886268,"research, assessment, learner, formative, context, feedback, problem, tutor, journal, edtech, adaptivity, recommendation",usa,policy_ai_report_us_gov,Key Opportunities for AI in Formative Assessment,formative assessment appear task helpful form assistance useful recent past educator expand assistance individual finally educator learn thing feedback hint completion homework utilize feedback later reinforce concept direct instruction strengthen additional recent instructor great contextual sense begin help leary assessment journal measure matter roll aleven mclaren koedinger improve help skill metacognitive feedback tutor instruction help behavior cooperative small group middle mathematics american research journal baker decision tree productive skill journal mining advocate strongly involv,"Key Opportunities for AI in Formative Assessment

he or she appears to be 'on task.' AI may also be helpful by highlighting for students and teachers what forms of assistance have been most useful to the student in the recent past so that an educator can expand access to specific assistance that works for that individual student. Finally, educators may learn things from AI-enabled systems and tools that give feedback and hints during the completion of homework, utilizing that feedback to later reinforce concepts in direct instruction and strengthen the one-on-one support provided to students. 65 AI-enabled systems and tools can provide teachers with additional information about the students' recent work, so their instructor has a greater contextual sense as they begin to provide help. 60 Gardner, J., O'Leary, M. &amp; Yuan, L. (2021). Artificial intelligence in educational assessment: ""Breakthrough? Or buncombe and ballyhoo?"" Journal of Computer Assisted Learning, 37(5), 1207 -1216. ht"
0,4,0.58021366234996,"research, assessment, learner, formative, context, feedback, problem, tutor, journal, edtech, adaptivity, recommendation",usa,policy_ai_report_us_gov,Partnership in Design-Based Research,partnership research course rethink professional thought lead priority aspect context partnership research regard inclusive design attendee listen bring variety rise universal design journal special roschelle innovation definition dynamic proceedings international conference science share power phase design result influence shape edtech shift listening developer standardize particular method share representative youth participate design method participant research investigate improve edtech educate listen attendee awareness collect developer representation solution context broad possibility ac,"Partnership in Design-Based Research

Of course, teachers must be included in rethinking their own professional development. This thought leads to another priority aspect of context: partnership in design-based research. With regard to inclusive design, attendees in our listening sessions brought up a variety of co-design 73

72 Rose, D. (2000). Universal design for learning. Journal of Special Education Technology , 15 (4), 47-51. https://doi.org/10.1177/016264340001500407

73 Roschelle, J., Penuel, W., &amp; Shechtman, N. (2006). Co-design of innovations with teachers: definition and dynamics. In Proceedings of the 7th International Conference on Learning Sciences , Bloomington, IN. https://doi.dx.org/10.22318/icls2006.606

and other participatory processes and goals that can be used in R&amp;D. 74 By co-design, they mean sharing power with non-researchers and non-developers through all the phases of design and development, which would result in more influence by teachers, students, "
0,5,0.5753292081491107,"research, assessment, learner, formative, context, feedback, problem, tutor, journal, edtech, adaptivity, recommendation",usa,policy_ai_report_us_gov,Insight: Aligning AI to Policy Objectives,insight align objective individual insight teach assessment research insight synthesize extensive listen advance bring advance objective objective retain focus assistant teach job closely emphasis know touch control instructional decision manage risk equitable especially pandemic shift edtech current alternative addition weakness assign fix edtech recommendation strength bring adapt cognitive social person powerful adapt disability english learner regard equity remain highly bias inherent firm action fairness regard growth trajectory successful career assessment formative guidance wider valuab,"Insight: Aligning AI to Policy Objectives

Individual sections of this policy report provided insights in each of four areas -learning, teaching, assessment, and research. These insights, synthesized from extensive stakeholder consultation and listening sessions, show that the advances in AI can bring opportunities to advance the Department's policy objectives:

- In support of our objective of attracting and retaining teachers, our nation could focus on AI assistants that make teaching jobs better and provide teachers with the information they need to work closely and empathically with students. An emphasis on teachers in the loop could ensure that AI-enabled classroom technologies keep teachers in the know, in touch with their students, and in control of important instructional decisions. Keeping the teacher in the loop is important to managing risks, as well. - In support of equitable learning, especially for those most affected by the pandemic, AI could shift edtech from a current "
1,1,0.37142956021286244,"synthetic, medium, deepfakes, material, assistant, pattern, bias, equity, language, help, educator, potential",usa,policy_generative_artificial_intelligence_ai_in_k_12_classrooms_v2,Using AI To Reach All Learners,reach learner intentional guidance great aid receive special language visual description visual help visualize content speech feature speech feature contribute content immediate multilingual learner language conversation order speak write skill receive immediate feedback allow language introduce word expression vary vocabulary privacy crucial confirm privacy rule privacy safety emphasize decision potential synthetic medium instructional strategy classrooms design lean assessment content prompt write response choice high order think expand content teach instructional modify response focus vocab,"Using AI To Reach All Learners

With intentional use and teacher guidance, AI can also be a great aid to students receiving special education and language services. For example, AI can provide visual descriptions of objects and scenes for students with visual impairments and can help them in visualizing content. Text to speech features and speech to text features can also make accessing and contributing to classroom content more fluid and immediate. Multilingual learners can benefit through language conversations with AI in order to practice speaking and writing skills. Asking questions and receiving immediate feedback allows for language development and can introduce new words, idiomatic expressions and varied vocabulary. Given student data privacy laws, however, it is crucial that districts confirm that their policy around student use of AI conforms to student data privacy rules - student privacy and safety should be emphasized first and foremost in any policy decisions. Potential of"
1,2,0.36401151485336297,"synthetic, medium, deepfakes, material, assistant, pattern, bias, equity, language, help, educator, potential",usa,policy_generative_artificial_intelligence_ai_in_k_12_classrooms_v2,What are the equity implications of generative AI in K-12 classrooms?,equity implication classrooms equity strategy address equity bias educator train potential bias training module focused topic book study talk potential bias addition teach strong research literacy skills step step importance place user present family potential bias common sense medium guide chatgpt parent caregiver great place start inaccuracy training educator family literacy skill reading fact check misinformation disinformation responses read fact check great stanford inquiry group research university center inform public method source order check accuracy stanford inquiry group civic reaso,"What are the equity implications of generative AI in K-12 classrooms?

Impacts of the use of Generative AI in K-12 Classrooms | Equity Impact | Strategies to Address Equity Impact | |-----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
1,3,0.35942064406059504,"synthetic, medium, deepfakes, material, assistant, pattern, bias, equity, language, help, educator, potential",usa,policy_ai_report_us_gov,Insight: Using AI to Improve Teaching Jobs,insight improve teach job job teach complex decision day participate interaction fellow administrative function community expect interact family caregiver efficiently predict class think novel think easy everyday task request receive event music hear music speak hear play likewise map journey study map phone let choose option reach notice easily learn journey thing easy adapt strength hour week spend half time direct interaction composition hour number hour,"Insight: Using AI to Improve Teaching Jobs

The job of teaching is notoriously complex, with teachers making thousands of decisions each day. Teachers participate in classroom processes, in interactions with students beyond classrooms, in work with fellow teachers, and in administrative functions. They also are part of their communities and thus are expected to interact with families and caregivers. If the teacher is able to efficiently predict and understand the range of other answers given by students in the class, it becomes possible to think creatively about the novel answer and figure how and why the student might have generated it. 35

We think about how much easier some everyday tasks have become. We can request and receive alerts and notifications about events. Selecting music that we want to hear used to be a multistep process (even with digital music), and now we can speak the name of a song we want to hear, and it plays. Likewise, mapping a journey used to require a cumberso"
1,4,0.3435747751002571,"synthetic, medium, deepfakes, material, assistant, pattern, bias, equity, language, help, educator, potential",usa,policy_generative_artificial_intelligence_ai_in_k_12_classrooms_v2,What are the equity implications of generative AI in K-12 classrooms?,equity implication classrooms privilege cultural perspective inaccuracy draw large set guarantee accurate accurate good feed additionally necessarily accurate simply predict best fit prompt chatgpt source time source hallucination plagiarism common concern educator write essay complete assignment write response prompt concern lead number initially ban concern cheat plagiarism recently trend allow tools learn positively prepare college career licensing unknowns element guide clear boundary material learn content company continue license product essential educator reflect implication license unk,"What are the equity implications of generative AI in K-12 classrooms?

and answers that privilege a certain cultural perspective. - Inaccuracy: As generative AI draws from large data sets, it is not guaranteed to be accurate as not all information on the internet is accurate. AI is only as good as the data that is fed into the machine learning algorithms. Additionally, generative AI is not necessarily coded to provide accurate information, rather it simply predicts the type of information needed to best fit a given Prompt. For example, when asking ChatGPT for sources to support information provided, there are times in which the sources are fabricated. This is known as 'AI hallucinations.'6
- Plagiarism: A common concern from educators is that generative AI and other AI technologies will be used by students to write essays and complete assignments. As genAI does provide written responses to prompts, this concern led a number of districts across the nation to initially ban access to gene"
1,5,0.34147942071294035,"synthetic, medium, deepfakes, material, assistant, pattern, bias, equity, language, help, educator, potential",usa,policy_ai_guidance_classroom_considerations,Elementary School Students,elementary importantly term sentient difficult discern virtual assistant alexa design user child age social medium usage place prohibit child child expose risk educator aware list middle high elementary educator mitigate risk associate child come feature interactive quick draw instrument playground fun bridge foundational educator guide submit prompt large language receive avoid potentially inappropriate content familiar great start point build deep conversation,"Elementary School Students

'Artificial Intelligence' importantly includes the term 'artificial.' Understanding AI is predicated on understanding that AI is not sentient, but that can be difficult for young kids to discern as virtual assistants like Amazon Alexa and Apple's Siri are designed to engage with users in a human-like fashion. Furthermore, many children under the age of 13 have access to these technologies and social media platforms - even though there may be usage policies in place prohibiting children from using these tools. Because young children using these tools may be exposed to the same risks as teenagers and adolescents, educators should also be aware of the considerations listed below for middle and high school students. Elementary educators have tools available to mitigate the risks associated with young children using tools that come with AI features. Interactive tools like Google's Quick, Draw! or Instrument Playground can be fun ways to engage with AI-based techn"
