direction,source_claim_id,source_chunk_id,source_doc_id,source_country,source_topic_space,source_topic,source_topic_code,source_relation_type,source_claim,source_excerpt,matched_claim_id,matched_chunk_id,matched_topic_space,matched_topic,matched_topic_code,matched_claim,matched_excerpt,top1_similarity,topk_mean_similarity,coverage_deficit,embedding_method,below_calibrated_threshold,coverage_threshold,threshold_method
synthetic_to_policy,synthetic_sentiment_claim_00000,sentiment_synthetic_sentiment_press_release_aa_chunk_0001,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,7,S7,requires_or_depends_on,"Public confidence depends on AI literacy, fair access and artificial intelligence.","Public confidence depends on AI literacy, fair access and artificial intelligence.",policy_claim_00032,policy_2025_12_16_first_interim_report_en_chunk_0007,policy,8,P8,"Information for the public on digital literacy and AI, critical thinking, their rights, consent, profiling, bias, scams and bad actors, AI and its potential harms and benefits, how to have a voice in terms of public policy around AI, how to engage in or opt out of AI on their devices, how to ensure their digital rights are being respected and that they can access information on how AI systems are being used in public service bodies.","Information for the public on digital literacy and AI, critical thinking, their rights, consent, profiling, bias, scams and bad actors, AI and its potential harms and benefits, how to have a voice in terms of public policy around AI, how to engage in or opt out of AI on their devices, how to ensure their digital rights are being respected and that they can access information on how AI systems are being used in public service bodies.",0.759412407875061,0.757548987865448,0.242451012134552,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00001,sentiment_synthetic_sentiment_press_release_aa_chunk_0001,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,7,S7,requires_or_depends_on,"Public confidence depends on privacy and data protection, positive effects and teaching and learning.","Public confidence depends on privacy and data protection, positive effects and teaching and learning.",policy_claim_02003,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa_chunk_0025,policy,6,P6,"They elaborate by saying, 'Data protection policies should ensure that the collection of data contributes to securing effectiveness and equity in education while protecting students' and teachers' privacy' (p.","They elaborate by saying, 'Data protection policies should ensure that the collection of data contributes to securing effectiveness and equity in education while protecting students' and teachers' privacy' (p.",0.7085334062576294,0.6897056102752686,0.31029438972473145,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00002,sentiment_synthetic_sentiment_press_release_aa_chunk_0001,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,7,S7,requires_or_depends_on,"Public confidence depends on responsible use, public policy and generative AI.","Public confidence depends on responsible use, public policy and generative AI.",policy_claim_01250,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023_chunk_0029,policy,6,P6,"Earning the public's trust Including developing technical mechanisms ensuring users know when they are interacting with an AI, a commitment to publicly report on AI systems' capabilities, limitations, and appropriate and inappropriate use, the prioritization of research on risks, and a focus on using the technologies to help address society's greatest challenges.","Earning the public's trust Including developing technical mechanisms ensuring users know when they are interacting with an AI, a commitment to publicly report on AI systems' capabilities, limitations, and appropriate and inappropriate use, the prioritization of research on risks, and a focus on using the technologies to help address society's greatest challenges.",0.7674940824508667,0.7064798474311829,0.29352015256881714,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00003,sentiment_synthetic_sentiment_press_release_aa_chunk_0001,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,7,S7,causes_or_increases,"While GenAI offers many benefits, such as facilitating artistic exploration and innovation, making language learning more inclusive, and providing personalised feedback and guidance, it also raises important questions about the nature of creativity, human interaction, and the role of the teacher in the learning process.","While GenAI offers many benefits, such as facilitating artistic exploration and innovation, making language learning more inclusive, and providing personalised feedback and guidance, it also raises important questions about the nature of creativity, human interaction, and the role of the teacher in the learning process.",policy_claim_02741,policy_guidance_for_ai_policy_development_chunk_0001,policy,7,P7,"If used appropriately, GenAI has the potential to truly revolutionize the classroom, freeing up instructional time for educators and allowing for greater innovation.","If used appropriately, GenAI has the potential to truly revolutionize the classroom, freeing up instructional time for educators and allowing for greater innovation.",0.7489904165267944,0.735144853591919,0.26485514640808105,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00004,sentiment_synthetic_sentiment_press_release_aa_chunk_0001,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,7,S7,requires_or_depends_on,"Public confidence depends on professional learning, responsible use and teacher training.","Public confidence depends on professional learning, responsible use and teacher training.",policy_claim_03869,policy_the_new_ai_powered_classroom_implications_for_students_teachers_and_equity_chunk_0045,policy,7,P7,"There is convincing evidence that implies teacher coaching improves instructional practice, student learning, and student achievement when coachers and teachers have defined roles and a relationship of trust 43 .","There is convincing evidence that implies teacher coaching improves instructional practice, student learning, and student achievement when coachers and teachers have defined roles and a relationship of trust 43 .",0.6545858383178711,0.6444600224494934,0.3555399775505066,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00005,sentiment_synthetic_sentiment_press_release_aa_chunk_0002,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,4,S4,causes_or_increases,"As one study participant argued, 'the new AI trends should not be disregarded and blocked, but rather explored and addressed responsibly because we never know what it could bring us in the end'.","As one study participant argued, 'the new AI trends should not be disregarded and blocked, but rather explored and addressed responsibly because we never know what it could bring us in the end'.",policy_claim_02780,policy_guidance_for_ai_policy_development_chunk_0015,policy,7,P7,Will we need to rethink assessments with AI?,Will we need to rethink assessments with AI?,0.7072840332984924,0.6973779201507568,0.30262207984924316,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00006,sentiment_synthetic_sentiment_press_release_aa_chunk_0002,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,4,S4,requires_or_depends_on,"Public confidence depends on young people, AI literacy and fair access.","Public confidence depends on young people, AI literacy and fair access.",policy_claim_01250,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023_chunk_0029,policy,6,P6,"Earning the public's trust Including developing technical mechanisms ensuring users know when they are interacting with an AI, a commitment to publicly report on AI systems' capabilities, limitations, and appropriate and inappropriate use, the prioritization of research on risks, and a focus on using the technologies to help address society's greatest challenges.","Earning the public's trust Including developing technical mechanisms ensuring users know when they are interacting with an AI, a commitment to publicly report on AI systems' capabilities, limitations, and appropriate and inappropriate use, the prioritization of research on risks, and a focus on using the technologies to help address society's greatest challenges.",0.7042208909988403,0.685875654220581,0.31412434577941895,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00007,sentiment_synthetic_sentiment_press_release_aa_chunk_0002,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,4,S4,causes_or_increases,"When such activities take place, they seem to be primarily driven by young people's interests in the latest technology trends or are grounded in previous experimentation with technologies in youth work settings.","When such activities take place, they seem to be primarily driven by young people's interests in the latest technology trends or are grounded in previous experimentation with technologies in youth work settings.",policy_claim_01607,policy_ai_report_us_gov_chunk_0003,policy,7,P7,"Naturally, educators wonder if the rapid advances in technology in everyday lives could help.","Naturally, educators wonder if the rapid advances in technology in everyday lives could help.",0.6691161394119263,0.6447376608848572,0.3552623391151428,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00008,sentiment_synthetic_sentiment_press_release_aa_chunk_0002,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,4,S4,requires_or_depends_on,"Public confidence depends on public policy, teaching and learning and negative effects.","Public confidence depends on public policy, teaching and learning and negative effects.",policy_claim_00135,policy_2026_01_20_opening_statement_ruth_kennedy_revenue_commissioner_et_al_office_of_the_revenue_commissioners_en_chunk_0003,policy,8,P8,Revenue 's effectiveness as a tax and customs administration depends on the public's trust and confidence in its fairness and integrity.,Revenue 's effectiveness as a tax and customs administration depends on the public's trust and confidence in its fairness and integrity.,0.5958924293518066,0.5730066895484924,0.42699331045150757,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
synthetic_to_policy,synthetic_sentiment_claim_00009,sentiment_synthetic_sentiment_press_release_aa_chunk_0003,sentiment_synthetic_sentiment_press_release_aa,synthetic,sentiment,3,S3,causes_or_increases,"AI is important due to its ability to automate tasks, improve efficiency, and enhance decision-making processes.","AI is important due to its ability to automate tasks, improve efficiency, and enhance decision-making processes.",policy_claim_02059,policy_ai_to_support_learning_and_teaching_in_the_re_classroom_chunk_0002,policy,1,P1,"Artificial intelligence (AI) is technology that enables computers and machines to simulate human learning, comprehension, problem solving, decision making, creativity and autonomy.","Artificial intelligence (AI) is technology that enables computers and machines to simulate human learning, comprehension, problem solving, decision making, creativity and autonomy.",0.8182363510131836,0.8126742243766785,0.18732577562332153,sentence_transformer:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,False,0.5118606686592102,pooled_empirical_10th_percentile_provisional
