topic,representativeness_score,topic_confidence,topic_margin,doc_id,country,source_type,nmf_token_count,heading_context,nmf_source_text,nmf_clean_text
0,1.0,1.0,1.0,policy_ai_report_us_gov,usa,original,115,Insight: Research Can Strengthen the Role of Context in AI,"Insight: Research Can Strengthen the Role of Context in AI

Despite the relevance of 2010's grand challenges, it has become apparent that the R&amp;D community is now looking to expand their attention. The 2010 challenges were stated as technical problems. Today's researchers want to more deeply investigate context, and today's tech companies want to develop platform s that are responsive to the learners' characteristics and situations more broadly -not just in terms of narrow cognitive attributes. We see a push to transform R&amp;D to address context sensitivity. We look forward to new meanings of 'adaptive' that broaden o utward from what the term has meant in the past decade. For example, 'adaptive' should not always be a synonym of 'individualized' because people are social learners. Researchers therefore are broadening 'adaptivity' to include support for what students do as they learn in groups, a form of learning that is prevalent in schools across the U.S. The focus on context is not an accident. Context is a traditional challenge in AI. 70 Thus, researchers and developers are wise to prioritizing context. Unless we invest more in AI that is context-sensitive, it is quite likely that AI will break and fail to achieve educational goals. Agreeing to prioritize context won't be easy. As illustrated above in Figure 12, there will be a tension between depth of context and pace of technological advances in AI R&amp;D. On the one hand, AI is sometimes presented as a race to be the first to advance new techniques or scale new applications -innovation is sometimes portrayed as rapidly going to scale with a minimally viable product, failing fast, and only after failure, dealing with context. On the other hand, researchers and developers see that achieving good innovations with AI in education will clearly require bringing more context into the process early and often. For example, researchers highlight that humans must be continually adjusting the goals for technology and have noted that when we set forth goals, we often don't yet fully understand context; and as we learn about context, the goals must change.",insight research strengthen context despite relevance grand apparent community look expand attention problem today deeply investigate context today tech company responsive learner characteristic situation broadly term narrow cognitive attribute push transform address context sensitivity look forward meaning adaptive broaden utward term past decade adaptive synonym individualized people social learner broaden adaptivity learn group form prevalent focus context accident context traditional developer wise prioritize context invest likely break fail achieve agree prioritize context easy illustrate tension depth context pace advance hand present race advance technique scale portray rapidly scale minimally viable product fail fast failure deal context hand developer achieve good innovation clearly bring context early highlight continually adjust note set forth fully context learn context
0,1.0,1.0,1.0,policy_ai_report_us_gov,usa,original,127,Learner benefit and diversity of learner needs,"Learner benefit and diversity of learner needs

This figure represents the relationship between the number of learners who benefit from each approach and the diversity of learners' strengths and needs. The vertical axis represents:

- Number of learners who benefit from each approach

The horizontal axis represents:

- Diversity of learners' strengths and needs

The diagram shows three approaches:

1. A narrow approach that may benefit many learners with similar needs. 2. A broader approach that reaches a more diverse group. 3. A wider and more inclusive approach that addresses greater learner diversity, although the number of learners benefiting from each specific approach may decrease. As depicted in Figure 13, learners vary in their strengths and needs. The most frequently occurring mix of strength and needs (also known as 'teaching to the middle') is depicted leftmost, with less frequently occurring mixes spreading to the right. Rising upward, the figure depicts the number of learners who benefit from a particular learning design, pathway, or approach. We argue that AI can bring opportunities to address a wider spectrum of strengths and needs but only if developers and innovators focus on the long tail and not only 'teaching to the middle.'

For the sake of argument, the figure indicates three zones. In a first zone, curricular resources are mostly standardized, with perhaps a dimension or two of adaptivity. For example, many existing products adapt based on the correctness of student answers and may also provide options to read or hear text in a second language. However, the core of the instructional approach is highly standardized. In a second zone, there is greater balance between how much standardization and how much adaptivity students can access. Universal Design for Learning (UDL) is one set of recommendations for providing learning opportunities in multiple formats and for accommodating different learning progressions. 72 UDL can enable accommodating more ways in which learners vary, and as teachers know, there are many more important ways to adapt to students than found in today's edtech products. Students are neurodiverse. They bring different assets from their experiences at home, in their communities, and in their cultures.",learner diversity learner represent relationship number learner diversity learner strengths vertical axis represent number learner horizontal axis represent diversity learner strengths diagram narrow learner similar broader reach diverse group wider inclusive address great learner diversity number learner decrease depict learner vary strength frequently occur mix strength know teach middle depict leftmost frequently occur mix spread rise upward depicts number learner particular design pathway argue bring address wider spectrum strength developer innovator focus long tail teach middle sake argument indicate zone zone curricular standardize dimension adaptivity exist product adapt correctness option read hear second language core instructional highly standardized second zone great balance standardization adaptivity universal design udl set recommendation format accommodate progression udl accommodate learner vary know adapt today edtech product neurodiverse bring experience home community culture
0,1.0,1.0,1.0,policy_ai_report_us_gov,usa,original,106,Learner benefit and diversity of learner needs,"Learner benefit and diversity of learner needs

72 UDL can enable accommodating more ways in which learners vary, and as teachers know, there are many more important ways to adapt to students than found in today's edtech products. Students are neurodiverse. They bring different assets from their experiences at home, in their communities, and in their cultures. They have different interests and motivations. And they learn in varied settings -classrooms and schools differ, and at-home students learn in informal settings in ways that could complement school learning. These are all important dimensions of 'context.' Zone 3 indicates highly adaptive learning, where standardization is less successful and where we need to discover a wider variety of approaches to engage learners and sustain powerful learning. Researchers i n our listening sessions noted the promise of Zone 3 because AI's ability to recognize patterns in data can extend beyond the most common patterns and because AI's ability to generate customized content can extend beyond what people can reasonably generate on their own. Notice that although the Zone 1 bar appears to be the tallest, and thus tends to attract initial attention, there are more students in Zones 2 and 3, the regions where AI can provide more help. Thus, it's important to ask where AI researcher s and developers are directing their attention. When we say a model 'fits,' are we saying it fits the most common and typical uses by teachers and learners? This sort of R&amp;D is easier to do. However, machine learning and AI also can tailor a model to the less common and more culturally specific contexts, too. Therefore, how can constituents cultivate interdisciplinary expertise to direct attention among researchers and developers to focus on the long tail? If we do, the quality of what we do for those represented in that tail can be more adaptive and more context-sensitive. And to be most effective, it will require the integration of contextual, content, and technical expertise. Within the long-tail challenge, the community is wondering how we can get to research insights that are both general and specific enough.",learner diversity learner udl accommodate learner vary know adapt today edtech product neurodiverse bring experience home community culture interest motivation learn varied setting differ learn informal setting complement dimension context zone indicate highly adaptive standardization successful discover wider variety learner sustain powerful listen note promise zone ability recognize pattern extend common pattern ability generate customize content extend people reasonably generate notice zone bar appear tall tends attract initial attention zone region help developer direct attention fit fit common learner sort easy tailor common culturally contexts cultivate interdisciplinary expertise direct attention developer focus long tail quality represent tail adaptive integration contextual content expertise community wonder research insight
0,1.0,1.0,1.0,policy_ai_report_us_gov,usa,original,50,Learner benefit and diversity of learner needs,"Learner benefit and diversity of learner needs

those represented in that tail can be more adaptive and more context-sensitive. And to be most effective, it will require the integration of contextual, content, and technical expertise. Within the long-tail challenge, the community is wondering how we can get to research insights that are both general and specific enough. When research produces very general abstractions about learning, it often doesn't give developers enough guidance on exactly how to adjust their learning environments. Conversely, when research produces a specific adaptive algorithm that works on one educational platform, it often remains hard to apply to additional platforms; research can be too detailed as well. The research community is also thinking about new partnerships that could bring more data and more diverse perspectives to the table, the topic of the next section. Focusing on the long tail of learner variability is particularly important to addressing a longstanding key research question: 'Do new AI -enhanced approaches work to improve learning, and for whom and under what conditions?'",learner diversity learner represent tail adaptive integration contextual content expertise community wonder research insight research produce abstraction developer guidance exactly adjust environment conversely research produce adaptive remain hard apply additional research detail research community think partnership bring diverse topic focus long tail learner variability particularly address longstanding research improve condition
0,1.0,1.0,1.0,policy_ai_report_us_gov,usa,original,33,Attention to the Long Tail of Learner Variability,"Attention to the Long Tail of Learner Variability

At the core of R&amp;D of AI in education, innovators will be building models that fit available data. The increasing scale and prevalence of technologies means that the data is coming from and including a wide range of different contexts and varied ways that people in those contexts engage in teaching and learning. Researchers in our listening sessions drew attention to the promise of AI for addressing 'context' by reference to the long tail of learner variability. Figure 13: The long tail of learner variability",attention long tail learner variability core innovator build fit increase scale prevalence come wide context vary people contexts teach listen draw attention promise address context long tail learner variability long tail learner variability
1,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,51,A third student - a high school student from a suburban school in the South - described how he had used AI:,"A third student - a high school student from a suburban school in the South - described how he had used AI:

'I would copy and paste the question. Whatever the answer was, I would either proofread it, take out big words that I don't know, and then I would start, like, changing everything. And then I would run it through an AI detector, and then whatever would come up as detected, I would change it, and then I would just submit it. . . . We had to write essays, and I didn't want to write essays.' Later, the interviewer asked, 'Do you wish you would have been caught?'

Student: 'In a sense, yeah.'

Interviewer: 'Why? Why?'

Student: 'Because I got away with it so many times. As soon as senior year started, I was using [an AI tool], and I was never caught once.'

Interviewer: 'So what do you think would happen if you were caught?'

Student: 'If I was caught? Oh, what she would probably do is just tell me just not to use it again, and I probably wouldn't use it again.'

A study by Common Sense Media found that 'black teens are about twice as likely as their peers to report that teachers flagged their schoolwork as being created by generative AI when it was not' [39].",high suburban south copy paste proofread big word know start run detector come detect submit write essay write essay later interviewer wish caught sense yeah interviewer away times soon senior year start catch interviewer think happen catch caught probably tell probably study common sense medium teen twice likely peer flag schoolwork
1,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,60,CLEARLY CONVEY WHEN IT IS OR IS NOT ACCEPTABLE TO USE AI TOOLS,"HAVE MORE FREQUENT, LOWER-STAKES ASSIGNMENTS

Dr. Monica P . Marino (English instructor) noted that students were more likely to use AI on high-stakes assignments: 'So the stakes are lower, and they know that they can keep revising and keep getting teacher support until they get the grade they want, so they're not using it there.'

CLEARLY CONVEY WHEN IT IS OR IS NOT ACCEPTABLE TO USE AI TOOLS

Sara St. John (English teacher, Winterset Community Schools): 'When it's an option, I do tell them: 'We're generating a list of possible topics for our problem-solution speech, so if you want to jump on [an AI tool] and ask it to come up with [topics]' - and we talk about how to word that prompt - 'you absolutely can.' . . . And I want to value using that as a brainstorming tool. I think AI does brainstorming really well . . . What I don't want it to do is replace the writing that needs to happen in an English classroom.'

Teachers also mentioned using digital tools - such as browser lockdown extensions that prohibit accessing AI tools, the version history feature of Google Docs (to determine if students were cutting-and-pasting large sections of text), and tools that permit teachers to see students' screens in real time. Some teachers also noted that many students hesitate to ever use AI because they think it always constitutes cheating.",frequent assignment monica marino english instructor note likely assignment stake know revise grade clearly convey acceptable john english community option tell generate list topic speech jump come topic talk word prompt absolutely value brainstorm think brainstorm write happen english mention browser lockdown extension prohibit accessing version history feature docs determine large permit screen real time note hesitate think constitutes cheat
1,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,43,Sara Falls,"Sara Falls

teaching, I watched in horror as students used AI to write 'original' creative works, avoid reading the assigned texts, and even to have it tell them what to say in classroom discussions or Socratic seminars. AI makes it so that students don't have to struggle; they barely have to think. I firmly believe writing is thinking-that, through the act of putting words on paper, we discover what we believe; we pin down what exactly we know or don't know. Writing is hard and demands attention and patience, and the work of a language teacher is to cultivate that and encourage critical and creative thinkingall qualities that our world needs now more than ever. Generative AI is not the answer, and schools must approach adopting AI with extreme skepticism.'",fall teach watch horror write creative avoid read assign tell socratic seminar struggle barely think firmly believe write act word paper discover believe pin exactly know know write hard demand attention patience language cultivate encourage critical creative thinkingall quality world adopt extreme skepticism
1,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,68,What About AI Detectors?,"What About AI Detectors?

A science teacher from Lee Middle and High School said: 'We've had teachers [who have said], 'No, I actually worked with that kid on that essay in our academic support for kids with IEPs. We put that essay together. None of it was AI.' And yet when the teacher put it through the filter, it said, 'This is 70% likely AI.''

This comment illustrates that it is important to understand what AI detectors are designed to do: they give a probability that work was produced by AI. As Chad Sussex (7-12 Assistant Principal, AI Task Force Leader, and AI Consultant in Winterset CSD) described it: '[A particular AI detection tool] is one of the better ones in laboratory tests - it gets some of the highest marks. And, of course, and they're also pretty good about saying, 'Don't use this as firm evidence. All we're giving you is a probability.' I think if you're going to use those tools, it's really important to understand that they're never completely certain.' Most teachers who suspect AI use - either due to an AI detector or for other reasons - initiate a conversation with the student. AI detectors may also struggle to identify different types of AI use, as Schuyler Hunt (English teacher) noted: 'There are a couple of newer AI detection things, but they're not super effective. They often get tripped up if a student has used Grammarly or something else to fix their writing. It'll often get caught by an AI detector because it's still using AI to fix writing.'

But some teachers question the tools themselves: Alec Jensen (teacher, Abraham Lincoln Elementary School) noted that 'I've copied and pasted in student work, it's told me . . .",detector science lee middle high essay academic ieps essay filter likely illustrates detector design probability produce chad sussex assistant principal task force leader consultant csd particular detection laboratory test high mark course pretty good firm evidence probability think completely suspect detector reason initiate conversation detector struggle schuyler hunt english note couple detection thing super trip grammarly fix write catch detector fix writing alec elementary note copied paste tell
1,1.0,1.0,1.0,policy_guidetoaiinschools,usa,original,65,Several teachers expressed concerns about hypocrisy regarding teachers' use of AI:,"Several teachers expressed concerns about hypocrisy regarding teachers' use of AI:

Schuyler Hunt (English teacher):

'I know colleagues are using it, kind of frustratingly because they're using it in the same breath that they're bemoaning children using it.'

Sara Falls (English teacher, Abraham Lincoln High School in San Francisco Unified School District):

Leigh Howlett (culinary arts instructor, Old Colony Regional Vocational Technical High School):

'I don't want to tell my students, 'You can never use it' if the teachers are also using it.'

'I think when I first got started using AI, I was in my classroom with my door closed and I always said, 'Oh my God, I'm cheating.' I'm cheating on doing my lesson plans.'

an English Language Arts teacher in the Midwest:

'There's a huge mental roadblock - not only with teachers, but also with our bosses - is it okay for us to create rubrics that are AI [generated]?'

A high school student from an urban school in the Midwest felt that it was acceptable for teachers to use AI when students had restrictions on its use:

'I think it's fair because - especially when it comes to teachers - they understand the material. But we are learning the material, so we have to be able to understand [it]. And I feel like using AI as plagiarism instead of using it to study or using it in a less efficient way is not really helping you in the long run.'

'

'",express concern hypocrisy schuyler hunt english know colleague kind frustratingly breath bemoan child fall english high san francisco leigh howlett culinary art instructor old colony regional vocational high tell think started door close god cheat cheat english language arts midwest huge mental roadblock boss okay rubric high urban midwest felt acceptable restriction think fair especially come material material plagiarism instead study efficient help long run
