policy_topic_code,sentiment_topic_code,pair_code,findings,policy_to_sentiment_deficit,sentiment_to_policy_deficit
P2,S6,P2 ↔ S6,2,0.5333333333333333,0.5333333333333333
P2,S7,P2 ↔ S7,1,0.5,0.5
P2,S8,P2 ↔ S8,5,0.5266666666666666,0.4866666666666667
P3,S2,P3 ↔ S2,1,0.35,0.35
P3,S8,P3 ↔ S8,1,0.5,0.5
P5,S5,P5 ↔ S5,1,0.4000000000000001,0.4000000000000001
P6,S1,P6 ↔ S1,1,0.2333333333333333,0.2333333333333333
P7,S0,P7 ↔ S0,1,0.39999999999999997,0.39999999999999997
P7,S1,P7 ↔ S1,1,0.15000000000000002,0.15000000000000002
P7,S3,P7 ↔ S3,1,0.6666666666666666,0.6666666666666666
