topic_space,topic_code,topic,topic_label,topic_prototype,keywords,topic_description
policy,P0,0,AI-Assisted Learning Assessment Protocols,AI tools enhance educational assessments by providing instant feedback and personalized learning paths.,"assessment, language, write, generate, feedback, content, teach, task, help, chatgpt, think, prompt","AI-Assisted Learning Assessment Protocols AI tools enhance educational assessments by providing instant feedback and personalized learning paths. assessment, language, write, generate, feedback, content, teach, task, help, chatgpt, think, prompt"
policy,P1,1,AI Child Protection and Rights,Developing policies to protect children from AI-related harm and ensuring their rights are upheld.,"child, parent, sexual, child child, abuse, people, oco, recommender, unicef, council, child sexual, convention","AI Child Protection and Rights Developing policies to protect children from AI-related harm and ensuring their rights are upheld. child, parent, sexual, child child, abuse, people, oco, recommender, unicef, council, child sexual, convention"
policy,P2,2,AI Usage and Pedagogy in School Governance,The integration of artificial intelligence into educational systems and its impact on school governance.,"usage, outils, cadre, données, pédagogique, établissements, déploiement, utilisation, numérique, pédagogiques, enjeux, usages","AI Usage and Pedagogy in School Governance The integration of artificial intelligence into educational systems and its impact on school governance. usage, outils, cadre, données, pédagogique, établissements, déploiement, utilisation, numérique, pédagogiques, enjeux, usages"
policy,P3,3,AI Competency Framework and Curriculum Development,Developing AI competencies through structured frameworks and curricula.,"competency, design, knowledge, skill, framework, progression, competency framework, curriculum, aspect, knowledge skill, professional, ethical","AI Competency Framework and Curriculum Development Developing AI competencies through structured frameworks and curricula. competency, design, knowledge, skill, framework, progression, competency framework, curriculum, aspect, knowledge skill, professional, ethical"
policy,P4,4,Cognitive Offloading in AI-Assisted Education,Exploring the impact of AI-driven cognitive offloading on educational outcomes.,"cognitive, offload, load, cognitive load, metacognitive, critical, study, cognitive offload, learner, critical thinking, thinking, performance","Cognitive Offloading in AI-Assisted Education Exploring the impact of AI-driven cognitive offloading on educational outcomes. cognitive, offload, load, cognitive load, metacognitive, critical, study, cognitive offload, learner, critical thinking, thinking, performance"
policy,P5,5,Digital Learning Frameworks and Assessment Policies,Strategies to enhance digital learning frameworks and improve assessment practices within educational systems.,"strategy, learner, teach, teach assessment, assessment, progress, leader, skill, competence, framework, professional, pillar","Digital Learning Frameworks and Assessment Policies Strategies to enhance digital learning frameworks and improve assessment practices within educational systems. strategy, learner, teach, teach assessment, assessment, progress, leader, skill, competence, framework, professional, pillar"
policy,P6,6,AI Ethical Guidelines and School Data Protection,International guidelines on AI ethics and data protection in educational settings.,"principle, privacy, ethical, safety, security, protection, accountability, regulation, transparency, personal, risk, legal","AI Ethical Guidelines and School Data Protection International guidelines on AI ethics and data protection in educational settings. principle, privacy, ethical, safety, security, protection, accountability, regulation, transparency, personal, risk, legal"
policy,P7,7,AI Educator Guidance and Professional Development,Guidance and support for educators on using AI responsibly and effectively.,"staff, guidance, literacy, educator, integrity, step, academic, focus, academic integrity, professional, community, responsible","AI Educator Guidance and Professional Development Guidance and support for educators on using AI responsibly and effectively. staff, guidance, literacy, educator, integrity, step, academic, focus, academic integrity, professional, community, responsible"
policy,P8,8,AI Curriculum Development and School Oversight,The role of AI in educational curricula and its impact on school governance.,"submission, recommendation, public, inquiry, research, analysis, evidence, body, people, group, university, tension","AI Curriculum Development and School Oversight The role of AI in educational curricula and its impact on school governance. submission, recommendation, public, inquiry, research, analysis, evidence, body, people, group, university, tension"
sentiment,S0,0,Young People's AI Impact on Education and Well-being,The article discusses the influence of AI on young people's education and overall well-being.,"young, young people, people, child, social, impact, health, support, medium, mental, mental health, game","Young People's AI Impact on Education and Well-being The article discusses the influence of AI on young people's education and overall well-being. young, young people, people, child, social, impact, health, support, medium, mental, mental health, game"
sentiment,S1,1,Student Engagement and Teacher Adaptation to AI in Classrooms,This study explores how students' engagement with AI tools impacts teacher adaptation strategies.,"student, teacher, teach, class, student student, help, increase, teacher student, grade, need, potential, mention","Student Engagement and Teacher Adaptation to AI in Classrooms This study explores how students' engagement with AI tools impacts teacher adaptation strategies. student, teacher, teach, class, student student, help, increase, teacher student, grade, need, potential, mention"
sentiment,S2,2,GenAI Detection and Assessment Confusion Among Learners and Staff,A study examining confusion among learners and staff regarding the use of GenAI in assessment and its reliability.,"learner, staff, extremely, assessment, unsure, likely, course, staff learner, provider, academic, guidance, extremely likely","GenAI Detection and Assessment Confusion Among Learners and Staff A study examining confusion among learners and staff regarding the use of GenAI in assessment and its reliability. learner, staff, extremely, assessment, unsure, likely, course, staff learner, provider, academic, guidance, extremely likely"
sentiment,S3,3,Educator Training and Ethical AI Integration,The role of educators in integrating ethical AI into secondary education.,"ethical, literacy, ethic, secondary, educator, framework, competence, european, skill, address, potential, need","Educator Training and Ethical AI Integration The role of educators in integrating ethical AI into secondary education. ethical, literacy, ethic, secondary, educator, framework, competence, european, skill, address, potential, need"
sentiment,S4,4,Youth Workers' Perspectives on AI Integration,This paper explores the perspectives of youth workers regarding the integration of artificial intelligence into their practices.,"youth, sector, youth worker, worker, youth sector, european, young people, european youth, young, expert, people, council","Youth Workers' Perspectives on AI Integration This paper explores the perspectives of youth workers regarding the integration of artificial intelligence into their practices. youth, sector, youth worker, worker, youth sector, european, young people, european youth, young, expert, people, council"
sentiment,S5,5,Teachers' Experience and Knowledge in AI Integration,This document discusses how teachers perceive and integrate artificial intelligence into their educational practices.,"teacher, professional, experience, knowledge, element, professional experience, professional teacher, teach, complete, teacher knowledge, mooc, participate","Teachers' Experience and Knowledge in AI Integration This document discusses how teachers perceive and integrate artificial intelligence into their educational practices. teacher, professional, experience, knowledge, element, professional experience, professional teacher, teach, complete, teacher knowledge, mooc, participate"
