country,document_count,dictionary_size,no_below_value,best_num_topics,best_coherence,best_diversity,topic_id,topic_terms,topic_terms_with_weights
australia,319,1600,3,3,0.5083472892227641,0.9111111111111111,0,"cognitive, task, respondent, learner, knowledge, help, critical, offload, skill, load, generate, metacognitive, principle, research, thinking","cognitive (0.0151), task (0.0121), respondent (0.0113), learner (0.0087), knowledge (0.0087), help (0.0076), critical (0.0075), offload (0.0067), skill (0.0064), load (0.0061), generate (0.0058), metacognitive (0.0055), principle (0.0054), research (0.0051), thinking (0.0047)"
australia,319,1600,3,3,0.5083472892227641,0.9111111111111111,1,"principle, privacy, staff, assessment, guideline, ethical, responsible, framework, review, academic, integrity, guidance, security, user, personal","principle (0.0184), privacy (0.0143), staff (0.0140), assessment (0.0116), guideline (0.0112), ethical (0.0090), responsible (0.0085), framework (0.0082), review (0.0078), academic (0.0077), integrity (0.0071), guidance (0.0063), security (0.0062), user (0.0061), personal (0.0056)"
australia,319,1600,3,3,0.5083472892227641,0.9111111111111111,2,"submission, principle, recommendation, framework, risk, value, research, address, group, analysis, public, inquiry, evidence, context, tension","submission (0.0200), principle (0.0138), recommendation (0.0118), framework (0.0104), risk (0.0093), value (0.0088), research (0.0078), address (0.0072), group (0.0071), analysis (0.0069), public (0.0069), inquiry (0.0067), evidence (0.0066), context (0.0055), tension (0.0054)"
france,308,2000,3,2,0.6715771482757997,1.0,0,"research, public, investment, company, action, language, innovation, european, train, year, compute, strategy, ethical, large, source","research (0.0095), public (0.0088), investment (0.0064), company (0.0061), action (0.0059), language (0.0059), innovation (0.0055), european (0.0055), train (0.0051), year (0.0049), compute (0.0049), strategy (0.0049), ethical (0.0046), large (0.0045), source (0.0044)"
france,308,2000,3,2,0.6715771482757997,1.0,1,"données, pédagogique, numérique, pédagogiques, établissements, utilisation, enjeux, déploiement, place, académique, recherche, niveau, acteurs, entre, ressources","données (0.0077), pédagogique (0.0069), numérique (0.0061), pédagogiques (0.0059), établissements (0.0055), utilisation (0.0055), enjeux (0.0055), déploiement (0.0052), place (0.0052), académique (0.0045), recherche (0.0044), niveau (0.0041), acteurs (0.0041), entre (0.0041), ressources (0.0040)"
ireland,403,1863,3,2,0.5260986654916784,0.9333333333333333,0,"people, public, content, research, regulation, risk, recommendation, council, act, framework, privacy, protection, design, guideline, safety","people (0.0095), public (0.0089), content (0.0086), research (0.0082), regulation (0.0076), risk (0.0075), recommendation (0.0070), council (0.0066), act (0.0062), framework (0.0061), privacy (0.0054), protection (0.0053), design (0.0052), guideline (0.0052), safety (0.0048)"
ireland,403,1863,3,2,0.5260986654916784,0.9333333333333333,1,"learner, assessment, teach, skill, framework, leader, progress, professional, parent, curriculum, guidance, literacy, implementa, research, inform","learner (0.0147), assessment (0.0135), teach (0.0131), skill (0.0093), framework (0.0088), leader (0.0082), progress (0.0075), professional (0.0073), parent (0.0071), curriculum (0.0071), guidance (0.0068), literacy (0.0068), implementa (0.0057), research (0.0056), inform (0.0053)"
usa,496,2000,3,7,0.45995309140454005,0.8,0,"write, context, staff, think, learner, content, privacy, learn, english, design, academic, high, attention, address, language","write (0.0091), context (0.0091), staff (0.0090), think (0.0089), learner (0.0088), content (0.0076), privacy (0.0069), learn (0.0065), english (0.0060), design (0.0058), academic (0.0055), high (0.0053), attention (0.0053), address (0.0052), language (0.0051)"
usa,496,2000,3,7,0.45995309140454005,0.8,1,"feedback, assessment, research, time, solution, high, best, formative, problem, study, assignment, optimisation, guidebook, test, write","feedback (0.0166), assessment (0.0110), research (0.0110), time (0.0086), solution (0.0081), high (0.0065), best (0.0064), formative (0.0061), problem (0.0055), study (0.0053), assignment (0.0051), optimisation (0.0050), guidebook (0.0050), test (0.0048), write (0.0048)"
usa,496,2000,3,7,0.45995309140454005,0.8,2,"privacy, decision, risk, staff, protection, act, child, security, address, trust, safety, bias, concern, protect, parent","privacy (0.0195), decision (0.0087), risk (0.0078), staff (0.0078), protection (0.0077), act (0.0071), child (0.0068), security (0.0057), address (0.0056), trust (0.0055), safety (0.0055), bias (0.0053), concern (0.0052), protect (0.0051), parent (0.0049)"
usa,496,2000,3,7,0.45995309140454005,0.8,3,"elementary, write, high, bias, equity, english, disadvantage, thing, know, essay, detector, year, science, native, score","elementary (0.0221), write (0.0124), high (0.0123), bias (0.0115), equity (0.0110), english (0.0080), disadvantage (0.0077), thing (0.0061), know (0.0060), essay (0.0060), detector (0.0058), year (0.0056), science (0.0050), native (0.0049), score (0.0049)"
usa,496,2000,3,7,0.45995309140454005,0.8,4,"achievement, math, effect, regression, time, comparison, recommendation, disadvantage, year, socioeconomic, hour, study, chatgpt, significant, follow","achievement (0.0287), math (0.0248), effect (0.0187), regression (0.0172), time (0.0141), comparison (0.0123), recommendation (0.0113), disadvantage (0.0113), year (0.0103), socioeconomic (0.0100), hour (0.0079), study (0.0079), chatgpt (0.0077), significant (0.0076), follow (0.0074)"
usa,496,2000,3,7,0.45995309140454005,0.8,5,"medium, skill, guidance, literacy, synthetic, potential, think, professional, deepfakes, critical, implication, thinking, community, language, material","medium (0.0135), skill (0.0109), guidance (0.0091), literacy (0.0081), synthetic (0.0077), potential (0.0074), think (0.0072), professional (0.0064), deepfakes (0.0063), critical (0.0062), implication (0.0059), thinking (0.0059), community (0.0059), language (0.0053), material (0.0052)"
usa,496,2000,3,7,0.45995309140454005,0.8,6,"guidance, focus, literacy, ethical, step, guide, framework, design, staff, assessment, leader, responsible, principle, community, team","guidance (0.0167), focus (0.0160), literacy (0.0158), ethical (0.0140), step (0.0122), guide (0.0096), framework (0.0093), design (0.0090), staff (0.0088), assessment (0.0082), leader (0.0080), responsible (0.0079), principle (0.0077), community (0.0077), team (0.0075)"
