analysis_id,cluster_id,finding_id,classification,relation_family,evidence_role,evidence_id,corpus,text,source_file,doc_id,country
global__batch_01,global__batch_01__cluster_01,S1,partial_alignment,enables_or_supports,policy,clean_sentence_005462,policy,"Writing Student Reports: Teaching Staff can use AI to assist in writing Student reports, ensuring accuracy and efficiency while maintaining their professional judgment.",markdown/cleaned/policy/ireland/AI+Policy+June+2025.md,policy_ai_policy_june_2025,ireland
global__batch_01,global__batch_01__cluster_01,S1,partial_alignment,enables_or_supports,sentiment,clean_sentence_018986,sentiment,It can also help teachers to communicate more clearly.,markdown/cleaned/sentiment/OCO-AI-and-Us-Young-peoples-views-and-understanding-of-Artificial-Intelligence.md,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,other
global__batch_01,global__batch_01__cluster_04,S3,partial_alignment,requires_or_depends_on,policy,clean_sentence_002786,policy,"Supported by appropriate training and guidance, all teachers are expected to be able to: - 1 .",markdown/cleaned/policy/AI competency framework  for teachers.md,policy_ai_competency_framework_for_teachers,other
global__batch_01,global__batch_01__cluster_04,S3,partial_alignment,requires_or_depends_on,sentiment,clean_sentence_019187,sentiment,"For 28% of learner respondents (285 people) it is extremely important that staff involved in teaching, supporting learning, research or assessment have the skills to enable them to use GenAI effectively and responsibly.",markdown/cleaned/sentiment/qqi_generative-artificial-intelligence-survey-report-2025.md,sentiment_original_qqi_generative_artificial_intelligence_survey_report_2025,ireland
global__batch_02,global__batch_02__cluster_01,S1,partial_alignment,risks_or_threatens,policy,clean_sentence_008623,policy,"AI tools can provide recommendations or enhance decision-making, but staff and students will serve as 'critical consumers' of AI and lead any organizational and academic decisions and changes.",markdown/cleaned/policy/usa/Four States Guiding Principles for AI in Education (2).md,policy_four_states_guiding_principles_for_ai_in_education_2,usa
global__batch_02,global__batch_02__cluster_01,S1,partial_alignment,risks_or_threatens,sentiment,clean_sentence_017817,sentiment,"Reduced critical thinking Significant concerns focus on the potential consequences of AI-assisted learning for students' research, writing and argumentation skills, as generative AI's capability in data analysis and automation could reduce students' cognitive skills, in particular their critical thinking and problem solving.",markdown/cleaned/sentiment/EPRS_ATA(2025)769494_EN.md,sentiment_original_eprs_ata_2025_769494_en,other
global__batch_03,global__batch_03__cluster_06,S3,alignment,enables_or_supports,policy,clean_sentence_009416,policy,"Use of generative AI in schools and the workplace Generative AI has the potential to support the delivery of education services by streamlining tasks, generating ideas, creating resources and supporting students.",markdown/cleaned/policy/australia/generative-artificial-intelligence-guidelines.md,policy_generative_artificial_intelligence_guidelines,australia
global__batch_03,global__batch_03__cluster_06,S3,alignment,enables_or_supports,sentiment,clean_sentence_018320,sentiment,"Enhancing student engagement its best, artificial intelligence can provide personal learning and act as a study coach.' (School director in Finland, translation) 37 At the same time, students emphasised the importance of teachers in providing personal feedback and guidance, ensuring that AI complements and does not replace traditional teaching by a human being.",markdown/cleaned/sentiment/generative artificial intelligence in secondary education-KJ0125604ENN.md,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,other
france__batch_01,france__batch_01__cluster_01,S1,partial_alignment,enables_or_supports,policy,clean_sentence_005123,policy,■ La formation a eu un impact limité sur l'usage de l'IA .,markdown/cleaned/policy/france/AI Policy and  Regulations of France:  Comprehensive Report_FR.md,policy_ai_policy_and_regulations_of_france_comprehensive_report_fr,france
france__batch_01,france__batch_01__cluster_01,S1,partial_alignment,enables_or_supports,sentiment,clean_sentence_018632,sentiment,""" According to these studies, women's lack of self-confidence could be partly responsible for this situation: women who don't use artificial intelligence more often than men indicate their need for training to use this new technology .",markdown/cleaned/sentiment/How do the French relate to artificial intelligence_ - Labo.md,sentiment_original_how_do_the_french_relate_to_artificial_intelligence_labo,france
