topic,representativeness_score,topic_confidence,topic_margin,doc_id,country,source_type,nmf_token_count,heading_context,nmf_source_text,nmf_clean_text
0,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,56,Recommendation:,"Recommendation:

Identify and fill any gaps in Irish legislation relating to child sexual abuse and sexual exploitation facilitated by AI and child sexual abuse material generated by AI, including a prohibition of deepfake abuse. Amend legislation in Ireland to replace the term 'child pornography' with 'child sexual abuse material', in line with the Luxembourg Guidelines without any further delay. 159 Ombudsman for Children's Office (2015), Advice of the Ombudsman for Children on the General Scheme of the Criminal Law (Sexual Offences) Bill 2014 . Ombudsman for Children's Office

Millenium House

52-56 Great Strand Street

Dublin 1

D01 F5P8

Policy spotlight on Artificial Intelligence:

T:

01 865 6800

F:

01 874 7333

E:

oco@oco.ie

www.oco.ie

@OCO\_Ireland

A Children's Rights Review",recommendation fill gap legislation child sexual abuse sexual exploitation facilitate child sexual abuse material prohibition deepfake abuse amend legislation term child pornography child sexual abuse material line luxembourg guideline delay ombudsman child office advice ombudsman child scheme criminal sexual offence bill ombudsman child office millenium house great strand street dublin spotlight oco oco oco child review
0,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,55,Lack of visibility of children and their rights,"Lack of visibility of children and their rights

There was a consensus that there is a lack of visibility of children, youth and their rights in current policy, laws and regulations. Like the development of the Internet, participants were of the view that governments and AI companies have not prioritised the safeguarding of children or upheld children's rights. They noted that Ireland's AI strategy has little reference to children, let alone their rights. The absence of children's views in policy was raised by several participants, who recommended that children should have a say in AI policy and decision-making, particularly children in more vulnerable groups. Where children are addressed, participants were of the view that it is as box-ticking exercise rather than a genuine commitment to enforcing regulation and ensuring that the highest standards of privacy, safety and security are used by digital companies. Participants also highlighted other areas that are affected by AI and that children have raised concerns about but that are not currently considered in policy, such as the impact on the environment and natural resources.",lack visibility child consensus lack visibility child youth current regulation participant company prioritise safeguard child upheld child note strategy little child let absence child raise participant recommend child particularly child vulnerable group child address participant exercise genuine commitment enforce regulation high standard privacy safety security company participant highlight affect child raise concern currently environment natural
0,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,135,Child Sexual Abuse Directive,"Child Sexual Abuse Directive

The Directive on combating the sexual abuse and sexual exploitation of children and child pornography (Child Sexual Abuse Directive) adopted in 2011 was the first EU legal instrument establishing minimum rules for the criminalisation of sexual abuse and exploitation and child sexual abuse material offline and online. The Commission committed to presenting a legislative proposal to tackle child sexual abuse online in the EU strategy for a more effective fight against child sexual abuse in 2020 and the EU strategy on the rights of the child in 2021. In 2022, the Commission published a Proposal for a regulation laying down rules to prevent and combat child sexual abuse. It aimed to establish a clear harmonised framework of responsibilities for providers to assess and mitigate risks and detect, report and remove abuse on their services, to improve detection investigation and prosecution of offences under the Child Sexual Abuse Directive. As of August 2025, the regulation is yet to be adopted. In 2021, the EU adopted a Regulation that temporarily provides a legal basis in EU law for providers of interpersonal communication services to voluntarily use technologies to process data to detect, report and remove child sexual abuse on their services. The Regulation derogates from an EU Directive adopted in 2002 that set out down rules on privacy and confidentiality in electronic communications. It is a temporary measure to give the EU time to adopt a new longer-term legal framework. The Regulation initially applied until August 2024, but the EU extended its application to April 2026 by adopting a subsequent Regulation in 2024. In 2024, the Commission published a Proposal for a Directive on combating the sexual abuse and sexual exploitation of children and child sexual to replace the Child Sexual Abuse Directive. Among the changes it proposes are an amended definition of CSAM to cover technological developments in a technology-neutral future-proof way. As of August 2025, the directive is yet to be adopted.",child sexual abuse directive directive combat sexual abuse sexual exploitation child child pornography child sexual abuse directive adopt legal instrument minimum rule criminalisation sexual abuse exploitation child sexual abuse material offline commit present legislative proposal tackle child sexual abuse strategy fight child sexual abuse strategy child publish proposal regulation lay rule prevent combat child sexual abuse aim clear harmonise framework responsibility provider assess mitigate risk detect remove abuse improve detection investigation prosecution offence child sexual abuse directive regulation adopt adopted regulation temporarily legal basis provider interpersonal communication voluntarily detect remove child sexual abuse regulation derogate directive adopt set rule privacy confidentiality temporary measure time adopt legal framework regulation initially apply extended adopting subsequent regulation publish proposal directive combat sexual abuse sexual exploitation child child sexual child sexual abuse directive proposes amend definition csam directive adopt
0,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,50,Adopt a child rights-based approach,"Adopt a child rights-based approach

the culture change and legal landscape needed to ensure children's rights are fully respected, protected and fulfilled. A child rights approach also includes the general measures of implementation identified by the UN Committee on the Rights of the Child that governments that are needed for effective implementation of the UNCRC. In the area of AI, this would include:

- AI legislation that is compliant with the CRC and that enables business enterprises to develop child-centred AI
- Effective child-sensitive procedures for redress for AI-related harms
- AI policy rooted in the CRC
- Coordination of initiatives on children and AI across government
- Independent monitoring of actions taken by public and private organisations in the sphere of AI
- Child rights impact assessments of AI legislation, policy and the AI system development lifecycle
- Data collection on the impact of AI on children
- Training and capacity-building on children's rights and a child rights-based approach to AI for government officials, parliamentarians, AI developers and companies

156 UN Committee on the Rights of the Child (2011), General comment No. 13 (2011) The right of the child to freedom from all forms of violence , CRC/C/GC/13, para. 59.",adopt child culture legal landscape child fully protect fulfil child measure child uncrc legislation compliant crc business procedure redress harm root crc coordination child independent monitoring action public private sphere child assessment legislation lifecycle collection child train child child official parliamentarians developer company child child freedom form violence crc para
0,1.0,1.0,1.0,policy_oco_ai_policy_spotlight_report,ireland,original,62,UNICEF,"UNICEF

series of recommendations to guide governments and the business sector: 1. Support children's development and well-being 2. Ensure inclusion of and for children 3. Prioritize fairness and non-discrimination for children 4. Protect children's data and privacy 5. Ensure safety for children 6. Provide transparency, explainability, and accountability for children 7. Empower governments and businesses with knowledge of AI and children's rights
8. Prepare children for present and future developments in AI
9. Create an enabling environment

UNICEF also makes cross-cutting recommendations:

- Apply requirements whenever AI systems interact with or impact children, regardless of whether the system was designed for or targeted at children. - Develop and deploy AI systems in a way that simultaneously upholds children's collective rights to protection, provision and participation. - Foster a multi-stakeholder approach both in government and in business. - Adapt to the national or local context. To support implementation, UNICEF has produced an operationalisation roadmap for policymakers, a development canvas for AI software teams and two guides for parents and for teens.",unicef series recommendation guide business sector child inclusion child prioritize fairness child protect child privacy safety child transparency explainability accountability child empower business knowledge child prepare child present environment unicef recommendation apply requirement interact child regardless design targeted child deploy simultaneously upholds child collective protection provision participation foster business adapt local context unicef produce operationalisation roadmap policymakers canvas team guide parent teen
1,1.0,1.0,1.0,policy_digital_strategy_for_schools_to_2027,ireland,original,39,3.2. Key relevant strategies and policies.,"3.2. Key relevant strategies and policies.

It is clear from the consulta ti on that schools can find the volume of strategies and ini ti a ti ves that they must engage with difficult to manage and the rela ti onship between these various strategies and ini ti a ti ves may not always be very evident at school level. While it is important that the educa ti on system benefits overall from these strategies and policies, it is also important that we, as a Department, assist schools to make the appropriate linkages across interlinking policy areas. DE STEM EDUCATION POLICY STATEMENT 2017-2026

In that context it is an aim of this Digital Strategy to align with strategies relevant to digital technology and to assist schools in understanding how to make appropriate linkages across different but dependent policy areas. School leaders will be supported to interpret and apply this Strategy in their own school and for individual teachers to apply to their own prac ti ce. A key component for future delivery of this Strategy will be that policy developments and innova ti ons are evidence informed and benefits are realised for all learners. AI- HERE FOR GOOD",strategy clear volume strategy ves difficult manage rela onship strategy ves evident overall strategy linkages interlink stem statement context aim strategy align strategy linkages dependent leader interpret apply strategy individual apply component delivery strategy evidence inform realised learner good
1,1.0,1.0,1.0,policy_digital_strategy_for_schools_to_2027,ireland,original,31,3.1. Introduc ti on,"3.1. Introduc ti on. Looking to the Future: Policy, Research and Digital Leadership

Digital Strategy for Schools to 2027

3.1. Introduc ti on

The Digital Strategy for Schools reflects the ongoing policy commitment of the Department to the embedding of digital technologies in teaching, learning and assessment. Key to advancing this policy is commitment and strong leadership at every level of the educa ti on system, from na ti onal level to local school level. This is communicated strongly in the EU DEAP under Priority 1 to foster the development of a high ­ performing digital educa ti on ecosystem and under Priority 2 in enhancing digital competences for the digital transforma ti on. In a review of the previous Digital Strategy for Schools as part of the Baseline Report, the",introduc look research leadership strategy introduc strategy reflect ongoing commitment teach assessment advance commitment strong leadership local communicate strongly priority foster high perform ecosystem priority competence transforma review previous strategy baseline
1,1.0,1.0,1.0,policy_digital_strategy_for_schools_to_2027,ireland,original,84,2.1. Introduc ti on and background,"2.1. Introduc ti on and background. Digital Technology Infrastructure

Digital Strategy for Schools to 2027

2.1. Introduc ti on and background

Significant investment was made in building digital technology infrastructure in schools under the previous Digital Strategy and the progress made at school level in progressing implementa ti on must be acknowledged. This momentum will be maintained through ongoing investment to support enhanced digital technology infrastructure in schools and to build capacity for a high performing digital educa ti on ecosystem guided by the policy approaches ar ti culated in this Strategy. In that context, this Strategy will align, as appropriate, with the EU DEAP 2021 ­ 2027 and in par ti cular with its Strategic Priority 1: Helping develop a high-performing digital educa ti on ecosystem , which lists infrastructure, connec ti vity and digital equipment as requirements to deliver on this priority. This Digital Strategy for Schools will seek to achieve a high ­ performing digital educa ti on ecosystem in Irish schools, informed by the consulta ti on process and the ongoing development of technology in educa ti on including new and emerging technologies. For the purposes of this Strategy digital technology encompasses technologies that are used in educa ti onal se tti ngs for teaching, learning and assessment purposes. These can include but are not limited to:

- Compu ti ng devices, networking/Wi ­ Fi, · projectors and interac ti ve panels (some ti mes referred to as hardware or equipment). - Educa ti onal so ft ware such as digital · learning pla tf orms and apps including those to develop computa ti onal thinking, coding, literacy and so on. - Technologies to support inclusion and · differen ti ated learning including access to the curriculum. - Services suppor ti ng a variety of ac ti vi ti es · including schools administra ti on. This Pillar incorporates connec ti vity (both broadband services to schools and network infrastructure within schools), technical support and the provision of advice on digital infrastructural issues.",introduc background infrastructure strategy introduc background significant investment building infrastructure previous strategy progress progress acknowledge momentum ongoing investment infrastructure build capacity high perform ecosystem guide culated strategy context strategy align cular strategic priority help ecosystem list infrastructure equipment requirement deliver priority strategy achieve high perform ecosystem inform ongoing emerging purpose strategy encompass tti teach assessment purpose limit compu network projector interac panel refer equipment ware pla orms apps computa think literacy inclusion differen ated curriculum variety administra pillar incorporates network infrastructure provision advice infrastructural
1,1.0,1.0,1.0,policy_digital_strategy_for_schools_to_2027,ireland,original,64,Interna ti onal Studies to support measurement,"Interna ti onal Studies to support measurement

the propor ti on of learners in the eighth grade (approximately 14/15 year olds, equivalent to 2nd year) who are underachieving with regard to digital skills. This target is an EU ­ level target for achievement by 2030. The data for this target will be drawn from the ICILS study. In EU repor ti ng (for example in the Educa ti on and Training Monitor and in other publica ti ons), the Commission will present the overall EU level progress and will compare it to other member states. The final repor ti ng on this target will be based on data from the 2028 study. Notwithstanding this EU target, Ireland's par ti cipa ti on in the ICILS study would also provide objec ti ve data on Irish learners' digital skills and capabili ti es that would be useful in the development of our own evidence informed policy context. Establishing indicators for future progress would be a posi ti ve outcome, as would benchmarking against interna ti onal comparators. In the context of the capacity building that has been undertaken through the previous Strategy and to be progressed under this Strategy, it would seem ti mely for Ireland to par ti cipate in ICILS in 2028. Considera ti on for par ti cipa ti on will be undertaken during the implementa ti on of this Strategy in consulta ti on with relevant areas of the Department.",interna study measurement propor learner eighth grade approximately year old equivalent year underachieve regard skill target target achievement target drawn icils study repor training monitor publica present overall progress compare repor target study target icils study objec learner skill capabili useful evidence inform context indicator progress posi outcome benchmarking interna comparators context capacity building undertake previous strategy progress strategy mely cipate icils undertaken strategy
1,1.0,1.0,1.0,policy_digital_strategy_for_schools_to_2027,ireland,original,65,3.6. Research and Innova ti on,"3.6. Research and Innova ti on

valued. Such innova ti ve approaches to teaching, learning and assessment can lead to increased learner engagement, building capacity for learners to be more selec ti ve and self ­ mo ti vated in growing their knowledge as well as providing for an improved inclusive learning experience for all learners. Through the life of this Strategy, professional learning opportuni ti es will con ti nue to be provided to teachers to enable them to be tt er understand, engage with and embed digital technologies as well as to develop understanding for new and emerging technologies, all of which can help inform their classroom prac ti ce. 74 h tt ps://www.pds tt echnologyineduca ti on.ie/en/Good ­ Prac ti ce/Videos/

75 (OECD, 2016, pp. 13-15). h tt ps:/ /www.oecd ­ ilibrary.org/educa ti on/innova ti ng ­ educa ti on ­ and ­ educa ti ng ­ for ­ innova ti on\_9789264265097 ­ en

A strong research base, which will con ti nue to be developed, will ensure that the supports and ini ti a ti ves envisaged under this Strategy remain relevant and impac tf ul and can be enhanced as required so that schools and prac titi oners can obtain the best supports to inform their own embedding of the use of digital technologies. The 2018 Digital Strategy Ac ti on Plan saw the establishment of the School Excellence Fund (Digital &amp; STEM), to encourage collabora ti on between schools opera ti ng in clusters on innova ti ve projects demonstra ti ng the use of digital technologies in teaching and learning. This programme will conclude in 2022 and an evalua ti on will be published, which will inform how best to support innova ti ve and collabora ti ve prac ti ce among schools going forward and how effec ti ve prac ti ce and the learning from this ini ti a ti ve can be disseminated to all schools.",research value teach assessment lead increase learner engagement building capacity learner selec self vated grow knowledge improved inclusive experience learner life strategy professional embed emerge help inform echnologyineduca good video ilibrary strong research base envisage strategy remain impac enhanced titi oners obtain best inform strategy saw establishment excellence fund stem encourage collabora opera cluster project demonstra teach conclude evalua publish inform best collabora forward disseminate
