analysis_id,scope,batch_id,cluster_id,finding_id,classification,relation_family,cause_theme,effect_theme,gap_label,explanation,policy_evidence_ids,sentiment_evidence_ids,counterevidence_ids,evidence_quality,direct_causal_comparability,direct_comparability_share,policy_to_sentiment_deficit,sentiment_to_policy_deficit,classification_agreement,relation_agreement,representative_confidence,mean_confidence,mean_evidence_faithfulness,recurrent_runs,total_runs,usable_runs,run_recurrence,attempt_recurrence,finding_match_stability,evidence_jaccard_stability,member_finding_ids,machine_retained,human_is_gap,human_category,human_evidence_faithful,human_confirmed,human_notes
global__batch_01,global,1,global__batch_01__cluster_01,S1,partial_alignment,enables_or_supports,AI tools,teacher communication,AI support for teacher communication,"Policy evidence states AI can assist in writing student reports, ensuring accuracy and efficiency. Sentiment evidence states AI can help teachers communicate more clearly. Both express AI as a support for teacher communication tasks, but policy focuses on report writing while sentiment is broader. Directly comparable causal meaning exists, with minor difference in scope.","[""clean_sentence_005462""]","[""clean_sentence_018986""]",[],adequate,True,1.0,0.39999999999999997,0.39999999999999997,1.0,1.0,0.7,0.6999999999999998,0.8333333333333334,3,4,3,1.0,0.75,0.6278236914600551,0.4444444444444444,"[""run_1:S1"", ""run_2:S1"", ""run_4:S1""]",True,,,,,
global__batch_01,global,1,global__batch_01__cluster_02,S2,policy_gap,risks_or_threatens,AI use,assessment integrity,Policy prohibits AI for assessments,"Policy explicitly states students must not use AI to generate responses to assessment tasks as it is plagiarism. Sentiment evidence mentions risk of pupil over-reliance on AI tools, but does not directly address assessment integrity or plagiarism. The policy expresses a stronger causal prohibition on AI use in assessments, while sentiment only broadly mentions over-reliance risk. Directly comparable evidence exists on AI risks in education, but policy is more specific and stringent.","[""clean_sentence_014409""]","[""clean_sentence_019412""]",[],adequate,True,1.0,0.55,0.35,0.5,1.0,0.6,0.6499999999999999,0.8500000000000001,2,4,3,0.6666666666666666,0.5,0.5643442622950819,0.3333333333333333,"[""run_1:S2"", ""run_2:S2""]",False,,,,,
global__batch_01,global,1,global__batch_01__cluster_03,S3,sentiment_gap,risks_or_threatens,AI application,education essence,Sentiment sees AI as threat to education,"Sentiment evidence states AI is a threat to the essence of education and should be resisted until risks are controlled. Policy evidence mentions AI presents challenges to information generation and use, but does not frame AI as a fundamental threat to education. Both address AI risks, but sentiment expresses a stronger existential threat, while policy focuses on informational challenges. Directly comparable on AI risks, but sentiment is more alarmist.","[""clean_sentence_000057""]","[""clean_sentence_017180""]",[],adequate,True,1.0,0.3,0.7,1.0,1.0,0.6,0.6,0.8,1,4,3,0.3333333333333333,0.25,0.0,0.0,"[""run_1:S3""]",False,,,,,
global__batch_01,global,1,global__batch_01__cluster_04,S3,partial_alignment,requires_or_depends_on,teacher training,effective AI use,Teacher training for AI use,"Policy evidence indicates teachers are expected to be able to use AI supported by appropriate training and guidance. Sentiment evidence shows learners consider it extremely important that staff have skills to use GenAI effectively and responsibly. Both link teacher training/skills to effective AI use, but policy is a requirement while sentiment is a perceived importance.","[""clean_sentence_002786""]","[""clean_sentence_019187""]",[],adequate,True,1.0,0.35,0.35,1.0,1.0,0.7,0.7,0.8500000000000001,2,4,3,0.6666666666666666,0.5,0.875,1.0,"[""run_1:S4"", ""run_2:S3""]",True,,,,,
global__batch_01,global,1,global__batch_01__cluster_05,S4,partial_alignment,risks_or_threatens,AI over-reliance,student learning,Risk of pupil over-reliance on AI,"Sentiment evidence explicitly lists risk of pupil over-reliance on AI tools. Policy evidence mentions designing work that AI cannot complete to encourage higher-order thinking, implying a concern about over-reliance. Both address the risk of over-reliance, but sentiment states it directly while policy implies it through mitigation. Directly comparable causal meaning with differing explicitness.","[""clean_sentence_006935""]","[""clean_sentence_019412""]",[],adequate,True,1.0,0.5,0.5,1.0,1.0,0.6,0.6,0.9,1,4,3,0.3333333333333333,0.25,0.0,0.0,"[""run_2:S4""]",False,,,,,
global__batch_01,global,1,global__batch_01__cluster_06,S5,partial_alignment,enables_or_supports,AI tools,student learning,AI support for student learning,"Policy evidence shows AI can assist students in drafting writing or brainstorming ideas. Sentiment evidence indicates AI can help teachers summarise things better and make them more understandable, indirectly supporting student learning. Both express AI as a support for learning-related tasks, but policy focuses on student use while sentiment focuses on teacher use for student benefit.","[""clean_sentence_003187""]","[""clean_sentence_019002""]",[],adequate,True,1.0,0.4,0.4,1.0,1.0,0.6,0.6,0.9,1,4,3,0.3333333333333333,0.25,0.0,0.0,"[""run_2:S5""]",False,,,,,
global__batch_02,global,2,global__batch_02__cluster_01,S1,partial_alignment,risks_or_threatens,AI-assisted learning,critical thinking,AI reduces critical thinking,"Policy evidence states AI can enhance decision-making but humans remain critical consumers, implying AI does not replace critical thinking. Sentiment evidence expresses concern that AI-assisted learning could reduce students' critical thinking and problem-solving. Both address AI's impact on critical thinking, but policy emphasizes human oversight while sentiment highlights risk of reduction. Directly comparable causal relationship with differing emphasis.","[""clean_sentence_008623""]","[""clean_sentence_017817""]",[],adequate,True,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8,0.8000000000000002,0.8333333333333334,3,3,3,1.0,1.0,0.8777777777777778,1.0,"[""run_1:S1"", ""run_2:S1"", ""run_3:S1""]",True,,,,,
global__batch_02,global,2,global__batch_02__cluster_02,S2,partial_alignment,enables_or_supports,AI training and literacy,effective AI use,Training for effective AI use,"Policy evidence mentions training and literacy on AI use by MNCs to improve STEM education and bring familiarity to schools. Sentiment evidence asks what support would help prepare teachers for effective and ethical AI use. Both address training/support for AI use in education, but policy focuses on MNC-led training for STEM, while sentiment seeks teacher support. Directly comparable causal relationship with differing emphasis.","[""clean_sentence_000825""]","[""clean_sentence_019440""]",[],adequate,True,1.0,0.55,0.4,0.5,1.0,0.7,0.7,0.8500000000000001,2,3,3,0.6666666666666666,0.6666666666666666,0.7325949367088608,1.0,"[""run_1:S2"", ""run_3:S2""]",False,,,,,
global__batch_02,global,2,global__batch_02__cluster_03,S3,partial_alignment,risks_or_threatens,AI-generated content,misinformation,AI misinformation risk,"Policy evidence states staff must be aware of AI limitations to ensure safe use, implying risk of misuse. Sentiment evidence warns that AI tools can produce credible-sounding misinformation and invent events, leading to manipulation. Both address AI's potential to generate false information, but policy is general about limitations while sentiment specifies misinformation and manipulation. Directly comparable causal relationship with differing specificity.","[""clean_sentence_005246""]","[""clean_sentence_015328""]",[],adequate,True,1.0,0.4,0.6,0.5,1.0,0.7,0.75,0.8500000000000001,2,3,3,0.6666666666666666,0.6666666666666666,0.7704081632653061,1.0,"[""run_1:S3"", ""run_3:S4""]",False,,,,,
global__batch_02,global,2,global__batch_02__cluster_04,S4,partial_alignment,enables_or_supports,AI tools,decision-making,AI supports decision-making,"Policy evidence states AI tools can provide recommendations or enhance decision-making, but humans remain critical consumers. Sentiment evidence notes AI can analyze large datasets in healthcare to improve diagnosis and treatment outcomes. Both address AI's role in supporting decisions, but policy emphasizes human oversight while sentiment highlights improvement in outcomes. Directly comparable causal relationship with differing emphasis.","[""clean_sentence_008623""]","[""clean_sentence_018721""]",[],adequate,True,1.0,0.5,0.5,1.0,1.0,0.7,0.7,0.9,1,3,3,0.3333333333333333,0.3333333333333333,0.0,0.0,"[""run_1:S4""]",False,,,,,
